state_id,field,level,set_count,set_total,rest_count,rest_total,set_fraction,rest_fraction,frequency_difference,odds_ratio,q_value,set_mean,rest_mean,cliffs_delta,direction,cramers_v,epsilon_squared,available_n,missing_n
STATE_A,tissue_source_site,B0,5,29,6,30,0.172414,0.2,-0.027586,0.833333,1.0,,,,,,,,
STATE_A,tissue_source_site,B8,2,29,4,30,0.068966,0.133333,-0.064368,0.481481,1.0,,,,,,,,
STATE_A,tissue_source_site,BP,21,29,12,30,0.724138,0.4,0.324138,3.9375,0.417035,,,,,,,,
STATE_A,tissue_source_site,CJ,1,29,5,30,0.034483,0.166667,-0.132184,0.178571,0.77804,,,,,,,,
STATE_A,tissue_source_site,CZ,0,29,3,30,0.0,0.1,-0.1,0.0,0.813485,,,,,,,,
STATE_A,ct_phase,ART,2,29,2,30,0.068966,0.066667,0.002299,1.037037,1.0,,,,,,,,
STATE_A,ct_phase,CE_UNSPECIFIED,6,29,4,30,0.206897,0.133333,0.073563,1.695652,1.0,,,,,,,,
STATE_A,ct_phase,DEL,2,29,6,30,0.068966,0.2,-0.131034,0.296296,0.813485,,,,,,,,
STATE_A,ct_phase,MAIN_CE_HIGH,6,29,2,30,0.206897,0.066667,0.14023,3.652174,0.665138,,,,,,,,
STATE_A,ct_phase,MAIN_CE_MEDIUM,0,29,1,30,0.0,0.033333,-0.033333,0.0,1.0,,,,,,,,
STATE_A,ct_phase,NC,3,29,2,30,0.103448,0.066667,0.036782,1.615385,1.0,,,,,,,,
STATE_A,ct_phase,NEPH,1,29,1,30,0.034483,0.033333,0.001149,1.035714,1.0,,,,,,,,
STATE_A,ct_phase,UNKNOWN,9,29,12,30,0.310345,0.4,-0.089655,0.675,1.0,,,,,,,,
STATE_A,ct_manufacturer,GE,27,29,23,30,0.931034,0.766667,0.164368,4.108696,0.665138,,,,,,,,
STATE_A,ct_manufacturer,SIEMENS,2,29,7,30,0.068966,0.233333,-0.164368,0.243386,0.665138,,,,,,,,
STATE_A,ct_scanner_model,Definition AS+,0,29,1,30,0.0,0.033333,-0.033333,0.0,1.0,,,,,,,,
STATE_A,ct_scanner_model,LightSpeed Plus,1,29,1,30,0.034483,0.033333,0.001149,1.035714,1.0,,,,,,,,
STATE_A,ct_scanner_model,LightSpeed QX/i,3,29,7,30,0.103448,0.233333,-0.129885,0.379121,0.869757,,,,,,,,
STATE_A,ct_scanner_model,LightSpeed Ultra,2,29,2,30,0.068966,0.066667,0.002299,1.037037,1.0,,,,,,,,
STATE_A,ct_scanner_model,LightSpeed VCT,5,29,5,30,0.172414,0.166667,0.005747,1.041667,1.0,,,,,,,,
STATE_A,ct_scanner_model,LightSpeed16,16,29,8,30,0.551724,0.266667,0.285057,3.384615,0.417035,,,,,,,,
STATE_A,ct_scanner_model,Sensation 16,0,29,1,30,0.0,0.033333,-0.033333,0.0,1.0,,,,,,,,
STATE_A,ct_scanner_model,Sensation 64,2,29,4,30,0.068966,0.133333,-0.064368,0.481481,1.0,,,,,,,,
STATE_A,ct_scanner_model,Volume Zoom,0,29,1,30,0.0,0.033333,-0.033333,0.0,1.0,,,,,,,,
STATE_A,ct_reconstruction_kernel,B30f,0,29,4,30,0.0,0.133333,-0.133333,0.0,0.665138,,,,,,,,
STATE_A,ct_reconstruction_kernel,B31f,2,29,3,30,0.068966,0.1,-0.031034,0.666667,1.0,,,,,,,,
STATE_A,ct_reconstruction_kernel,LUNG,0,29,2,30,0.0,0.066667,-0.066667,0.0,1.0,,,,,,,,
STATE_A,ct_reconstruction_kernel,SOFT,2,29,3,30,0.068966,0.1,-0.031034,0.666667,1.0,,,,,,,,
STATE_A,ct_reconstruction_kernel,STANDARD,25,29,18,30,0.862069,0.6,0.262069,4.166667,0.417035,,,,,,,,
STATE_A,ct_slice_thickness,,,,,,,,,,1.0,3.405172,3.475,-0.049425,lower_in_set,,,,
STATE_A,ct_z_spacing,,,,,,,,,,1.0,3.294828,3.258333,-0.006897,higher_in_set,,,,
STATE_A,ct_pixel_spacing,,,,,,,,,,1.0,0.812231,0.804297,0.010345,higher_in_set,,,,
STATE_B,tissue_source_site,B0,6,19,5,40,0.315789,0.125,0.190789,3.230769,1.0,,,,,,,,
STATE_B,tissue_source_site,B8,1,19,5,40,0.052632,0.125,-0.072368,0.388889,1.0,,,,,,,,
STATE_B,tissue_source_site,BP,11,19,22,40,0.578947,0.55,0.028947,1.125,1.0,,,,,,,,
STATE_B,tissue_source_site,CJ,0,19,6,40,0.0,0.15,-0.15,0.0,1.0,,,,,,,,
