run,target_id,source_set,source_status,target_coverage,source_coverage,jaccard,transferable
K2/repeat_01,CONSENSUS_K6_C0001,C0001_S1_S1,active,0.869565,0.769231,0.689655,False
K2/repeat_02,CONSENSUS_K6_C0001,C0001,provisionally_accepted,0.956522,0.338462,0.333333,False
K4/repeat_01,CONSENSUS_K6_C0001,C0001_S1_S1,active,0.608696,0.875,0.56,False
K4/repeat_02,CONSENSUS_K6_C0001,C0001_S1_S1,active,0.608696,0.875,0.56,False
K6/repeat_01,CONSENSUS_K6_C0001,C0001,provisionally_accepted,0.956522,1.0,0.956522,False
K6/repeat_02,CONSENSUS_K6_C0001,C0001,provisionally_accepted,0.956522,1.0,0.956522,False
K8/repeat_01,CONSENSUS_K6_C0001,C0002,provisionally_accepted,0.652174,0.9375,0.625,False
K8/repeat_02,CONSENSUS_K6_C0001,C0002,provisionally_dropped,0.652174,0.9375,0.625,False
K2/repeat_01,CONSENSUS_K6_C0002,C0002,active,0.65,0.351351,0.295455,False
K2/repeat_02,CONSENSUS_K6_C0002,C0002,provisionally_accepted,0.65,0.351351,0.295455,False
K4/repeat_01,CONSENSUS_K6_C0002,C0003,active,1.0,1.0,1.0,True
K4/repeat_02,CONSENSUS_K6_C0002,C0003,active,1.0,1.0,1.0,True
K6/repeat_01,CONSENSUS_K6_C0002,C0003,provisionally_accepted,0.95,0.95,0.904762,False
K6/repeat_02,CONSENSUS_K6_C0002,C0003,provisionally_accepted,0.95,0.95,0.904762,False
K8/repeat_01,CONSENSUS_K6_C0002,C0001,provisionally_dropped,0.6,0.75,0.5,False
K8/repeat_02,CONSENSUS_K6_C0002,C0001,provisionally_dropped,0.6,0.75,0.5,False
K2/repeat_01,CONSENSUS_K6_C0003,C0002,active,1.0,0.459459,0.459459,True
K2/repeat_02,CONSENSUS_K6_C0003,C0002,provisionally_accepted,1.0,0.459459,0.459459,True
K4/repeat_01,CONSENSUS_K6_C0003,C0002,active,0.882353,1.0,0.882353,False
K4/repeat_02,CONSENSUS_K6_C0003,C0002,active,0.882353,1.0,0.882353,False
K6/repeat_01,CONSENSUS_K6_C0003,C0002,provisionally_dropped,0.882353,1.0,0.882353,False
K6/repeat_02,CONSENSUS_K6_C0003,C0002,provisionally_dropped,0.882353,1.0,0.882353,False
K8/repeat_01,CONSENSUS_K6_C0003,C0003,provisionally_dropped,0.941176,1.0,0.941176,False
K8/repeat_02,CONSENSUS_K6_C0003,C0003,provisionally_dropped,0.941176,1.0,0.941176,False
K2/repeat_01,CONSENSUS_K6_C0004,C0001_S1_S2,active,0.764706,0.928571,0.722222,False
K2/repeat_02,CONSENSUS_K6_C0004,C0001,provisionally_accepted,0.823529,0.215385,0.205882,False
K4/repeat_01,CONSENSUS_K6_C0004,C0004,active,0.941176,0.727273,0.695652,False
K4/repeat_02,CONSENSUS_K6_C0004,C0004,active,0.941176,0.727273,0.695652,False
K6/repeat_01,CONSENSUS_K6_C0004,C0005,provisionally_accepted,1.0,0.944444,0.944444,True
K6/repeat_02,CONSENSUS_K6_C0004,C0005,provisionally_accepted,1.0,0.944444,0.944444,True
K8/repeat_01,CONSENSUS_K6_C0004,C0006,provisionally_dropped,1.0,1.0,1.0,True
K8/repeat_02,CONSENSUS_K6_C0004,C0006,provisionally_dropped,1.0,1.0,1.0,True
K2/repeat_01,CONSENSUS_K6_C0005,C0001_S2,active,1.0,0.48,0.48,True
K2/repeat_02,CONSENSUS_K6_C0005,C0001,provisionally_accepted,1.0,0.184615,0.184615,True
K4/repeat_01,CONSENSUS_K6_C0005,C0001_S1_S2,active,0.666667,0.615385,0.470588,False
K4/repeat_02,CONSENSUS_K6_C0005,C0001_S1_S2,active,0.666667,0.615385,0.470588,False
K6/repeat_01,CONSENSUS_K6_C0005,C0006,provisionally_accepted,0.916667,0.846154,0.785714,False
K6/repeat_02,CONSENSUS_K6_C0005,C0006,provisionally_accepted,0.916667,0.846154,0.785714,False
K8/repeat_01,CONSENSUS_K6_C0005,C0007,provisionally_accepted,0.916667,1.0,0.916667,False
K8/repeat_02,CONSENSUS_K6_C0005,C0007,provisionally_accepted,0.916667,1.0,0.916667,False
K2/repeat_01,CONSENSUS_K6_C0006,C0001_S2,active,0.769231,0.4,0.357143,False
K2/repeat_02,CONSENSUS_K6_C0006,C0001,provisionally_accepted,0.769231,0.153846,0.147059,False
K4/repeat_01,CONSENSUS_K6_C0006,C0001_S2,active,0.923077,0.75,0.705882,False
K4/repeat_02,CONSENSUS_K6_C0006,C0001_S2,active,0.923077,0.75,0.705882,False
K6/repeat_01,CONSENSUS_K6_C0006,C0004,provisionally_dropped,1.0,0.928571,0.928571,True
K6/repeat_02,CONSENSUS_K6_C0006,C0004,provisionally_dropped,1.0,0.928571,0.928571,True
K8/repeat_01,CONSENSUS_K6_C0006,C0004,provisionally_dropped,1.0,0.928571,0.928571,True
