modality,core_a,core_b,core_a_n,core_b_n,within_a,within_b,between,core_a_median_margin,core_b_median_margin,core_a_fraction_margin_positive,core_b_fraction_margin_positive,median_margin,fraction_margin_positive
wxs,CORE01,CORE02,18,14,0.05111627,0.02866316,0.04008505,-0.00822459,-0.00137576,0.44444444,0.42857143,-0.00375528,0.4375
wxs,CORE01,CORE03,18,11,0.05111627,0.05819918,0.05874151,0.0098283,0.04240159,0.55555556,0.63636364,0.0104036,0.5862069
wxs,CORE01,CORE04,18,11,0.05111627,0.10388289,0.05316987,-0.00055243,0.01005221,0.5,0.54545455,0.00022189,0.51724138
wxs,CORE01,CORE05,18,5,0.05111627,0.02464419,0.03223198,0.01076935,1.193e-05,0.61111111,0.6,0.00790216,0.60869565
wxs,CORE02,CORE03,14,11,0.02866316,0.05819918,0.04403866,0.00365126,0.02310131,0.71428571,0.54545455,0.00413061,0.64
wxs,CORE02,CORE04,14,11,0.02866316,0.10388289,0.04477923,0.00273115,0.02394312,0.64285714,0.72727273,0.00436932,0.68
wxs,CORE02,CORE05,14,5,0.02866316,0.02464419,0.04419139,0.00202878,-0.00578468,0.64285714,0.0,-0.00038954,0.47368421
wxs,CORE03,CORE04,11,11,0.05819918,0.10388289,0.04003518,0.05985686,0.01059965,0.54545455,0.72727273,0.02599523,0.63636364
wxs,CORE03,CORE05,11,5,0.05819918,0.02464419,0.0748622,-0.00493606,0.00180919,0.45454545,0.6,-0.00208238,0.5
wxs,CORE04,CORE05,11,5,0.10388289,0.02464419,0.0417322,0.01645473,-0.004762,0.72727273,0.2,0.00122579,0.5625
cnv,CORE01,CORE02,18,14,0.07822096,0.02888732,0.02903907,0.04198925,0.01136063,0.77777778,0.64285714,0.01936204,0.71875
cnv,CORE01,CORE03,18,11,0.07822096,0.03043689,0.03737993,0.03553485,-0.00260036,0.83333333,0.45454545,0.01197716,0.68965517
cnv,CORE01,CORE04,18,11,0.07822096,0.03284431,0.02677447,0.03975775,0.00727675,0.83333333,0.72727273,0.01484063,0.79310345
cnv,CORE01,CORE05,18,5,0.07822096,0.02661217,0.02212684,0.04566163,0.00981913,0.77777778,0.6,0.02955797,0.73913043
cnv,CORE02,CORE03,14,11,0.02888732,0.03043689,0.02572819,0.00650688,0.00030104,0.71428571,0.54545455,0.00343912,0.64
cnv,CORE02,CORE04,14,11,0.02888732,0.03284431,0.02746672,0.00127903,0.00781528,0.57142857,0.72727273,0.00260611,0.64
cnv,CORE02,CORE05,14,5,0.02888732,0.02661217,0.03019114,-0.00229723,-0.00127915,0.35714286,0.4,-0.00127915,0.36842105
cnv,CORE03,CORE04,11,11,0.03043689,0.03284431,0.02913548,0.0008233,0.00228699,0.54545455,0.90909091,0.00154568,0.72727273
cnv,CORE03,CORE05,11,5,0.03043689,0.02661217,0.0229844,0.00703069,0.0056191,0.72727273,0.8,0.00632489,0.75
cnv,CORE04,CORE05,11,5,0.03284431,0.02661217,0.03061785,0.00371652,-0.00370619,0.72727273,0.4,0.00350496,0.625
genomic,CORE01,CORE02,18,14,0.00953555,0.00915353,0.00911893,0.00065351,8.574e-05,0.66666667,0.5,0.00021423,0.59375
genomic,CORE01,CORE03,18,11,0.00953555,0.00937461,0.00914878,0.00050459,0.00016561,0.66666667,0.63636364,0.00040691,0.65517241
genomic,CORE01,CORE04,18,11,0.00953555,0.00962481,0.00903471,0.00060576,0.00038838,0.77777778,0.54545455,0.00058531,0.68965517
genomic,CORE01,CORE05,18,5,0.00953555,0.00900288,0.00880451,0.00089306,0.00012337,0.77777778,0.6,0.00080297,0.73913043
genomic,CORE02,CORE03,14,11,0.00915353,0.00937461,0.00907589,0.00016136,0.00035573,0.64285714,0.63636364,0.00022455,0.64
genomic,CORE02,CORE04,14,11,0.00915353,0.00962481,0.00911055,0.00012646,0.00046455,0.78571429,0.81818182,0.00022442,0.8
genomic,CORE02,CORE05,14,5,0.00915353,0.00900288,0.00919795,1.03e-05,-0.00034579,0.5,0.4,-3.191e-05,0.47368421
genomic,CORE03,CORE04,11,11,0.00937461,0.00962481,0.00895061,0.00039318,0.00031153,0.63636364,0.81818182,0.00037722,0.72727273
genomic,CORE03,CORE05,11,5,0.00937461,0.00900288,0.0091957,0.00015334,4.03e-06,0.54545455,0.6,7.869e-05,0.5625
genomic,CORE04,CORE05,11,5,0.00962481,0.00900288,0.00935304,0.00029604,-0.00013819,0.72727273,0.4,6.373e-05,0.625
