variant,initial_k,cluster_count,cluster_sizes,labels
M4_original,2,2,"[64, 39]","[0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
M4_original,3,3,"[38, 30, 35]","[0, 0, 1, 2, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 1, 1, 2, 0, 1, 1, 2, 1, 1, 2, 0, 0, 2, 2, 0, 1, 0, 2, 1, 0, 0, 1, 1, 0, 0, 2, 0, 1, 2, 0, 2, 0, 2, 2, 1, 2, 0, 0, 0, 1, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 2, 0, 1, 2, 1, 2, 2, 2, 0, 2, 0, 2, 2, 2, 0, 0, 1, 0, 0, 0, 0, 1, 2, 1, 1, 0, 1, 1, 1, 0, 0, 2, 1, 0, 0, 0, 1, 1, 0]"
M4_original,4,4,"[29, 33, 18, 23]","[0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 2, 0, 2, 0, 3, 1, 2, 3, 3, 1, 3, 3, 2, 2, 2, 1, 1, 2, 0, 0, 2, 3, 2, 2, 3, 3, 2, 0, 1, 0, 0, 1, 2, 1, 0, 1, 1, 3, 1, 0, 0, 2, 3, 1, 1, 1, 3, 3, 1, 1, 1, 3, 0, 1, 0, 3, 1, 3, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 3, 0, 0, 0, 0, 3, 1, 0, 3, 0, 3, 0, 3, 2, 2, 2, 3, 0, 2, 0, 3, 3, 2]"
M4_original,5,5,"[21, 32, 16, 20, 14]","[0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 2, 0, 3, 4, 3, 1, 2, 3, 3, 1, 3, 3, 2, 2, 2, 1, 1, 2, 0, 4, 2, 3, 4, 2, 4, 3, 2, 0, 1, 0, 0, 1, 2, 1, 0, 1, 1, 3, 1, 0, 0, 2, 3, 1, 1, 1, 3, 3, 1, 1, 1, 3, 0, 1, 0, 4, 1, 3, 1, 1, 1, 3, 1, 0, 1, 1, 1, 0, 0, 3, 4, 4, 4, 4, 0, 1, 4, 3, 4, 4, 0, 3, 2, 2, 2, 4, 0, 2, 4, 3, 3, 2]"
M4_original,6,6,"[20, 19, 15, 21, 16, 12]","[0, 0, 0, 1, 0, 0, 1, 2, 3, 1, 1, 4, 0, 2, 5, 3, 1, 4, 3, 3, 2, 3, 3, 4, 4, 4, 2, 2, 4, 0, 5, 4, 3, 5, 4, 5, 3, 4, 0, 2, 0, 0, 2, 4, 2, 0, 2, 1, 3, 1, 0, 0, 4, 3, 2, 2, 1, 3, 3, 1, 1, 1, 3, 0, 2, 0, 5, 1, 3, 1, 2, 1, 2, 1, 0, 1, 1, 1, 0, 0, 3, 5, 5, 5, 0, 3, 1, 0, 3, 5, 5, 3, 3, 4, 4, 4, 5, 2, 4, 5, 3, 3, 4]"
M4_original,7,7,"[14, 9, 15, 19, 12, 15, 19]","[0, 0, 1, 2, 0, 0, 3, 4, 3, 3, 3, 5, 0, 6, 5, 2, 3, 6, 2, 2, 4, 2, 6, 6, 6, 6, 6, 4, 6, 1, 5, 6, 2, 5, 6, 5, 6, 1, 1, 4, 0, 1, 4, 6, 4, 0, 4, 3, 2, 3, 0, 0, 5, 2, 4, 4, 3, 2, 2, 3, 3, 3, 2, 0, 4, 0, 5, 3, 6, 3, 4, 3, 4, 3, 0, 3, 3, 3, 1, 0, 2, 5, 5, 5, 1, 5, 3, 1, 2, 5, 5, 1, 6, 6, 6, 6, 5, 0, 6, 5, 2, 2, 6]"
M4_original,8,8,"[14, 16, 20, 13, 18, 9, 11, 2]","[0, 0, 0, 1, 0, 0, 2, 3, 2, 2, 2, 4, 0, 4, 5, 1, 2, 4, 1, 1, 3, 1, 4, 4, 4, 4, 4, 3, 4, 5, 6, 4, 1, 6, 4, 6, 1, 5, 5, 3, 0, 5, 3, 4, 3, 0, 3, 2, 1, 2, 0, 7, 4, 1, 3, 3, 2, 1, 1, 2, 2, 2, 1, 0, 3, 0, 6, 2, 2, 2, 3, 2, 3, 3, 0, 2, 2, 2, 5, 0, 1, 6, 6, 6, 7, 5, 2, 5, 1, 6, 6, 5, 4, 4, 4, 2, 6, 0, 4, 6, 1, 1, 4]"
M4_recomputed,2,2,"[66, 37]","[0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
M4_recomputed,3,3,"[38, 30, 35]","[0, 0, 1, 2, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 1, 1, 2, 0, 1, 1, 2, 1, 1, 2, 0, 0, 2, 2, 0, 1, 0, 2, 1, 0, 0, 1, 1, 0, 0, 2, 0, 1, 2, 0, 2, 0, 2, 2, 1, 2, 0, 0, 0, 1, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 2, 0, 1, 2, 1, 2, 2, 2, 0, 2, 0, 2, 2, 2, 0, 0, 1, 0, 0, 0, 0, 1, 2, 1, 1, 0, 1, 1, 1, 0, 0, 2, 1, 0, 0, 0, 1, 1, 0]"
M4_recomputed,4,4,"[29, 32, 24, 18]","[0, 0, 0, 1, 0, 0, 1, 1, 2, 1, 1, 3, 0, 3, 0, 2, 1, 3, 2, 2, 1, 2, 2, 3, 3, 3, 1, 1, 3, 0, 0, 3, 2, 3, 3, 2, 2, 3, 0, 1, 0, 0, 1, 3, 1, 0, 1, 1, 2, 1, 0, 0, 3, 2, 1, 1, 1, 2, 2, 1, 1, 1, 2, 0, 1, 0, 2, 1, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 2, 0, 0, 0, 0, 2, 1, 0, 2, 0, 2, 0, 2, 3, 3, 3, 2, 0, 3, 0, 2, 2, 3]"
M4_recomputed,5,5,"[21, 33, 17, 18, 14]","[0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 2, 0, 3, 4, 3, 1, 2, 3, 3, 1, 3, 3, 2, 2, 2, 1, 1, 2, 0, 4, 2, 3, 4, 2, 4, 3, 2, 0, 1, 0, 0, 1, 2, 1, 0, 1, 1, 3, 1, 0, 0, 2, 3, 1, 1, 1, 3, 3, 1, 1, 1, 3, 0, 1, 0, 4, 1, 3, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 3, 4, 4, 4, 4, 0, 1, 4, 3, 4, 4, 0, 3, 2, 2, 2, 4, 0, 2, 4, 2, 3, 2]"
M4_recomputed,6,6,"[21, 14, 17, 22, 14, 15]","[0, 0, 0, 1, 0, 0, 2, 2, 3, 1, 1, 3, 0, 3, 4, 5, 2, 3, 5, 5, 2, 5, 3, 3, 3, 3, 3, 2, 3, 0, 4, 3, 5, 4, 3, 4, 5, 3, 0, 2, 0, 0, 2, 3, 2, 0, 2, 1, 5, 2, 0, 0, 3, 5, 2, 2, 1, 5, 5, 1, 1, 1, 5, 0, 2, 0, 4, 1, 3, 1, 2, 1, 2, 1, 0, 1, 2, 1, 0, 0, 5, 4, 4, 4, 0, 4, 2, 0, 5, 4, 4, 4, 3, 3, 3, 3, 4, 0, 3, 4, 5, 5, 3]"
M4_recomputed,7,7,"[13, 13, 16, 19, 12, 18, 12]","[0, 0, 1, 2, 0, 0, 3, 4, 3, 3, 3, 0, 0, 5, 6, 2, 3, 5, 2, 2, 4, 2, 5, 5, 5, 5, 5, 4, 5, 1, 6, 5, 2, 6, 5, 6, 2, 1, 1, 4, 1, 1, 4, 5, 4, 1, 4, 3, 2, 3, 0, 0, 0, 2, 4, 4, 3, 2, 2, 3, 3, 3, 2, 1, 4, 0, 6, 3, 5, 3, 4, 3, 4, 3, 0, 3, 3, 3, 1, 1, 2, 0, 6, 6, 1, 6, 3, 1, 2, 6, 6, 1, 5, 5, 5, 5, 6, 0, 5, 6, 2, 2, 5]"
M4_recomputed,8,8,"[14, 16, 20, 13, 18, 9, 11, 2]","[0, 0, 0, 1, 0, 0, 2, 3, 2, 2, 2, 4, 0, 4, 5, 1, 2, 4, 1, 1, 3, 1, 4, 4, 4, 4, 4, 3, 4, 5, 6, 4, 1, 6, 4, 6, 1, 5, 5, 3, 0, 5, 3, 4, 3, 0, 3, 2, 1, 2, 0, 7, 4, 1, 3, 3, 2, 1, 1, 2, 2, 2, 1, 0, 3, 0, 6, 2, 2, 2, 3, 2, 3, 3, 0, 2, 2, 2, 5, 0, 1, 6, 6, 6, 7, 5, 2, 5, 1, 6, 6, 5, 4, 4, 4, 2, 6, 0, 4, 6, 1, 1, 4]"
M5_independent_wxs_cnv,2,2,"[69, 34]","[0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
M5_independent_wxs_cnv,3,3,"[44, 29, 30]","[0, 0, 0, 1, 1, 2, 1, 2, 1, 2, 1, 2, 1, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 2, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 0, 0, 2, 2, 2, 0, 0, 1, 2, 2, 0, 2, 1, 2, 1, 2, 0, 0, 2, 2, 1, 1, 0, 1, 1, 1, 1, 0, 0, 2, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 2, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 1, 0, 2, 2, 0, 2, 0, 0]"
