clinical_variable,scope,available_n,total_n,missing_n,availability_fraction
age,ALL,103,103,0,1.0
age,STABLE_CORES,69,69,0,1.0
age,CORE01,17,17,0,1.0
age,CORE02,14,14,0,1.0
age,CORE03,14,14,0,1.0
age,CORE04,10,10,0,1.0
age,CORE05,9,9,0,1.0
age,CORE06,5,5,0,1.0
gender,ALL,103,103,0,1.0
gender,STABLE_CORES,69,69,0,1.0
gender,CORE01,17,17,0,1.0
gender,CORE02,14,14,0,1.0
gender,CORE03,14,14,0,1.0
gender,CORE04,10,10,0,1.0
gender,CORE05,9,9,0,1.0
gender,CORE06,5,5,0,1.0
race,ALL,103,103,0,1.0
race,STABLE_CORES,69,69,0,1.0
race,CORE01,17,17,0,1.0
race,CORE02,14,14,0,1.0
race,CORE03,14,14,0,1.0
race,CORE04,10,10,0,1.0
race,CORE05,9,9,0,1.0
race,CORE06,5,5,0,1.0
stage_group,ALL,103,103,0,1.0
stage_group,STABLE_CORES,69,69,0,1.0
stage_group,CORE01,17,17,0,1.0
stage_group,CORE02,14,14,0,1.0
stage_group,CORE03,14,14,0,1.0
stage_group,CORE04,10,10,0,1.0
stage_group,CORE05,9,9,0,1.0
stage_group,CORE06,5,5,0,1.0
t_stage,ALL,103,103,0,1.0
t_stage,STABLE_CORES,69,69,0,1.0
t_stage,CORE01,17,17,0,1.0
t_stage,CORE02,14,14,0,1.0
t_stage,CORE03,14,14,0,1.0
t_stage,CORE04,10,10,0,1.0
t_stage,CORE05,9,9,0,1.0
t_stage,CORE06,5,5,0,1.0
n_stage,ALL,53,103,50,0.5145631067961165
n_stage,STABLE_CORES,32,69,37,0.463768115942029
n_stage,CORE01,5,17,12,0.29411764705882354
n_stage,CORE02,6,14,8,0.42857142857142855
n_stage,CORE03,6,14,8,0.42857142857142855
n_stage,CORE04,4,10,6,0.4
n_stage,CORE05,8,9,1,0.8888888888888888
n_stage,CORE06,3,5,2,0.6
m_stage,ALL,98,103,5,0.9514563106796117
m_stage,STABLE_CORES,65,69,4,0.9420289855072463
m_stage,CORE01,17,17,0,1.0
m_stage,CORE02,12,14,2,0.8571428571428571
m_stage,CORE03,12,14,2,0.8571428571428571
m_stage,CORE04,10,10,0,1.0
m_stage,CORE05,9,9,0,1.0
m_stage,CORE06,5,5,0,1.0
grade,ALL,103,103,0,1.0
grade,STABLE_CORES,69,69,0,1.0
grade,CORE01,17,17,0,1.0
grade,CORE02,14,14,0,1.0
grade,CORE03,14,14,0,1.0
grade,CORE04,10,10,0,1.0
grade,CORE05,9,9,0,1.0
grade,CORE06,5,5,0,1.0
overall_survival,ALL,103,103,0,1.0
overall_survival,STABLE_CORES,69,69,0,1.0
overall_survival,CORE01,17,17,0,1.0
overall_survival,CORE02,14,14,0,1.0
overall_survival,CORE03,14,14,0,1.0
overall_survival,CORE04,10,10,0,1.0
overall_survival,CORE05,9,9,0,1.0
overall_survival,CORE06,5,5,0,1.0
