core_a,core_b,feature,cliffs_delta,p_value,q_value,direction
CORE01,CORE02,chr1p,0.10504202,0.63380472,0.85037942,higher_in_core_a
CORE01,CORE02,chr1q,0.09663866,0.6623432,0.85037942,higher_in_core_a
CORE01,CORE02,chr2p,-0.19327731,0.37174485,0.72871442,higher_in_core_a
CORE01,CORE02,chr2q,0.33613445,0.11682572,0.31802557,higher_in_core_a
CORE01,CORE02,chr3p,-0.73109244,0.00059573,0.00486513,lower_in_core_a
CORE01,CORE02,chr3q,-0.35294118,0.09949441,0.28677801,lower_in_core_a
CORE01,CORE02,chr4p,-0.11764706,0.59204714,0.85037942,lower_in_core_a
CORE01,CORE02,chr4q,-0.19327731,0.37179307,0.72871442,lower_in_core_a
CORE01,CORE02,chr5p,-0.09243697,0.6768326,0.85037942,higher_in_core_a
CORE01,CORE02,chr5q,0.55462185,0.00932317,0.03806961,higher_in_core_a
CORE01,CORE02,chr6p,0.1512605,0.48723161,0.85037942,higher_in_core_a
CORE01,CORE02,chr6q,0.04201681,0.85823299,0.93452037,higher_in_core_a
CORE01,CORE02,chr7p,-0.64705882,0.00239257,0.01302621,lower_in_core_a
CORE01,CORE02,chr7q,-0.68067227,0.00139645,0.00977515,lower_in_core_a
CORE01,CORE02,chr8p,0.07563025,0.7358148,0.87280068,higher_in_core_a
CORE01,CORE02,chr8q,-0.08403361,0.70610302,0.8649762,lower_in_core_a
CORE01,CORE02,chr9p,-0.1092437,0.6197691,0.85037942,higher_in_core_a
CORE01,CORE02,chr9q,-0.29411765,0.17085858,0.39867002,lower_in_core_a
CORE01,CORE02,chr10p,0.04201681,0.85823299,0.93452037,higher_in_core_a
CORE01,CORE02,chr10q,0.1092437,0.6197691,0.85037942,higher_in_core_a
CORE01,CORE02,chr11p,-0.54621849,0.01045889,0.03942197,lower_in_core_a
CORE01,CORE02,chr11q,-0.40336134,0.05936574,0.19392808,lower_in_core_a
CORE01,CORE02,chr12p,-0.75630252,0.0003814,0.00434316,lower_in_core_a
CORE01,CORE02,chr12q,-0.65546218,0.00209586,0.01283714,lower_in_core_a
CORE01,CORE02,chr13p,0.0,,,
CORE01,CORE02,chr13q,0.02521008,0.92095127,0.98101331,higher_in_core_a
CORE01,CORE02,chr14p,0.0,,,
CORE01,CORE02,chr14q,-0.10084034,0.6480424,0.85037942,lower_in_core_a
CORE01,CORE02,chr15p,0.0,,,
CORE01,CORE02,chr15q,-0.18487395,0.39342339,0.74145177,lower_in_core_a
CORE01,CORE02,chr16p,-0.29411765,0.17085858,0.39867002,lower_in_core_a
CORE01,CORE02,chr16q,-0.31092437,0.14738265,0.3800921,lower_in_core_a
CORE01,CORE02,chr17p,0.11764706,0.59204714,0.85037942,higher_in_core_a
CORE01,CORE02,chr17q,-0.00840336,0.98416534,0.98416534,higher_in_core_a
CORE01,CORE02,chr18p,0.1092437,0.6197691,0.85037942,higher_in_core_a
CORE01,CORE02,chr18q,0.06722689,0.76592713,0.87280068,higher_in_core_a
CORE01,CORE02,chr19p,-0.00840336,0.98416534,0.98416534,lower_in_core_a
CORE01,CORE02,chr19q,-0.2605042,0.22602061,0.50340954,lower_in_core_a
CORE01,CORE02,chr20p,-0.63865546,0.00272459,0.01335049,lower_in_core_a
CORE01,CORE02,chr20q,-0.62184874,0.00352489,0.01570178,lower_in_core_a
CORE01,CORE02,chr21p,0.0,,,
CORE01,CORE02,chr21q,-0.00840336,0.98416534,0.98416534,higher_in_core_a
CORE01,CORE02,chr22p,0.0,,,
CORE01,CORE02,chr22q,-0.09243697,0.67680187,0.85037942,higher_in_core_a
CORE01,CORE02,locus::VHL,-0.74789916,0.00044318,0.00434316,lower_in_core_a
CORE01,CORE02,locus::SETD2,-0.74789916,0.00044318,0.00434316,lower_in_core_a
CORE01,CORE02,locus::PBRM1,-0.74789916,0.00044318,0.00434316,lower_in_core_a
CORE01,CORE02,locus::BAP1,-0.74789916,0.00044318,0.00434316,lower_in_core_a
CORE01,CORE02,locus::JAK2,-0.19327731,0.37179307,0.72871442,lower_in_core_a
CORE01,CORE02,locus::CDKN2A,-0.12605042,0.56490854,0.85037942,higher_in_core_a
CORE01,CORE02,locus::PTEN,0.1092437,0.6197691,0.85037942,higher_in_core_a
CORE01,CORE02,fga,-0.36134454,0.0916026,0.28053296,lower_in_core_a
CORE01,CORE02,gain_burden,-0.07142857,0.75079923,0.87280068,lower_in_core_a
CORE01,CORE02,loss_burden,-0.45378151,0.03370024,0.11795084,lower_in_core_a
CORE01,CORE03,chr1p,-0.31092437,0.14738265,0.2188409,lower_in_core_a
CORE01,CORE03,chr1q,-0.59663866,0.00513498,0.05517698,lower_in_core_a
CORE01,CORE03,chr2p,-0.50420168,0.01818618,0.05569518,lower_in_core_a
CORE01,CORE03,chr2q,-0.21008403,0.33074907,0.42649222,lower_in_core_a
CORE01,CORE03,chr3p,-0.57142857,0.00737632,0.05517698,lower_in_core_a
CORE01,CORE03,chr3q,-0.31092437,0.14738265,0.2188409,lower_in_core_a
CORE01,CORE03,chr4p,-0.18487395,0.39342339,0.48194365,lower_in_core_a
CORE01,CORE03,chr4q,-0.12605042,0.56490854,0.5889472,lower_in_core_a
CORE01,CORE03,chr5p,-0.07563025,0.7358148,0.7358148,higher_in_core_a
CORE01,CORE03,chr5q,0.13445378,0.53838287,0.58623913,higher_in_core_a
CORE01,CORE03,chr6p,-0.12605042,0.56486931,0.5889472,higher_in_core_a
CORE01,CORE03,chr6q,0.50420168,0.01818618,0.05569518,higher_in_core_a
CORE01,CORE03,chr7p,-0.5210084,0.01463879,0.05517698,lower_in_core_a
CORE01,CORE03,chr7q,-0.44537815,0.03716508,0.09550025,lower_in_core_a
CORE01,CORE03,chr8p,-0.17226891,0.42721626,0.49841897,lower_in_core_a
CORE01,CORE03,chr8q,-0.69747899,0.00105747,0.03922916,lower_in_core_a
CORE01,CORE03,chr9p,0.32773109,0.12645617,0.19988233,higher_in_core_a
CORE01,CORE03,chr9q,0.36134454,0.0916026,0.16697872,higher_in_core_a
CORE01,CORE03,chr10p,-0.3697479,0.0842219,0.16507492,higher_in_core_a
CORE01,CORE03,chr10q,-0.2605042,0.22602061,0.31642885,higher_in_core_a
CORE01,CORE03,chr11p,-0.30252101,0.15879247,0.22884797,lower_in_core_a
CORE01,CORE03,chr11q,-0.17647059,0.4157989,0.49693039,lower_in_core_a
CORE01,CORE03,chr12p,-0.53781513,0.01171608,0.05517698,lower_in_core_a
CORE01,CORE03,chr12q,-0.43697479,0.04092868,0.09550025,lower_in_core_a
CORE01,CORE03,chr13p,0.0,,,
CORE01,CORE03,chr13q,-0.14285714,0.51249708,0.57073538,lower_in_core_a
CORE01,CORE03,chr14p,0.0,,,
CORE01,CORE03,chr14q,0.67226891,0.00160119,0.03922916,higher_in_core_a
CORE01,CORE03,chr15p,0.0,,,
