core_id,feature,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,p_value,q_value,cliffs_delta,direction
CORE01,chr1p,17,86,0.0083,0.00400475,-0.02819873,-0.01869718,-0.08275398,0.55764972,0.70063683,-0.09097127,lower_in_core
CORE01,chr1q,17,86,0.01180066,0.02817522,0.01574636,0.03341673,-0.16167493,0.30694709,0.44236492,-0.15800274,lower_in_core
CORE01,chr2p,17,86,0.0124,0.03684388,0.01842727,0.04892284,-0.31441061,0.05964786,0.13917834,-0.29069767,lower_in_core
CORE01,chr2q,17,86,0.0124,0.02499863,0.01885844,0.03170693,-0.13017419,0.54282337,0.69995645,-0.09439124,lower_in_core
CORE01,chr3p,17,86,-0.37905817,-0.30820443,-0.38400558,-0.28952769,-0.53824844,0.0197004,0.06271755,-0.35978112,lower_in_core
CORE01,chr3q,17,86,0.01113144,0.02008152,-0.08221853,0.00818913,-0.6260757,0.05786783,0.13917834,-0.29274966,lower_in_core
CORE01,chr4p,17,86,0.0140933,0.00921142,0.01646123,-0.00808053,0.23660408,0.39128353,0.53258036,0.13269494,higher_in_core
CORE01,chr4q,17,86,0.0113,0.01057069,0.01054366,-0.00127261,0.12839988,0.78642423,0.87579062,0.04240766,higher_in_core
CORE01,chr5p,17,86,0.0245,0.04910099,0.13295508,0.119866,0.08366372,0.78642423,0.87579062,-0.04240766,lower_in_core
CORE01,chr5q,17,86,0.21743534,0.137295,0.21964098,0.169937,0.33691017,0.16989172,0.31083299,0.2120383,higher_in_core
CORE01,chr6p,17,86,0.0138,-0.0014,0.01140163,-0.04045009,0.43397663,0.28840528,0.44162058,0.16415869,higher_in_core
CORE01,chr6q,17,86,0.0107,-0.0093194,0.0096935,-0.06745345,0.55902723,0.06272123,0.13969729,0.2872777,higher_in_core
CORE01,chr7p,17,86,0.0126,0.04715,0.03874628,0.11042561,-0.54837633,0.01037744,0.06271755,-0.39534884,lower_in_core
CORE01,chr7q,17,86,0.0126,0.04385,0.038646,0.11008766,-0.50861467,0.02268438,0.06271755,-0.35157319,lower_in_core
CORE01,chr8p,17,86,0.0062,-0.0195,-0.04301397,-0.10838608,0.35141772,0.25548251,0.4172881,0.17578659,higher_in_core
CORE01,chr8q,17,86,0.011,0.01429676,-0.01966702,0.01023224,-0.21502062,0.18413428,0.32223499,-0.20519836,lower_in_core
CORE01,chr9p,17,86,0.0127,-0.01755,0.01446132,-0.0879841,0.63628766,0.01403397,0.06271755,0.37893297,higher_in_core
