core_id,core_size,main_set_id,main_set_size,main_decision,intersection_n,core_fraction_in_main,main_fraction_captured,jaccard,overlap_coefficient
CORE01,17,C0001,29,accept,0,0.0,0.0,0.0,0.0
CORE01,17,C0002,33,accept,16,0.9411764705882353,0.48484848484848486,0.47058823529411764,0.9411764705882353
CORE01,17,C0003,18,drop,1,0.058823529411764705,0.05555555555555555,0.029411764705882353,0.058823529411764705
CORE01,17,C0004,23,accept,0,0.0,0.0,0.0,0.0
CORE02,14,C0001,29,accept,2,0.14285714285714285,0.06896551724137931,0.04878048780487805,0.14285714285714285
CORE02,14,C0002,33,accept,4,0.2857142857142857,0.12121212121212122,0.09302325581395349,0.2857142857142857
CORE02,14,C0003,18,drop,6,0.42857142857142855,0.3333333333333333,0.23076923076923078,0.42857142857142855
CORE02,14,C0004,23,accept,2,0.14285714285714285,0.08695652173913043,0.05714285714285714,0.14285714285714285
CORE03,14,C0001,29,accept,9,0.6428571428571429,0.3103448275862069,0.2647058823529412,0.6428571428571429
CORE03,14,C0002,33,accept,0,0.0,0.0,0.0,0.0
CORE03,14,C0003,18,drop,0,0.0,0.0,0.0,0.0
CORE03,14,C0004,23,accept,5,0.35714285714285715,0.21739130434782608,0.15625,0.35714285714285715
CORE04,10,C0001,29,accept,0,0.0,0.0,0.0,0.0
CORE04,10,C0002,33,accept,1,0.1,0.030303030303030304,0.023809523809523808,0.1
CORE04,10,C0003,18,drop,0,0.0,0.0,0.0,0.0
CORE04,10,C0004,23,accept,9,0.9,0.391304347826087,0.375,0.9
CORE05,9,C0001,29,accept,5,0.5555555555555556,0.1724137931034483,0.15151515151515152,0.5555555555555556
CORE05,9,C0002,33,accept,0,0.0,0.0,0.0,0.0
CORE05,9,C0003,18,drop,2,0.2222222222222222,0.1111111111111111,0.08,0.2222222222222222
CORE05,9,C0004,23,accept,2,0.2222222222222222,0.08695652173913043,0.06666666666666667,0.2222222222222222
CORE06,5,C0001,29,accept,1,0.2,0.034482758620689655,0.030303030303030304,0.2
CORE06,5,C0002,33,accept,2,0.4,0.06060606060606061,0.05555555555555555,0.4
CORE06,5,C0003,18,drop,0,0.0,0.0,0.0,0.0
CORE06,5,C0004,23,accept,2,0.4,0.08695652173913043,0.07692307692307693,0.4
