core_id,feature,q_value,fisher_p,odds_ratio,ci_low,ci_high,frequency_difference,gene,set_mutated_n,set_total_n,rest_mutated_n,rest_total_n,mutation_frequency,rest_mutation_frequency,delta_mutation_frequency
CORE01,mutation::ARID1A,1.0,1.0,0.68163265,0.0336758,13.79694083,-0.03488372093023256,ARID1A,0,17,3,86,0.0,0.03488372093023256,-0.03488372093023256
CORE01,mutation::ATM,1.0,0.25711831,2.95698925,0.57444801,15.22119541,0.07113543091655267,ATM,2,17,4,86,0.11764705882352941,0.046511627906976744,0.07113543091655267
CORE01,mutation::BAP1,0.65525543,0.11913735,0.15555556,0.00881576,2.74480279,-0.1511627906976744,BAP1,0,17,13,86,0.0,0.1511627906976744,-0.1511627906976744
CORE01,mutation::CDKN2A,1.0,1.0,4.94285714,0.09483869,257.61467112,0.0,CDKN2A,0,17,0,86,0.0,0.0,0.0
CORE01,mutation::DST,1.0,1.0,1.34710744,0.20527675,8.84025308,0.0006839945280437756,DST,1,17,5,86,0.058823529411764705,0.05813953488372093,0.0006839945280437756
CORE01,mutation::ELOC,1.0,1.0,1.62857143,0.06367189,41.65487634,-0.011627906976744186,ELOC,0,17,1,86,0.0,0.011627906976744186,-0.011627906976744186
CORE01,mutation::FLG,1.0,0.58593479,0.35384615,0.01903511,6.57769305,-0.06976744186046512,FLG,0,17,6,86,0.0,0.06976744186046512,-0.06976744186046512
CORE01,mutation::KDM5C,0.40432539,0.05513528,5.75862069,1.18248374,28.04411697,0.14158686730506156,KDM5C,3,17,3,86,0.17647058823529413,0.03488372093023256,0.14158686730506156
CORE01,mutation::KMT2C,1.0,1.0,1.62857143,0.06367189,41.65487634,-0.011627906976744186,KMT2C,0,17,1,86,0.0,0.011627906976744186,-0.011627906976744186
CORE01,mutation::LYST,1.0,1.0,1.34710744,0.20527675,8.84025308,0.0006839945280437756,LYST,1,17,5,86,0.058823529411764705,0.05813953488372093,0.0006839945280437756
CORE01,mutation::MTOR,1.0,0.58593479,0.35384615,0.01903511,6.57769305,-0.06976744186046512,MTOR,0,17,6,86,0.0,0.06976744186046512,-0.06976744186046512
CORE01,mutation::MUC16,0.28711727,0.0241177,6.11111111,1.46571938,25.47941954,0.18878248974008208,MUC16,4,17,4,86,0.23529411764705882,0.046511627906976744,0.18878248974008208
CORE01,mutation::PBRM1,0.28711727,0.02610157,3.63157895,1.25703786,10.49162166,0.32147742818057456,PBRM1,11,17,28,86,0.6470588235294118,0.32558139534883723,0.32147742818057456
CORE01,mutation::PIK3CA,1.0,1.0,0.52380952,0.02695443,10.17927114,-0.046511627906976744,PIK3CA,0,17,4,86,0.0,0.046511627906976744,-0.046511627906976744
CORE01,mutation::PTEN,1.0,1.0,1.66666667,0.24385289,11.39120311,0.012311901504787962,PTEN,1,17,4,86,0.058823529411764705,0.046511627906976744,0.012311901504787962
CORE01,mutation::SETD2,1.0,1.0,1.34710744,0.20527675,8.84025308,0.0006839945280437756,SETD2,1,17,5,86,0.058823529411764705,0.05813953488372093,0.0006839945280437756
CORE01,mutation::SPTA1,1.0,0.58593479,0.35384615,0.01903511,6.57769305,-0.06976744186046512,SPTA1,0,17,6,86,0.0,0.06976744186046512,-0.06976744186046512
CORE01,mutation::TP53,1.0,1.0,0.68163265,0.0336758,13.79694083,-0.03488372093023256,TP53,0,17,3,86,0.0,0.03488372093023256,-0.03488372093023256
CORE01,mutation::TSC1,1.0,1.0,0.96571429,0.04439488,21.00702023,-0.023255813953488372,TSC1,0,17,2,86,0.0,0.023255813953488372,-0.023255813953488372
CORE01,mutation::TSC2,1.0,1.0,0.96571429,0.04439488,21.00702023,-0.023255813953488372,TSC2,0,17,2,86,0.0,0.023255813953488372,-0.023255813953488372
CORE01,mutation::TTN,1.0,1.0,0.74162679,0.1223236,4.49635478,-0.045827633378932975,TTN,1,17,9,86,0.058823529411764705,0.10465116279069768,-0.045827633378932975
CORE01,mutation::VHL,1.0,0.42939592,1.613694,0.5648089,4.61042365,0.12380300957592338,VHL,11,17,45,86,0.6470588235294118,0.5232558139534884,0.12380300957592338
CORE02,mutation::ARID1A,1.0,1.0,0.85221675,0.04179821,17.37570721,-0.033707865168539325,ARID1A,0,14,3,89,0.0,0.033707865168539325,-0.033707865168539325
CORE02,mutation::ATM,1.0,1.0,0.44297082,0.02365228,8.29616267,-0.06741573033707865,ATM,0,14,6,89,0.0,0.06741573033707865,-0.06741573033707865
CORE02,mutation::BAP1,0.90699708,0.2061357,0.1954023,0.01099076,3.47401544,-0.14606741573033707,BAP1,0,14,13,89,0.0,0.14606741573033707,-0.14606741573033707
CORE02,mutation::CDKN2A,1.0,1.0,6.17241379,0.11777453,323.48838376,0.0,CDKN2A,0,14,0,89,0.0,0.0,0.0
CORE02,mutation::DST,1.0,1.0,0.44297082,0.02365228,8.29616267,-0.06741573033707865,DST,0,14,6,89,0.0,0.06741573033707865,-0.06741573033707865
CORE02,mutation::ELOC,0.74757282,0.13592233,19.88888889,0.77007919,513.6717197,0.07142857142857142,ELOC,1,14,0,89,0.07142857142857142,0.0,0.07142857142857142
CORE02,mutation::FLG,1.0,1.0,0.44297082,0.02365228,8.29616267,-0.06741573033707865,FLG,0,14,6,89,0.0,0.06741573033707865,-0.06741573033707865
CORE02,mutation::KDM5C,1.0,1.0,0.44297082,0.02365228,8.29616267,-0.06741573033707865,KDM5C,0,14,6,89,0.0,0.06741573033707865,-0.06741573033707865
CORE02,mutation::KMT2C,1.0,1.0,2.03448276,0.07900557,52.39022903,-0.011235955056179775,KMT2C,0,14,1,89,0.0,0.011235955056179775,-0.011235955056179775
CORE02,mutation::LYST,1.0,1.0,0.44297082,0.02365228,8.29616267,-0.06741573033707865,LYST,0,14,6,89,0.0,0.06741573033707865,-0.06741573033707865
CORE02,mutation::MTOR,1.0,1.0,0.44297082,0.02365228,8.29616267,-0.06741573033707865,MTOR,0,14,6,89,0.0,0.06741573033707865,-0.06741573033707865
CORE02,mutation::MUC16,1.0,0.29724263,2.56923077,0.53178846,12.41273041,0.0754414125200642,MUC16,2,14,6,89,0.14285714285714285,0.06741573033707865,0.0754414125200642
CORE02,mutation::PBRM1,0.00899591,0.00081781,0.04408555,0.00255056,0.76200302,-0.43820224719101125,PBRM1,0,14,39,89,0.0,0.43820224719101125,-0.43820224719101125
CORE02,mutation::PIK3CA,1.0,1.0,0.65517241,0.03346662,12.82624075,-0.0449438202247191,PIK3CA,0,14,4,89,0.0,0.0449438202247191,-0.0449438202247191
CORE02,mutation::PTEN,1.0,1.0,0.52978056,0.02777762,10.10408562,-0.056179775280898875,PTEN,0,14,5,89,0.0,0.056179775280898875,-0.056179775280898875
CORE02,mutation::SETD2,1.0,1.0,0.44297082,0.02365228,8.29616267,-0.06741573033707865,SETD2,0,14,6,89,0.0,0.06741573033707865,-0.06741573033707865
CORE02,mutation::SPTA1,1.0,1.0,1.70707071,0.2567029,11.35199639,0.01524879614767255,SPTA1,1,14,5,89,0.07142857142857142,0.056179775280898875,0.01524879614767255
CORE02,mutation::TP53,0.01509369,0.00205823,54.47826087,2.64222176,1123.25201227,0.21428571428571427,TP53,3,14,0,89,0.21428571428571427,0.0,0.21428571428571427
CORE02,mutation::TSC1,1.0,1.0,1.20689655,0.05508906,26.44080736,-0.02247191011235955,TSC1,0,14,2,89,0.0,0.02247191011235955,-0.02247191011235955
CORE02,mutation::TSC2,1.0,1.0,1.20689655,0.05508906,26.44080736,-0.02247191011235955,TSC2,0,14,2,89,0.0,0.02247191011235955,-0.02247191011235955
CORE02,mutation::TTN,1.0,1.0,0.94152047,0.15316729,5.78753348,-0.02969502407704655,TTN,1,14,9,89,0.07142857142857142,0.10112359550561797,-0.02969502407704655
CORE02,mutation::VHL,0.00010912,4.96e-06,0.02044553,0.00118094,0.35397312,-0.6292134831460674,VHL,0,14,56,89,0.0,0.6292134831460674,-0.6292134831460674
CORE03,mutation::ARID1A,1.0,0.35785492,3.88888889,0.47439079,31.87974401,0.048956661316211875,ARID1A,1,14,2,89,0.07142857142857142,0.02247191011235955,0.048956661316211875
CORE03,mutation::ATM,1.0,1.0,0.44297082,0.02365228,8.29616267,-0.06741573033707865,ATM,0,14,6,89,0.0,0.06741573033707865,-0.06741573033707865
CORE03,mutation::BAP1,2.2e-07,1e-08,57.66666667,12.40302244,268.11565171,0.680577849117175,BAP1,10,14,3,89,0.7142857142857143,0.033707865168539325,0.680577849117175
CORE03,mutation::CDKN2A,1.0,1.0,6.17241379,0.11777453,323.48838376,0.0,CDKN2A,0,14,0,89,0.0,0.0,0.0
CORE03,mutation::DST,1.0,1.0,0.44297082,0.02365228,8.29616267,-0.06741573033707865,DST,0,14,6,89,0.0,0.06741573033707865,-0.06741573033707865
CORE03,mutation::ELOC,1.0,1.0,2.03448276,0.07900557,52.39022903,-0.011235955056179775,ELOC,0,14,1,89,0.0,0.011235955056179775,-0.011235955056179775
