clinical_variable,scope,available_n,total_n,missing_n,availability_fraction
age,ALL,69,69,0,1.0
age,STABLE_CORES,69,69,0,1.0
age,5V_CORE01,17,17,0,1.0
age,5V_CORE02,14,14,0,1.0
age,5V_CORE03,14,14,0,1.0
age,5V_CORE04,10,10,0,1.0
age,5V_CORE05,9,9,0,1.0
age,5V_CORE06,5,5,0,1.0
age,ROBUST_4V_CORE01_5V_CORE01,14,14,0,1.0
gender,ALL,69,69,0,1.0
gender,STABLE_CORES,69,69,0,1.0
gender,5V_CORE01,17,17,0,1.0
gender,5V_CORE02,14,14,0,1.0
gender,5V_CORE03,14,14,0,1.0
gender,5V_CORE04,10,10,0,1.0
gender,5V_CORE05,9,9,0,1.0
gender,5V_CORE06,5,5,0,1.0
gender,ROBUST_4V_CORE01_5V_CORE01,14,14,0,1.0
race,ALL,69,69,0,1.0
race,STABLE_CORES,69,69,0,1.0
race,5V_CORE01,17,17,0,1.0
race,5V_CORE02,14,14,0,1.0
race,5V_CORE03,14,14,0,1.0
race,5V_CORE04,10,10,0,1.0
race,5V_CORE05,9,9,0,1.0
race,5V_CORE06,5,5,0,1.0
race,ROBUST_4V_CORE01_5V_CORE01,14,14,0,1.0
stage_group,ALL,69,69,0,1.0
stage_group,STABLE_CORES,69,69,0,1.0
stage_group,5V_CORE01,17,17,0,1.0
stage_group,5V_CORE02,14,14,0,1.0
stage_group,5V_CORE03,14,14,0,1.0
stage_group,5V_CORE04,10,10,0,1.0
stage_group,5V_CORE05,9,9,0,1.0
stage_group,5V_CORE06,5,5,0,1.0
stage_group,ROBUST_4V_CORE01_5V_CORE01,14,14,0,1.0
t_stage,ALL,69,69,0,1.0
t_stage,STABLE_CORES,69,69,0,1.0
t_stage,5V_CORE01,17,17,0,1.0
t_stage,5V_CORE02,14,14,0,1.0
t_stage,5V_CORE03,14,14,0,1.0
t_stage,5V_CORE04,10,10,0,1.0
t_stage,5V_CORE05,9,9,0,1.0
t_stage,5V_CORE06,5,5,0,1.0
t_stage,ROBUST_4V_CORE01_5V_CORE01,14,14,0,1.0
n_stage,ALL,32,69,37,0.463768115942029
n_stage,STABLE_CORES,32,69,37,0.463768115942029
n_stage,5V_CORE01,5,17,12,0.29411764705882354
n_stage,5V_CORE02,6,14,8,0.42857142857142855
n_stage,5V_CORE03,6,14,8,0.42857142857142855
n_stage,5V_CORE04,4,10,6,0.4
n_stage,5V_CORE05,8,9,1,0.8888888888888888
n_stage,5V_CORE06,3,5,2,0.6
n_stage,ROBUST_4V_CORE01_5V_CORE01,3,14,11,0.21428571428571427
m_stage,ALL,65,69,4,0.9420289855072463
m_stage,STABLE_CORES,65,69,4,0.9420289855072463
m_stage,5V_CORE01,17,17,0,1.0
m_stage,5V_CORE02,12,14,2,0.8571428571428571
m_stage,5V_CORE03,12,14,2,0.8571428571428571
m_stage,5V_CORE04,10,10,0,1.0
m_stage,5V_CORE05,9,9,0,1.0
m_stage,5V_CORE06,5,5,0,1.0
m_stage,ROBUST_4V_CORE01_5V_CORE01,14,14,0,1.0
grade,ALL,69,69,0,1.0
grade,STABLE_CORES,69,69,0,1.0
grade,5V_CORE01,17,17,0,1.0
grade,5V_CORE02,14,14,0,1.0
grade,5V_CORE03,14,14,0,1.0
grade,5V_CORE04,10,10,0,1.0
grade,5V_CORE05,9,9,0,1.0
grade,5V_CORE06,5,5,0,1.0
grade,ROBUST_4V_CORE01_5V_CORE01,14,14,0,1.0
overall_survival,ALL,69,69,0,1.0
overall_survival,STABLE_CORES,69,69,0,1.0
overall_survival,5V_CORE01,17,17,0,1.0
overall_survival,5V_CORE02,14,14,0,1.0
overall_survival,5V_CORE03,14,14,0,1.0
overall_survival,5V_CORE04,10,10,0,1.0
overall_survival,5V_CORE05,9,9,0,1.0
overall_survival,5V_CORE06,5,5,0,1.0
overall_survival,ROBUST_4V_CORE01_5V_CORE01,14,14,0,1.0
