target_id,modality,feature,effect_size,q_value,n_target,n_rest
5V_CORE01,clinical,age:,0.02238727,1.0,17,52
5V_CORE01,clinical,gender:FEMALE,-0.22850678733031674,0.34768463,17,52
5V_CORE01,clinical,gender:MALE,0.2285067873303167,0.34768463,17,52
5V_CORE01,clinical,stage_group:I,0.4785067873303167,0.0065153,17,52
5V_CORE01,clinical,stage_group:II,-0.056561085972850686,0.96055577,17,52
5V_CORE01,clinical,stage_group:III,-0.2692307692307692,0.0754387,17,52
5V_CORE01,clinical,stage_group:IV,-0.15271493212669685,0.48898587,17,52
5V_CORE01,clinical,t_stage:T1,-0.019230769230769232,1.0,17,52
5V_CORE01,clinical,t_stage:T1A,0.5328054298642535,0.0018272,17,52
5V_CORE01,clinical,t_stage:T1B,-0.07352941176470587,0.99102387,17,52
5V_CORE01,clinical,t_stage:T2,-0.09502262443438915,0.66872118,17,52
5V_CORE01,clinical,t_stage:T2B,-0.019230769230769232,1.0,17,52
5V_CORE01,clinical,t_stage:T3A,-0.2680995475113122,0.1210832,17,52
5V_CORE01,clinical,t_stage:T3B,-0.038461538461538464,1.0,17,52
5V_CORE01,clinical,t_stage:T4,-0.019230769230769232,1.0,17,52
5V_CORE01,clinical,m_stage:M0,0.14950980392156865,0.48898587,17,48
5V_CORE01,clinical,m_stage:M1,-0.14950980392156865,0.48898587,17,48
5V_CORE01,clinical,grade:G2,0.16289592760180993,0.48898587,17,52
5V_CORE01,clinical,grade:G3,0.1255656108597285,0.66872118,17,52
5V_CORE01,clinical,grade:G4,-0.28846153846153844,0.0754387,17,52
5V_CORE02,clinical,age:,-0.05038822,1.0,14,55
5V_CORE02,clinical,gender:FEMALE,0.17402597402597403,0.66081278,14,55
5V_CORE02,clinical,gender:MALE,-0.17402597402597408,0.66081278,14,55
5V_CORE02,clinical,stage_group:I,0.151948051948052,0.68659707,14,55
5V_CORE02,clinical,stage_group:II,-0.12727272727272726,0.66081278,14,55
5V_CORE02,clinical,stage_group:III,0.014285714285714263,1.0,14,55
5V_CORE02,clinical,stage_group:IV,-0.038961038961038974,1.0,14,55
5V_CORE02,clinical,t_stage:T1,-0.01818181818181818,1.0,14,55
5V_CORE02,clinical,t_stage:T1A,-0.023376623376623384,1.0,14,55
5V_CORE02,clinical,t_stage:T1B,0.15714285714285714,0.66081278,14,55
5V_CORE02,clinical,t_stage:T2,-0.16363636363636364,0.66081278,14,55
5V_CORE02,clinical,t_stage:T2B,-0.01818181818181818,1.0,14,55
5V_CORE02,clinical,t_stage:T3A,-0.14805194805194805,0.66081278,14,55
5V_CORE02,clinical,t_stage:T3B,0.14285714285714285,0.66081278,14,55
5V_CORE02,clinical,t_stage:T4,0.07142857142857142,0.66081278,14,55
5V_CORE02,clinical,m_stage:M0,0.10534591194968546,1.0,12,53
5V_CORE02,clinical,m_stage:M1,-0.10534591194968555,1.0,12,53
5V_CORE02,clinical,grade:G2,0.19090909090909092,0.66081278,14,55
5V_CORE02,clinical,grade:G3,-0.18701298701298702,0.66081278,14,55
5V_CORE02,clinical,grade:G4,-0.0038961038961038974,1.0,14,55
5V_CORE03,clinical,age:,0.17763937,1.0,14,55
5V_CORE03,clinical,gender:FEMALE,0.08441558441558444,1.0,14,55
5V_CORE03,clinical,gender:MALE,-0.08441558441558439,1.0,14,55
5V_CORE03,clinical,stage_group:I,-0.3857142857142857,0.3063042,14,55
5V_CORE03,clinical,stage_group:II,0.05194805194805194,1.0,14,55
5V_CORE03,clinical,stage_group:III,0.19350649350649352,0.57971014,14,55
5V_CORE03,clinical,stage_group:IV,0.14025974025974025,0.61367775,14,55
5V_CORE03,clinical,t_stage:T1,-0.01818181818181818,1.0,14,55
5V_CORE03,clinical,t_stage:T1A,-0.29220779220779225,0.4921841,14,55
5V_CORE03,clinical,t_stage:T1B,0.06753246753246753,1.0,14,55
5V_CORE03,clinical,t_stage:T2,0.01558441558441559,1.0,14,55
5V_CORE03,clinical,t_stage:T2B,0.07142857142857142,0.57971014,14,55
5V_CORE03,clinical,t_stage:T3A,0.21038961038961038,0.57971014,14,55
5V_CORE03,clinical,t_stage:T3B,-0.03636363636363636,1.0,14,55
5V_CORE03,clinical,t_stage:T4,-0.01818181818181818,1.0,14,55
5V_CORE03,clinical,m_stage:M0,-0.2012578616352202,0.57971014,12,53
5V_CORE03,clinical,m_stage:M1,0.2012578616352201,0.57971014,12,53
5V_CORE03,clinical,grade:G2,-0.07792207792207795,1.0,14,55
5V_CORE03,clinical,grade:G3,0.08181818181818185,1.0,14,55
5V_CORE03,clinical,grade:G4,-0.0038961038961038974,1.0,14,55
5V_CORE04,clinical,age:,0.04081793,1.0,10,59
5V_CORE04,clinical,gender:FEMALE,0.011864406779660996,1.0,10,59
5V_CORE04,clinical,gender:MALE,-0.011864406779661052,1.0,10,59
5V_CORE04,clinical,stage_group:I,-0.14237288135593218,1.0,10,59
5V_CORE04,clinical,stage_group:II,-0.0016949152542372892,1.0,10,59
5V_CORE04,clinical,stage_group:III,0.23050847457627122,1.0,10,59
5V_CORE04,clinical,stage_group:IV,-0.08644067796610169,1.0,10,59
5V_CORE04,clinical,t_stage:T1,-0.01694915254237288,1.0,10,59
5V_CORE04,clinical,t_stage:T1A,-0.005084745762711895,1.0,10,59
5V_CORE04,clinical,t_stage:T1B,-0.1542372881355932,1.0,10,59
5V_CORE04,clinical,t_stage:T2,0.08135593220338984,1.0,10,59
5V_CORE04,clinical,t_stage:T2B,-0.01694915254237288,1.0,10,59
5V_CORE04,clinical,t_stage:T3A,0.16271186440677968,1.0,10,59
5V_CORE04,clinical,t_stage:T3B,-0.03389830508474576,1.0,10,59
5V_CORE04,clinical,t_stage:T4,-0.01694915254237288,1.0,10,59
5V_CORE04,clinical,m_stage:M0,0.08181818181818179,1.0,10,55
5V_CORE04,clinical,m_stage:M1,-0.08181818181818182,1.0,10,55
5V_CORE04,clinical,grade:G2,-0.055932203389830515,1.0,10,59
5V_CORE04,clinical,grade:G3,-0.040677966101694885,1.0,10,59
5V_CORE04,clinical,grade:G4,0.0966101694915254,1.0,10,59
5V_CORE05,clinical,age:,-0.20089548,1.0,9,60
5V_CORE05,clinical,gender:FEMALE,0.17777777777777776,0.783115,9,60
5V_CORE05,clinical,gender:MALE,-0.1777777777777777,0.783115,9,60
5V_CORE05,clinical,stage_group:I,-0.34444444444444444,0.41747024,9,60
5V_CORE05,clinical,stage_group:II,0.26666666666666666,0.41747024,9,60
5V_CORE05,clinical,stage_group:III,0.0222222222222222,1.0,9,60
5V_CORE05,clinical,stage_group:IV,0.05555555555555555,0.86681461,9,60
5V_CORE05,clinical,t_stage:T1,0.1111111111111111,0.4347826,9,60
5V_CORE05,clinical,t_stage:T1A,-0.2222222222222222,0.62448722,9,60
5V_CORE05,clinical,t_stage:T1B,-0.26666666666666666,0.41747024,9,60
5V_CORE05,clinical,t_stage:T2,0.2333333333333333,0.41747024,9,60
5V_CORE05,clinical,t_stage:T2B,-0.016666666666666666,1.0,9,60
5V_CORE05,clinical,t_stage:T3A,0.21111111111111108,0.62448722,9,60
5V_CORE05,clinical,t_stage:T3B,-0.03333333333333333,1.0,9,60
5V_CORE05,clinical,t_stage:T4,-0.016666666666666666,1.0,9,60
5V_CORE05,clinical,m_stage:M0,-0.06150793650793651,0.86681461,9,56
5V_CORE05,clinical,m_stage:M1,0.061507936507936484,0.86681461,9,56
5V_CORE05,clinical,grade:G2,-0.14444444444444443,0.80004312,9,60
5V_CORE05,clinical,grade:G3,-0.24444444444444446,0.62448722,9,60
5V_CORE05,clinical,grade:G4,0.38888888888888895,0.3823424,9,60
5V_CORE06,clinical,age:,-0.10402084,1.0,5,64
5V_CORE06,clinical,gender:FEMALE,-0.3125,0.69605353,5,64
5V_CORE06,clinical,gender:MALE,0.3125,0.69605353,5,64
5V_CORE06,clinical,stage_group:I,0.08437499999999998,1.0,5,64
5V_CORE06,clinical,stage_group:II,-0.109375,1.0,5,64
5V_CORE06,clinical,stage_group:III,-0.21875,1.0,5,64
5V_CORE06,clinical,stage_group:IV,0.24375000000000002,0.68552573,5,64
5V_CORE06,clinical,t_stage:T1,-0.015625,1.0,5,64
5V_CORE06,clinical,t_stage:T1A,-0.328125,0.69605353,5,64
5V_CORE06,clinical,t_stage:T1B,0.396875,0.68552573,5,64
5V_CORE06,clinical,t_stage:T2,0.07500000000000001,1.0,5,64
5V_CORE06,clinical,t_stage:T2B,-0.015625,1.0,5,64
5V_CORE06,clinical,t_stage:T3A,-0.06562499999999999,1.0,5,64
5V_CORE06,clinical,t_stage:T3B,-0.03125,1.0,5,64
5V_CORE06,clinical,t_stage:T4,-0.015625,1.0,5,64
5V_CORE06,clinical,m_stage:M0,-0.25,0.68552573,5,60
5V_CORE06,clinical,m_stage:M1,0.25,0.68552573,5,60
5V_CORE06,clinical,grade:G2,-0.375,0.68552573,5,64
5V_CORE06,clinical,grade:G3,0.39375000000000004,0.68552573,5,64
5V_CORE06,clinical,grade:G4,-0.01874999999999999,1.0,5,64
ROBUST_4V_CORE01_5V_CORE01,clinical,age:,0.05949262,1.0,14,55
ROBUST_4V_CORE01_5V_CORE01,clinical,gender:FEMALE,-0.27402597402597406,0.1897488,14,55
ROBUST_4V_CORE01_5V_CORE01,clinical,gender:MALE,0.27402597402597406,0.1897488,14,55
ROBUST_4V_CORE01_5V_CORE01,clinical,stage_group:I,0.5103896103896104,0.0065655,14,55
ROBUST_4V_CORE01_5V_CORE01,clinical,stage_group:II,-0.12727272727272726,0.67000511,14,55
ROBUST_4V_CORE01_5V_CORE01,clinical,stage_group:III,-0.2545454545454545,0.1897488,14,55
ROBUST_4V_CORE01_5V_CORE01,clinical,stage_group:IV,-0.1285714285714286,0.67000511,14,55
ROBUST_4V_CORE01_5V_CORE01,clinical,t_stage:T1,-0.01818181818181818,1.0,14,55
ROBUST_4V_CORE01_5V_CORE01,clinical,t_stage:T1A,0.5142857142857142,0.0065655,14,55
ROBUST_4V_CORE01_5V_CORE01,clinical,t_stage:T1B,-0.022077922077922085,1.0,14,55
ROBUST_4V_CORE01_5V_CORE01,clinical,t_stage:T2,-0.16363636363636364,0.46793245,14,55
ROBUST_4V_CORE01_5V_CORE01,clinical,t_stage:T2B,-0.01818181818181818,1.0,14,55
ROBUST_4V_CORE01_5V_CORE01,clinical,t_stage:T3A,-0.23766233766233766,0.26729674,14,55
ROBUST_4V_CORE01_5V_CORE01,clinical,t_stage:T3B,-0.03636363636363636,1.0,14,55
ROBUST_4V_CORE01_5V_CORE01,clinical,t_stage:T4,-0.01818181818181818,1.0,14,55
ROBUST_4V_CORE01_5V_CORE01,clinical,m_stage:M0,0.12464985994397759,0.67000511,14,51
ROBUST_4V_CORE01_5V_CORE01,clinical,m_stage:M1,-0.12464985994397759,0.67000511,14,51
ROBUST_4V_CORE01_5V_CORE01,clinical,grade:G2,0.10129870129870128,0.76729794,14,55
ROBUST_4V_CORE01_5V_CORE01,clinical,grade:G3,0.17142857142857137,0.67000511,14,55
ROBUST_4V_CORE01_5V_CORE01,clinical,grade:G4,-0.2727272727272727,0.1897488,14,55
