core_id,field,level,set_count,set_total,rest_count,rest_total,set_fraction,rest_fraction,frequency_difference,odds_ratio,q_value,set_mean,rest_mean,cliffs_delta,direction,cramers_v,epsilon_squared,available_n,missing_n
5V_CORE01,tissue_source_site,B0,2,17,9,66,0.117647,0.136364,-0.018717,0.844444,1.0,,,,,,,,
5V_CORE01,tissue_source_site,B8,0,17,13,66,0.0,0.19697,-0.19697,0.0,0.424669,,,,,,,,
5V_CORE01,tissue_source_site,BP,13,17,28,66,0.764706,0.424242,0.340463,4.410714,0.368503,,,,,,,,
5V_CORE01,tissue_source_site,CJ,1,17,8,66,0.058824,0.121212,-0.062389,0.453125,1.0,,,,,,,,
5V_CORE01,tissue_source_site,CZ,1,17,7,66,0.058824,0.106061,-0.047237,0.526786,1.0,,,,,,,,
5V_CORE01,tissue_source_site,G6,0,17,1,66,0.0,0.015152,-0.015152,0.0,1.0,,,,,,,,
5V_CORE01,ct_phase,ART,1,17,5,66,0.058824,0.075758,-0.016934,0.7625,1.0,,,,,,,,
5V_CORE01,ct_phase,CE_UNSPECIFIED,3,17,8,66,0.176471,0.121212,0.055258,1.553571,1.0,,,,,,,,
5V_CORE01,ct_phase,DEL,2,17,9,66,0.117647,0.136364,-0.018717,0.844444,1.0,,,,,,,,
5V_CORE01,ct_phase,MAIN_CE_HIGH,5,17,9,66,0.294118,0.136364,0.157754,2.638889,0.653621,,,,,,,,
5V_CORE01,ct_phase,MAIN_CE_MEDIUM,0,17,2,66,0.0,0.030303,-0.030303,0.0,1.0,,,,,,,,
5V_CORE01,ct_phase,NC,1,17,4,66,0.058824,0.060606,-0.001783,0.96875,1.0,,,,,,,,
5V_CORE01,ct_phase,NEPH,0,17,4,66,0.0,0.060606,-0.060606,0.0,1.0,,,,,,,,
5V_CORE01,ct_phase,UNKNOWN,5,17,25,66,0.294118,0.378788,-0.08467,0.683333,1.0,,,,,,,,
5V_CORE01,ct_manufacturer,GE,16,17,44,66,0.941176,0.666667,0.27451,8.0,0.368503,,,,,,,,
5V_CORE01,ct_manufacturer,SIEMENS,1,17,22,66,0.058824,0.333333,-0.27451,0.125,0.368503,,,,,,,,
5V_CORE01,ct_scanner_model,Definition,0,17,1,66,0.0,0.015152,-0.015152,0.0,1.0,,,,,,,,
5V_CORE01,ct_scanner_model,Definition AS+,0,17,3,66,0.0,0.045455,-0.045455,0.0,1.0,,,,,,,,
5V_CORE01,ct_scanner_model,LightSpeed Plus,1,17,1,66,0.058824,0.015152,0.043672,4.0625,1.0,,,,,,,,
5V_CORE01,ct_scanner_model,LightSpeed QX/i,1,17,8,66,0.058824,0.121212,-0.062389,0.453125,1.0,,,,,,,,
5V_CORE01,ct_scanner_model,LightSpeed Ultra,1,17,6,66,0.058824,0.090909,-0.032086,0.625,1.0,,,,,,,,
5V_CORE01,ct_scanner_model,LightSpeed VCT,3,17,10,66,0.176471,0.151515,0.024955,1.2,1.0,,,,,,,,
5V_CORE01,ct_scanner_model,LightSpeed16,10,17,19,66,0.588235,0.287879,0.300357,3.533835,0.377904,,,,,,,,
5V_CORE01,ct_scanner_model,SOMATOM Definition,0,17,1,66,0.0,0.015152,-0.015152,0.0,1.0,,,,,,,,
5V_CORE01,ct_scanner_model,Sensation 16,0,17,2,66,0.0,0.030303,-0.030303,0.0,1.0,,,,,,,,
5V_CORE01,ct_scanner_model,Sensation 64,1,17,11,66,0.058824,0.166667,-0.107843,0.3125,1.0,,,,,,,,
5V_CORE01,ct_scanner_model,Volume Zoom,0,17,4,66,0.0,0.060606,-0.060606,0.0,1.0,,,,,,,,
5V_CORE01,ct_reconstruction_kernel,B20f,0,17,1,66,0.0,0.015152,-0.015152,0.0,1.0,,,,,,,,
5V_CORE01,ct_reconstruction_kernel,B30f,1,17,10,66,0.058824,0.151515,-0.092692,0.35,1.0,,,,,,,,
5V_CORE01,ct_reconstruction_kernel,B31f,0,17,11,66,0.0,0.166667,-0.166667,0.0,0.54582,,,,,,,,
5V_CORE01,ct_reconstruction_kernel,SOFT,1,17,2,66,0.058824,0.030303,0.02852,2.0,1.0,,,,,,,,
5V_CORE01,ct_reconstruction_kernel,STANDARD,15,17,42,66,0.882353,0.636364,0.245989,4.285714,0.44961,,,,,,,,
5V_CORE01,ct_slice_thickness,,,,,,,,,,1.0,3.308824,3.581439,-0.13369,lower_in_set,,,,
5V_CORE01,ct_z_spacing,,,,,,,,,,1.0,3.194118,3.388939,-0.078431,lower_in_set,,,,
5V_CORE01,ct_pixel_spacing,,,,,,,,,,1.0,0.806756,0.805664,0.008913,higher_in_set,,,,
5V_CORE02,tissue_source_site,B0,1,14,10,69,0.071429,0.144928,-0.073499,0.453846,0.916071,,,,,,,,
5V_CORE02,tissue_source_site,B8,5,14,8,69,0.357143,0.115942,0.241201,4.236111,0.193085,,,,,,,,
5V_CORE02,tissue_source_site,BP,4,14,37,69,0.285714,0.536232,-0.250518,0.345946,0.412603,,,,,,,,
5V_CORE02,tissue_source_site,CJ,0,14,9,69,0.0,0.130435,-0.130435,0.0,0.700352,,,,,,,,
5V_CORE02,tissue_source_site,CZ,4,14,4,69,0.285714,0.057971,0.227743,6.5,0.154262,,,,,,,,
5V_CORE02,tissue_source_site,G6,0,14,1,69,0.0,0.014493,-0.014493,0.0,1.0,,,,,,,,
5V_CORE02,ct_phase,ART,2,14,4,69,0.142857,0.057971,0.084886,2.708333,0.619612,,,,,,,,
5V_CORE02,ct_phase,CE_UNSPECIFIED,2,14,9,69,0.142857,0.130435,0.012422,1.111111,1.0,,,,,,,,
5V_CORE02,ct_phase,DEL,1,14,10,69,0.071429,0.144928,-0.073499,0.453846,0.916071,,,,,,,,
5V_CORE02,ct_phase,MAIN_CE_HIGH,1,14,13,69,0.071429,0.188406,-0.116977,0.331361,0.709044,,,,,,,,
5V_CORE02,ct_phase,MAIN_CE_MEDIUM,1,14,1,69,0.071429,0.014493,0.056936,5.230769,0.679455,,,,,,,,
5V_CORE02,ct_phase,NC,0,14,5,69,0.0,0.072464,-0.072464,0.0,0.868847,,,,,,,,
5V_CORE02,ct_phase,NEPH,0,14,4,69,0.0,0.057971,-0.057971,0.0,1.0,,,,,,,,
