clinical_variable,scope,available_n,total_n,missing_n,availability_fraction
age,ALL,69,69,0,1.0
age,STABLE_CORES,69,69,0,1.0
age,STATE_A,17,17,0,1.0
age,STATE_B,14,14,0,1.0
age,STATE_C,14,14,0,1.0
age,STATE_D,24,24,0,1.0
gender,ALL,69,69,0,1.0
gender,STABLE_CORES,69,69,0,1.0
gender,STATE_A,17,17,0,1.0
gender,STATE_B,14,14,0,1.0
gender,STATE_C,14,14,0,1.0
gender,STATE_D,24,24,0,1.0
race,ALL,69,69,0,1.0
race,STABLE_CORES,69,69,0,1.0
race,STATE_A,17,17,0,1.0
race,STATE_B,14,14,0,1.0
race,STATE_C,14,14,0,1.0
race,STATE_D,24,24,0,1.0
stage_group,ALL,69,69,0,1.0
stage_group,STABLE_CORES,69,69,0,1.0
stage_group,STATE_A,17,17,0,1.0
stage_group,STATE_B,14,14,0,1.0
stage_group,STATE_C,14,14,0,1.0
stage_group,STATE_D,24,24,0,1.0
t_stage,ALL,69,69,0,1.0
t_stage,STABLE_CORES,69,69,0,1.0
t_stage,STATE_A,17,17,0,1.0
t_stage,STATE_B,14,14,0,1.0
t_stage,STATE_C,14,14,0,1.0
t_stage,STATE_D,24,24,0,1.0
n_stage,ALL,32,69,37,0.463768115942029
n_stage,STABLE_CORES,32,69,37,0.463768115942029
n_stage,STATE_A,5,17,12,0.29411764705882354
n_stage,STATE_B,6,14,8,0.42857142857142855
n_stage,STATE_C,6,14,8,0.42857142857142855
n_stage,STATE_D,15,24,9,0.625
m_stage,ALL,65,69,4,0.9420289855072463
m_stage,STABLE_CORES,65,69,4,0.9420289855072463
m_stage,STATE_A,17,17,0,1.0
m_stage,STATE_B,12,14,2,0.8571428571428571
m_stage,STATE_C,12,14,2,0.8571428571428571
m_stage,STATE_D,24,24,0,1.0
grade,ALL,69,69,0,1.0
grade,STABLE_CORES,69,69,0,1.0
grade,STATE_A,17,17,0,1.0
grade,STATE_B,14,14,0,1.0
grade,STATE_C,14,14,0,1.0
grade,STATE_D,24,24,0,1.0
overall_survival,ALL,69,69,0,1.0
overall_survival,STABLE_CORES,69,69,0,1.0
overall_survival,STATE_A,17,17,0,1.0
overall_survival,STATE_B,14,14,0,1.0
overall_survival,STATE_C,14,14,0,1.0
overall_survival,STATE_D,24,24,0,1.0
