core_a,core_b,clinical_variable,n_core_a,n_core_b,median_core_a,median_core_b,smd_a_vs_b,effect_size,p_value,q_value,level,core_a_count,core_a_total,core_b_count,core_b_total,core_a_fraction,core_b_fraction,frequency_difference,odds_ratio,ci_low,ci_high,core_a_n,core_b_n,core_a_events,core_b_events,core_a_median_time,core_b_median_time
STATE_A,STATE_B,age,17,14,56.0,58.5,0.05147145,0.05147145,0.90512418,1.0,,,,,,,,,,,,,,,,,
STATE_A,STATE_B,gender,,,,,,,0.09714333,0.34971599,FEMALE,2,17,6,14,0.11764705882352941,0.42857142857142855,-0.31092436974789917,0.21091811,0.0392506,1.13339555,,,,,,
STATE_A,STATE_B,gender,,,,,,,0.09714333,0.34971599,MALE,15,17,8,14,0.8823529411764706,0.5714285714285714,0.31092436974789917,4.74117647,0.88230451,25.47732006,,,,,,
STATE_A,STATE_B,stage_group,,,,,,,0.19754789,0.50798029,I,15,17,9,14,0.8823529411764706,0.6428571428571429,0.23949579831932766,3.58947368,0.65625165,19.63320218,,,,,,
STATE_A,STATE_B,stage_group,,,,,,,1.0,1.0,II,1,17,0,14,0.058823529411764705,0.0,0.058823529411764705,2.63636364,0.09944974,69.88870187,,,,,,
STATE_A,STATE_B,stage_group,,,,,,,0.08097887,0.34971599,III,0,17,3,14,0.0,0.21428571428571427,-0.21428571428571427,0.09387755,0.00442279,1.99263221,,,,,,
STATE_A,STATE_B,stage_group,,,,,,,0.57641824,0.86462736,IV,1,17,2,14,0.058823529411764705,0.14285714285714285,-0.08403361344537814,0.45454545,0.05275872,3.91615975,,,,,,
STATE_A,STATE_B,t_stage,,,,,,,0.03195239,0.34971599,T1A,12,17,4,14,0.7058823529411765,0.2857142857142857,0.4201680672268908,5.3030303,1.19305304,23.5715676,,,,,,
STATE_A,STATE_B,t_stage,,,,,,,0.41247641,0.81290322,T1B,3,17,5,14,0.17647058823529413,0.35714285714285715,-0.18067226890756302,0.4169279,0.08672632,2.00433822,,,,,,
STATE_A,STATE_B,t_stage,,,,,,,1.0,1.0,T2,1,17,0,14,0.058823529411764705,0.0,0.058823529411764705,2.63636364,0.09944974,69.88870187,,,,,,
STATE_A,STATE_B,t_stage,,,,,,,0.57641824,0.86462736,T3A,1,17,2,14,0.058823529411764705,0.14285714285714285,-0.08403361344537814,0.45454545,0.05275872,3.91615975,,,,,,
STATE_A,STATE_B,t_stage,,,,,,,0.19569892,0.50798029,T3B,0,17,2,14,0.0,0.14285714285714285,-0.14285714285714285,0.14285714,0.00629576,3.24157221,,,,,,
