core_a,core_b,feature,cliffs_delta,p_value,q_value,direction
STATE_A,STATE_B,chr1p,0.14901961,0.48475527,0.74276932,higher_in_core_a
STATE_A,STATE_B,chr1q,0.14117647,0.50867092,0.74276932,higher_in_core_a
STATE_A,STATE_B,chr2p,-0.2,0.34513457,0.74276932,higher_in_core_a
STATE_A,STATE_B,chr2q,0.38823529,0.06423516,0.22482306,higher_in_core_a
STATE_A,STATE_B,chr3p,-0.65490196,0.0017226,0.01598952,lower_in_core_a
STATE_A,STATE_B,chr3q,-0.27058824,0.19916528,0.48795494,lower_in_core_a
STATE_A,STATE_B,chr4p,-0.01960784,0.93979662,0.95937572,lower_in_core_a
STATE_A,STATE_B,chr4q,-0.09019608,0.67785628,0.85628481,lower_in_core_a
STATE_A,STATE_B,chr5p,-0.00392157,1.0,1.0,higher_in_core_a
STATE_A,STATE_B,chr5q,0.49803922,0.01735718,0.10462709,higher_in_core_a
STATE_A,STATE_B,chr6p,0.16862745,0.42772519,0.74276932,higher_in_core_a
STATE_A,STATE_B,chr6q,-0.01960784,0.93979662,0.95937572,higher_in_core_a
STATE_A,STATE_B,chr7p,-0.45882353,0.02850689,0.12698524,lower_in_core_a
STATE_A,STATE_B,chr7q,-0.49019608,0.01921722,0.10462709,lower_in_core_a
STATE_A,STATE_B,chr8p,0.0745098,0.73395841,0.85628481,higher_in_core_a
STATE_A,STATE_B,chr8q,-0.16862745,0.42776754,0.74276932,lower_in_core_a
STATE_A,STATE_B,chr9p,-0.0745098,0.73395841,0.85628481,lower_in_core_a
STATE_A,STATE_B,chr9q,-0.23137255,0.27346423,0.6380832,lower_in_core_a
STATE_A,STATE_B,chr10p,0.09803922,0.65043861,0.85628481,higher_in_core_a
STATE_A,STATE_B,chr10q,0.12941176,0.54570807,0.74276932,higher_in_core_a
STATE_A,STATE_B,chr11p,-0.31764706,0.13091338,0.35637531,lower_in_core_a
STATE_A,STATE_B,chr11q,-0.16862745,0.42776754,0.74276932,lower_in_core_a
STATE_A,STATE_B,chr12p,-0.64705882,0.0019579,0.01598952,lower_in_core_a
STATE_A,STATE_B,chr12q,-0.56078431,0.00733685,0.05135795,lower_in_core_a
STATE_A,STATE_B,chr13p,0.0,,,
STATE_A,STATE_B,chr13q,0.0745098,0.73395841,0.85628481,higher_in_core_a
STATE_A,STATE_B,chr14p,0.0,,,
STATE_A,STATE_B,chr14q,0.03529412,0.8799355,0.95937572,higher_in_core_a
STATE_A,STATE_B,chr15p,0.0,,,
STATE_A,STATE_B,chr15q,-0.1372549,0.52089482,0.74276932,lower_in_core_a
STATE_A,STATE_B,chr16p,-0.34117647,0.10441891,0.30097215,lower_in_core_a
STATE_A,STATE_B,chr16q,-0.35686275,0.08925824,0.27335336,lower_in_core_a
STATE_A,STATE_B,chr17p,0.15294118,0.47307047,0.74276932,higher_in_core_a
STATE_A,STATE_B,chr17q,0.02745098,0.90980204,0.95937572,higher_in_core_a
STATE_A,STATE_B,chr18p,0.16078431,0.45009605,0.74276932,higher_in_core_a
STATE_A,STATE_B,chr18q,0.12941176,0.54570807,0.74276932,higher_in_core_a
STATE_A,STATE_B,chr19p,0.04313725,0.85023881,0.95937572,lower_in_core_a
STATE_A,STATE_B,chr19q,-0.19215686,0.36477397,0.74276932,lower_in_core_a
STATE_A,STATE_B,chr20p,-0.41960784,0.0453268,0.17084717,lower_in_core_a
STATE_A,STATE_B,chr20q,-0.38039216,0.06986608,0.22822919,lower_in_core_a
STATE_A,STATE_B,chr21p,0.0,,,
STATE_A,STATE_B,chr21q,0.27058824,0.19916528,0.48795494,higher_in_core_a
STATE_A,STATE_B,chr22p,0.0,,,
STATE_A,STATE_B,chr22q,-0.01960784,0.93979111,0.95937572,higher_in_core_a
STATE_A,STATE_B,locus::VHL,-0.64705882,0.0019579,0.01598952,lower_in_core_a
STATE_A,STATE_B,locus::SETD2,-0.64705882,0.0019579,0.01598952,lower_in_core_a
STATE_A,STATE_B,locus::PBRM1,-0.64705882,0.0019579,0.01598952,lower_in_core_a
STATE_A,STATE_B,locus::BAP1,-0.64705882,0.0019579,0.01598952,lower_in_core_a
STATE_A,STATE_B,locus::JAK2,-0.14509804,0.4966758,0.74276932,lower_in_core_a
STATE_A,STATE_B,locus::CDKN2A,-0.08235294,0.70570737,0.85628481,higher_in_core_a
STATE_A,STATE_B,locus::PTEN,0.12941176,0.54570807,0.74276932,higher_in_core_a
STATE_A,STATE_B,fga,-0.45098039,0.03135984,0.12805268,lower_in_core_a
STATE_A,STATE_B,gain_burden,-0.19607843,0.35482441,0.74276932,lower_in_core_a
STATE_A,STATE_B,loss_burden,-0.46666667,0.02588038,0.12681386,lower_in_core_a
