state_id,feature,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,p_value,q_value,cliffs_delta,direction
STATE_A,chr1p,17,52,0.0083,0.0088,-0.02819873,-0.018977,-0.07328017,0.34366281,0.42973735,-0.15497738,lower_in_core
STATE_A,chr1q,17,52,0.01180066,0.04065,0.01574636,0.04021429,-0.19699672,0.08673635,0.18508192,-0.27941176,lower_in_core
STATE_A,chr2p,17,52,0.0124,0.03965,0.01842727,0.05171926,-0.31854532,0.02681373,0.08211705,-0.36085973,lower_in_core
STATE_A,chr2q,17,52,0.0124,0.02521267,0.01885844,0.02625313,-0.0715831,0.65084264,0.68903016,-0.07466063,lower_in_core
STATE_A,chr3p,17,52,-0.37905817,-0.30786713,-0.38400558,-0.28071497,-0.56018139,0.01629793,0.0532399,-0.39140271,lower_in_core
STATE_A,chr3q,17,52,0.01113144,0.02344528,-0.08221853,-0.00683802,-0.47743519,0.09065237,0.18508192,-0.2760181,lower_in_core
STATE_A,chr4p,17,52,0.0140933,0.0161,0.01646123,-0.00094774,0.17006015,0.99444451,0.99444451,0.00226244,higher_in_core
STATE_A,chr4q,17,52,0.0113,0.01526915,0.01054366,0.00235227,0.08363624,0.76463374,0.78056361,-0.04977376,lower_in_core
STATE_A,chr5p,17,52,0.0245,0.05075558,0.13295508,0.11564778,0.12113111,0.62105156,0.67625614,-0.08144796,lower_in_core
STATE_A,chr5q,17,52,0.21743534,0.14744993,0.21964098,0.16013246,0.41158056,0.1494986,0.24898108,0.23529412,higher_in_core
STATE_A,chr6p,17,52,0.0138,0.00385,0.01140163,-0.04438874,0.46489998,0.60151618,0.66987029,0.08597285,higher_in_core
STATE_A,chr6q,17,52,0.0107,-0.0093194,0.0096935,-0.07343376,0.58448546,0.1881828,0.27942295,0.21493213,higher_in_core
STATE_A,chr7p,17,52,0.0126,0.05075356,0.03874628,0.11387344,-0.63162481,0.00146256,0.01084223,-0.51809955,lower_in_core
STATE_A,chr7q,17,52,0.0126,0.05198434,0.038646,0.12427922,-0.62170713,0.00177016,0.01084223,-0.50904977,lower_in_core
STATE_A,chr8p,17,52,0.0062,-0.0171,-0.04301397,-0.10394494,0.32846758,0.51278231,0.58433333,0.10746606,higher_in_core
STATE_A,chr8q,17,52,0.011,0.02833627,-0.01966702,0.02253499,-0.27996437,0.06301661,0.16251652,-0.30316742,lower_in_core
STATE_A,chr9p,17,52,0.0127,-0.0166,0.01446132,-0.09240801,0.70592214,0.06301421,0.16251652,0.30316742,higher_in_core
STATE_A,chr9q,17,52,0.012,-0.01339457,0.01067008,-0.08912394,0.64386679,0.08802527,0.18508192,0.27828054,higher_in_core
STATE_A,chr10p,17,52,0.00450771,0.01465237,0.00576047,-0.02124449,0.22778204,0.49062212,0.57239247,-0.11312217,lower_in_core
STATE_A,chr10q,17,52,0.0022055,-0.00889323,0.00408245,-0.05734364,0.47845379,0.34722712,0.42973735,0.15384615,higher_in_core
STATE_A,chr11p,17,52,0.01208423,0.03398007,0.01611495,0.04681952,-0.53950994,0.07813508,0.18231519,-0.28733032,lower_in_core
STATE_A,chr11q,17,52,0.0103,0.0316156,0.01551034,0.03806386,-0.37864171,0.15751864,0.24898108,-0.23076923,lower_in_core
STATE_A,chr12p,17,52,0.0121,0.05088738,0.01240533,0.09198376,-0.9450696,3.871e-05,0.00189679,-0.66968326,lower_in_core
STATE_A,chr12q,17,52,0.01742856,0.05325458,0.02571218,0.09091065,-0.75607724,0.00039399,0.00678274,-0.57692308,lower_in_core
STATE_A,chr13p,17,52,0.0,0.0,0.0,0.0,,,,0.0,
STATE_A,chr13q,17,52,0.01289585,0.0187393,-0.01358886,0.00120506,-0.14647471,0.26228156,0.35699435,-0.18325792,lower_in_core
STATE_A,chr14p,17,52,0.0,0.0,0.0,0.0,,,,0.0,
STATE_A,chr14q,17,52,0.0017,-0.21846708,-0.09656577,-0.17704701,0.39985998,0.11397839,0.22339764,0.25791855,higher_in_core
STATE_A,chr15p,17,52,0.0,0.0,0.0,0.0,,,,0.0,
STATE_A,chr15q,17,52,0.01052502,0.02910249,0.01597509,0.02714715,-0.15377672,0.25640027,0.35699435,-0.18552036,lower_in_core
STATE_A,chr16p,17,52,0.01364299,0.0453,0.01833272,0.06635897,-0.51956289,0.00177016,0.01084223,-0.50904977,lower_in_core
STATE_A,chr16q,17,52,0.01366578,0.03924529,0.01858808,0.06008769,-0.43528069,0.01103997,0.04917805,-0.41402715,lower_in_core
STATE_A,chr17p,17,52,0.0108,0.02435914,0.01815835,0.01353518,0.05333084,0.28988737,0.3839049,-0.17307692,lower_in_core
STATE_A,chr17q,17,52,0.0117,0.03055,0.01892622,0.03225232,-0.16533696,0.12216224,0.2278674,-0.25226244,lower_in_core
STATE_A,chr18p,17,52,0.0293,0.01005,0.03105156,-0.02573834,0.47608287,0.17453488,0.26725654,0.22171946,higher_in_core
STATE_A,chr18q,17,52,0.0293,0.01224384,0.03060944,-0.01861517,0.37724076,0.23378947,0.33693188,0.19457014,higher_in_core
STATE_A,chr19p,17,52,0.0161,0.02070891,0.01971536,0.02482975,-0.08469043,0.66090648,0.68903016,-0.07239819,lower_in_core
STATE_A,chr19q,17,52,0.0135,0.0263,0.01666627,0.03550675,-0.3550477,0.15346689,0.24898108,-0.23303167,lower_in_core
