modality,core_id,silhouette,available_n
ct,STATE_A,-0.004613,17
ct,STATE_B,0.005134,14
ct,STATE_C,-0.003508,14
ct,STATE_D,-0.0015705,24
wsi,STATE_A,0.035968,17
wsi,STATE_B,-0.01727,14
wsi,STATE_C,-0.00237,14
wsi,STATE_D,0.0061745,24
rna,STATE_A,0.047855,17
rna,STATE_B,0.007742,14
rna,STATE_C,0.036311,14
rna,STATE_D,-0.0046865,24
wxs,STATE_A,0.00621,17
wxs,STATE_B,0.134125,14
wxs,STATE_C,0.091248,14
wxs,STATE_D,0.002138,24
cnv,STATE_A,0.045429,17
cnv,STATE_B,-0.0002905,14
cnv,STATE_C,0.0037275,14
cnv,STATE_D,0.004111,24
fused,STATE_A,0.000737,17
fused,STATE_B,0.0007555,14
fused,STATE_C,0.000764,14
fused,STATE_D,0.0001435,24
