core_a,core_b,feature,fisher_p,q_value,odds_ratio,ci_low,ci_high,core_a_frequency,core_b_frequency,frequency_difference
STATE_A,STATE_B,mutation::ARID1A,1.0,1.0,0.82857143,0.01546206,44.40097205,0.0,0.0,0.0
STATE_A,STATE_B,mutation::ATM,0.48817204,1.0,4.67741935,0.20660042,105.89645363,0.11764705882352941,0.0,0.11764705882352941
STATE_A,STATE_B,mutation::BAP1,1.0,1.0,0.82857143,0.01546206,44.40097205,0.0,0.0,0.0
STATE_A,STATE_B,mutation::CDKN2A,1.0,1.0,0.82857143,0.01546206,44.40097205,0.0,0.0,0.0
STATE_A,STATE_B,mutation::DST,1.0,1.0,2.63636364,0.09944974,69.88870187,0.058823529411764705,0.0,0.058823529411764705
STATE_A,STATE_B,mutation::ELOC,0.4516129,1.0,0.25714286,0.00969068,6.82330589,0.0,0.07142857142857142,-0.07142857142857142
STATE_A,STATE_B,mutation::FLG,1.0,1.0,0.82857143,0.01546206,44.40097205,0.0,0.0,0.0
STATE_A,STATE_B,mutation::KDM5C,0.23225806,1.0,7.0,0.33106854,148.00560726,0.17647058823529413,0.0,0.17647058823529413
STATE_A,STATE_B,mutation::KMT2C,1.0,1.0,0.82857143,0.01546206,44.40097205,0.0,0.0,0.0
STATE_A,STATE_B,mutation::LYST,1.0,1.0,2.63636364,0.09944974,69.88870187,0.058823529411764705,0.0,0.058823529411764705
STATE_A,STATE_B,mutation::MTOR,1.0,1.0,0.82857143,0.01546206,44.40097205,0.0,0.0,0.0
STATE_A,STATE_B,mutation::MUC16,0.663824,1.0,1.66666667,0.2963883,9.37208994,0.23529411764705882,0.14285714285714285,0.09243697478991597
STATE_A,STATE_B,mutation::PBRM1,0.00015046,0.00165506,51.30769231,2.60921149,1008.91755887,0.6470588235294118,0.0,0.6470588235294118
STATE_A,STATE_B,mutation::PIK3CA,1.0,1.0,0.82857143,0.01546206,44.40097205,0.0,0.0,0.0
STATE_A,STATE_B,mutation::PTEN,1.0,1.0,2.63636364,0.09944974,69.88870187,0.058823529411764705,0.0,0.058823529411764705
STATE_A,STATE_B,mutation::SETD2,1.0,1.0,2.63636364,0.09944974,69.88870187,0.058823529411764705,0.0,0.058823529411764705
STATE_A,STATE_B,mutation::SPTA1,0.4516129,1.0,0.25714286,0.00969068,6.82330589,0.0,0.07142857142857142,-0.07142857142857142
STATE_A,STATE_B,mutation::TP53,0.08097887,0.59384505,0.09387755,0.00442279,1.99263221,0.0,0.21428571428571427,-0.21428571428571427
STATE_A,STATE_B,mutation::TSC1,1.0,1.0,0.82857143,0.01546206,44.40097205,0.0,0.0,0.0
STATE_A,STATE_B,mutation::TSC2,1.0,1.0,0.82857143,0.01546206,44.40097205,0.0,0.0,0.0
STATE_A,STATE_B,mutation::TTN,1.0,1.0,0.81818182,0.07612046,8.79423836,0.058823529411764705,0.07142857142857142,-0.01260504201680672
STATE_A,STATE_B,mutation::VHL,0.00015046,0.00165506,51.30769231,2.60921149,1008.91755887,0.6470588235294118,0.0,0.6470588235294118
STATE_A,STATE_C,mutation::ARID1A,0.4516129,1.0,0.25714286,0.00969068,6.82330589,0.0,0.07142857142857142,-0.07142857142857142
STATE_A,STATE_C,mutation::ATM,0.48817204,1.0,4.67741935,0.20660042,105.89645363,0.11764705882352941,0.0,0.11764705882352941
STATE_A,STATE_C,mutation::BAP1,2.257e-05,0.00049654,0.0122449,0.00059738,0.2509917,0.0,0.7142857142857143,-0.7142857142857143
STATE_A,STATE_C,mutation::CDKN2A,1.0,1.0,0.82857143,0.01546206,44.40097205,0.0,0.0,0.0
