state_id,feature,q_value,fisher_p,odds_ratio,ci_low,ci_high,frequency_difference,gene,set_mutated_n,set_total_n,rest_mutated_n,rest_total_n,mutation_frequency,rest_mutation_frequency,delta_mutation_frequency
STATE_A,mutation::ARID1A,1.0,1.0,0.57714286,0.02640044,12.61698364,-0.038461538461538464,ARID1A,0,17,2,52,0.0,0.038461538461538464,-0.038461538461538464
STATE_A,mutation::ATM,1.0,0.5904863,2.28110599,0.40831535,12.74369081,0.059954751131221715,ATM,2,17,3,52,0.11764705882352941,0.057692307692307696,0.059954751131221715
STATE_A,mutation::BAP1,0.51087058,0.02995649,0.09257143,0.00518701,1.65210133,-0.23076923076923078,BAP1,0,17,12,52,0.0,0.23076923076923078,-0.23076923076923078
STATE_A,mutation::CDKN2A,1.0,1.0,3.0,0.05735215,156.92524061,0.0,CDKN2A,0,17,0,52,0.0,0.0,0.0
STATE_A,mutation::DST,1.0,1.0,0.97979798,0.14214638,6.7536304,-0.018099547511312222,DST,1,17,4,52,0.058823529411764705,0.07692307692307693,-0.018099547511312222
STATE_A,mutation::ELOC,1.0,1.0,0.98095238,0.03817713,25.20534002,-0.019230769230769232,ELOC,0,17,1,52,0.0,0.019230769230769232,-0.019230769230769232
STATE_A,mutation::FLG,1.0,0.5697599,0.40408163,0.01985899,8.22206718,-0.057692307692307696,FLG,0,17,3,52,0.0,0.057692307692307696,-0.057692307692307696
STATE_A,mutation::KDM5C,0.52525506,0.09179399,4.87586207,0.86884186,27.36289771,0.13800904977375567,KDM5C,3,17,2,52,0.17647058823529413,0.038461538461538464,0.13800904977375567
STATE_A,mutation::KMT2C,1.0,1.0,0.98095238,0.03817713,25.20534002,-0.019230769230769232,KMT2C,0,17,1,52,0.0,0.019230769230769232,-0.019230769230769232
STATE_A,mutation::LYST,1.0,1.0,1.83636364,0.22505656,14.98392822,0.02036199095022624,LYST,1,17,2,52,0.058823529411764705,0.038461538461538464,0.02036199095022624
STATE_A,mutation::MTOR,1.0,0.5697599,0.40408163,0.01985899,8.22206718,-0.057692307692307696,MTOR,0,17,3,52,0.0,0.057692307692307696,-0.057692307692307696
STATE_A,mutation::MUC16,0.52525506,0.09550092,3.59259259,0.85190983,15.15033759,0.1583710407239819,MUC16,4,17,4,52,0.23529411764705882,0.07692307692307693,0.1583710407239819
STATE_A,mutation::PBRM1,0.51087058,0.04644278,3.2993763,1.08150495,10.0654962,0.30090497737556565,PBRM1,11,17,18,52,0.6470588235294118,0.34615384615384615,0.30090497737556565
STATE_A,mutation::PIK3CA,1.0,0.5697599,0.40408163,0.01985899,8.22206718,-0.057692307692307696,PIK3CA,0,17,3,52,0.0,0.057692307692307696,-0.057692307692307696
STATE_A,mutation::PTEN,1.0,1.0,0.97979798,0.14214638,6.7536304,-0.018099547511312222,PTEN,1,17,4,52,0.058823529411764705,0.07692307692307693,-0.018099547511312222
STATE_A,mutation::SETD2,1.0,1.0,1.83636364,0.22505656,14.98392822,0.02036199095022624,SETD2,1,17,2,52,0.058823529411764705,0.038461538461538464,0.02036199095022624
STATE_A,mutation::SPTA1,1.0,0.32304879,0.24675325,0.01295982,4.6981488,-0.09615384615384616,SPTA1,0,17,5,52,0.0,0.09615384615384616,-0.09615384615384616
STATE_A,mutation::TP53,1.0,0.5697599,0.40408163,0.01985899,8.22206718,-0.057692307692307696,TP53,0,17,3,52,0.0,0.057692307692307696,-0.057692307692307696
STATE_A,mutation::TSC1,1.0,1.0,0.98095238,0.03817713,25.20534002,-0.019230769230769232,TSC1,0,17,1,52,0.0,0.019230769230769232,-0.019230769230769232
STATE_A,mutation::TSC2,1.0,1.0,3.0,0.05735215,156.92524061,0.0,TSC2,0,17,0,52,0.0,0.0,0.0
STATE_A,mutation::TTN,1.0,0.67238904,0.65034965,0.10102641,4.18657526,-0.056561085972850686,TTN,1,17,6,52,0.058823529411764705,0.11538461538461539,-0.056561085972850686
STATE_A,mutation::VHL,0.71300728,0.16204711,2.3982906,0.79407605,7.24338404,0.22398190045248872,VHL,11,17,22,52,0.6470588235294118,0.4230769230769231,0.22398190045248872
STATE_B,mutation::ARID1A,1.0,1.0,0.73793103,0.03353125,16.23984074,-0.03636363636363636,ARID1A,0,14,2,55,0.0,0.03636363636363636,-0.03636363636363636
STATE_B,mutation::ATM,1.0,0.57514219,0.31661442,0.01651495,6.06993625,-0.09090909090909091,ATM,0,14,5,55,0.0,0.09090909090909091,-0.09090909090909091
STATE_B,mutation::BAP1,0.58965451,0.10720991,0.12,0.00667876,2.15609003,-0.21818181818181817,BAP1,0,14,12,55,0.0,0.21818181818181817,-0.21818181818181817
STATE_B,mutation::CDKN2A,1.0,1.0,3.82758621,0.07279134,201.2659316,0.0,CDKN2A,0,14,0,55,0.0,0.0,0.0
STATE_B,mutation::DST,1.0,0.57514219,0.31661442,0.01651495,6.06993625,-0.09090909090909091,DST,0,14,5,55,0.0,0.09090909090909091,-0.09090909090909091
STATE_B,mutation::ELOC,0.89275362,0.20289855,12.33333333,0.47560926,319.82369769,0.07142857142857142,ELOC,1,14,0,55,0.07142857142857142,0.0,0.07142857142857142
STATE_B,mutation::FLG,1.0,1.0,0.51724138,0.02524823,10.59633177,-0.05454545454545454,FLG,0,14,3,55,0.0,0.05454545454545454,-0.05454545454545454
STATE_B,mutation::KDM5C,1.0,0.57514219,0.31661442,0.01651495,6.06993625,-0.09090909090909091,KDM5C,0,14,5,55,0.0,0.09090909090909091,-0.09090909090909091
STATE_B,mutation::KMT2C,1.0,1.0,1.25287356,0.04845091,32.39757954,-0.01818181818181818,KMT2C,0,14,1,55,0.0,0.01818181818181818,-0.01818181818181818
STATE_B,mutation::LYST,1.0,1.0,0.51724138,0.02524823,10.59633177,-0.05454545454545454,LYST,0,14,3,55,0.0,0.05454545454545454,-0.05454545454545454
STATE_B,mutation::MTOR,1.0,1.0,0.51724138,0.02524823,10.59633177,-0.05454545454545454,MTOR,0,14,3,55,0.0,0.05454545454545454,-0.05454545454545454
STATE_B,mutation::MUC16,1.0,0.66022796,1.52307692,0.31211517,7.43239523,0.033766233766233764,MUC16,2,14,6,55,0.14285714285714285,0.10909090909090909,0.033766233766233764
STATE_B,mutation::PBRM1,0.00184987,0.00016817,0.03097604,0.00176047,0.54503414,-0.5272727272727272,PBRM1,0,14,29,55,0.0,0.5272727272727272,-0.5272727272727272
STATE_B,mutation::PIK3CA,1.0,1.0,0.51724138,0.02524823,10.59633177,-0.05454545454545454,PIK3CA,0,14,3,55,0.0,0.05454545454545454,-0.05454545454545454
STATE_B,mutation::PTEN,1.0,0.57514219,0.31661442,0.01651495,6.06993625,-0.09090909090909091,PTEN,0,14,5,55,0.0,0.09090909090909091,-0.09090909090909091
STATE_B,mutation::SETD2,1.0,1.0,0.51724138,0.02524823,10.59633177,-0.05454545454545454,SETD2,0,14,3,55,0.0,0.05454545454545454,-0.05454545454545454
STATE_B,mutation::SPTA1,1.0,1.0,1.27160494,0.18224994,8.87231652,-0.0012987012987012991,SPTA1,1,14,4,55,0.07142857142857142,0.07272727272727272,-0.0012987012987012991
STATE_B,mutation::TP53,0.05094731,0.00694736,33.7826087,1.63137472,699.57235244,0.21428571428571427,TP53,3,14,0,55,0.21428571428571427,0.0,0.21428571428571427
STATE_B,mutation::TSC1,1.0,1.0,1.25287356,0.04845091,32.39757954,-0.01818181818181818,TSC1,0,14,1,55,0.0,0.01818181818181818,-0.01818181818181818
STATE_B,mutation::TSC2,1.0,1.0,3.82758621,0.07279134,201.2659316,0.0,TSC2,0,14,0,55,0.0,0.0,0.0
STATE_B,mutation::TTN,1.0,1.0,0.84615385,0.12980938,5.51559778,-0.03766233766233766,TTN,1,14,6,55,0.07142857142857142,0.10909090909090909,-0.03766233766233766
STATE_B,mutation::VHL,0.0006567,2.985e-05,0.02316006,0.00131392,0.4082361,-0.6,VHL,0,14,33,55,0.0,0.6,-0.6
STATE_C,mutation::ARID1A,1.0,0.36700767,4.03703704,0.38874662,41.92362591,0.053246753246753244,ARID1A,1,14,1,55,0.07142857142857142,0.01818181818181818,0.053246753246753244
STATE_C,mutation::ATM,1.0,0.57514219,0.31661442,0.01651495,6.06993625,-0.09090909090909091,ATM,0,14,5,55,0.0,0.09090909090909091,-0.09090909090909091
STATE_C,mutation::BAP1,3.74e-06,1.7e-07,49.93333333,9.29078079,268.36687179,0.6779220779220779,BAP1,10,14,2,55,0.7142857142857143,0.03636363636363636,0.6779220779220779
STATE_C,mutation::CDKN2A,1.0,1.0,3.82758621,0.07279134,201.2659316,0.0,CDKN2A,0,14,0,55,0.0,0.0,0.0
STATE_C,mutation::DST,1.0,0.57514219,0.31661442,0.01651495,6.06993625,-0.09090909090909091,DST,0,14,5,55,0.0,0.09090909090909091,-0.09090909090909091
STATE_C,mutation::ELOC,1.0,1.0,1.25287356,0.04845091,32.39757954,-0.01818181818181818,ELOC,0,14,1,55,0.0,0.01818181818181818,-0.01818181818181818
