feature,group_a,group_b,n_a,n_b,median_a,median_b,mean_a,mean_b,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,p_adjusted_holm,clinical_variable,missing_n_a,missing_n_b,levels,chi_square,permutations
age,STATE_A,STATE_B,29,19,54.0,68.0,54.86206897,65.52631579,-0.47368421,-0.74414701,-0.17422868,0.00608116,0.01824348,,,,,,
age,STATE_A,STATE_C,29,11,54.0,58.0,54.86206897,60.90909091,-0.33855799,-0.6677116,0.01575235,0.10467785,0.2093557,,,,,,
age,STATE_B,STATE_C,19,11,68.0,58.0,65.52631579,60.90909091,0.29186603,-0.12452153,0.66985646,0.19582351,0.2093557,,,,,,
,STATE_A,STATE_B,29,19,,,,,,,,0.0078,0.0156,stage_group,0,0,I;II;III;IV,10.70382296,9999
,STATE_A,STATE_C,29,11,,,,,,,,0.0038,0.0114,stage_group,0,0,I;II;III;IV,12.55792167,9999
,STATE_B,STATE_C,19,11,,,,,,,,0.0942,0.0942,stage_group,0,0,I;II;III;IV,6.13636364,9999
,STATE_A,STATE_B,29,19,,,,,,,,0.554,0.554,m_stage,0,0,M0;M1,0.9814882,9999
,STATE_A,STATE_C,29,9,,,,,,,,0.0019,0.0057,m_stage,0,2,M0;M1,14.02554278,9999
,STATE_B,STATE_C,19,9,,,,,,,,0.0206,0.0412,m_stage,0,2,M0;M1,6.6042885,9999
,STATE_A,STATE_B,29,19,,,,,,,,0.0236,0.0472,grade,0,0,G2;G3;G4,7.51559149,9999
,STATE_A,STATE_C,29,11,,,,,,,,0.0024,0.0072,grade,0,0,G2;G3;G4,12.97109021,9999
,STATE_B,STATE_C,19,11,,,,,,,,0.5614,0.5614,grade,0,0,G2;G3;G4,1.08680793,9999
,STATE_A,STATE_B,29,19,,,,,,,,0.0085,0.0255,t_stage,0,0,T1a;T1b;T2;T3a;T3b;T4,14.15671112,9999
,STATE_A,STATE_C,29,11,,,,,,,,0.1399,0.2798,t_stage,0,0,T1a;T1b;T2;T2b;T3a;T4,8.04299149,9999
,STATE_B,STATE_C,19,11,,,,,,,,0.574,0.574,t_stage,0,0,T1a;T1b;T2;T2b;T3a;T3b;T4,5.22385509,9999
