feature,group_count,available_n,group_sizes,kruskal_h,p_value,q_value,epsilon_squared
original_shape_Elongation,3,59,29;19;11,3.97903574,0.13676135,0.00075205,0.03533992
original_shape_Flatness,3,59,29;19;11,3.7012967,0.15713525,0.00075205,0.0303803
original_shape_LeastAxisLength,3,59,29;19;11,6.74769672,0.03425755,0.00075205,0.0847803
original_shape_MajorAxisLength,3,59,29;19;11,6.12339967,0.04680806,0.00075205,0.07363214
original_shape_Maximum2DDiameterColumn,3,59,29;19;11,8.38208161,0.01513053,0.00075205,0.11396574
original_shape_Maximum2DDiameterRow,3,59,29;19;11,10.1500955,0.00625079,0.00075205,0.14553742
original_shape_Maximum2DDiameterSlice,3,59,29;19;11,1.52601657,0.46626167,0.00075205,0.0
original_shape_MeshVolume,3,59,29;19;11,8.87185367,0.01184408,0.00075205,0.12271167
original_shape_MinorAxisLength,3,59,29;19;11,7.62149447,0.02213164,0.00075205,0.10038383
original_shape_Sphericity,3,59,29;19;11,4.66232176,0.09718286,0.00075205,0.04754146
original_shape_SurfaceVolumeRatio,3,59,29;19;11,3.40571422,0.18216232,0.00075205,0.02510204
original_firstorder_10Percentile,3,59,29;19;11,0.96866938,0.61610696,0.00075205,0.0
original_firstorder_90Percentile,3,59,29;19;11,3.46985422,0.17641306,0.00075205,0.0262474
original_firstorder_Energy,3,59,29;19;11,8.31964743,0.01561031,0.00075205,0.11285085
original_firstorder_InterquartileRange,3,59,29;19;11,3.34418049,0.18785399,0.00075205,0.02400322
original_firstorder_Kurtosis,3,59,29;19;11,0.24364945,0.88530353,0.00075205,0.0
original_firstorder_Maximum,3,59,29;19;11,1.71755514,0.42367968,0.00075205,0.0
original_firstorder_Mean,3,59,29;19;11,2.39787919,0.30151377,0.00075205,0.00710499
original_firstorder_Minimum,3,59,29;19;11,2.67483075,0.26252332,0.00075205,0.01205055
original_firstorder_Range,3,59,29;19;11,3.32535494,0.18963057,0.00075205,0.02366705
original_firstorder_Skewness,3,59,29;19;11,0.07487046,0.96325681,0.00075205,0.0
original_firstorder_Uniformity,3,59,29;19;11,3.26647893,0.19529589,0.00075205,0.0226157
original_firstorder_Variance,3,59,29;19;11,4.47127872,0.10692375,0.00075205,0.04412998
original_glcm_Correlation,3,59,29;19;11,2.53465474,0.28158318,0.00075205,0.00954741
original_glcm_Idmn,3,59,29;19;11,1.14430074,0.56431066,0.00075205,0.0
original_glcm_Idn,3,59,29;19;11,1.7167699,0.42384606,0.00075205,0.0
original_glcm_Imc1,3,59,29;19;11,2.68414173,0.26130398,0.00075205,0.01221682
original_glrlm_LongRunHighGrayLevelEmphasis,3,59,29;19;11,4.02587032,0.13359597,0.00075205,0.03617626
original_glrlm_LowGrayLevelRunEmphasis,3,59,29;19;11,0.49242643,0.78175552,0.00075205,0.0
original_glrlm_RunEntropy,3,59,29;19;11,3.84984522,0.14588705,0.00075205,0.03303295
original_glrlm_RunLengthNonUniformity,3,59,29;19;11,7.22971149,0.02692081,0.00075205,0.09338771
original_glszm_GrayLevelNonUniformity,3,59,29;19;11,4.87819597,0.08723951,0.00075205,0.05139636
original_glszm_LargeAreaEmphasis,3,59,29;19;11,9.73948809,0.00767533,0.00075205,0.13820514
original_glszm_LargeAreaHighGrayLevelEmphasis,3,59,29;19;11,9.91717538,0.00702284,0.00075205,0.14137813
original_glszm_SizeZoneNonUniformity,3,59,29;19;11,2.69429612,0.25998065,0.00075205,0.01239815
original_glszm_SizeZoneNonUniformityNormalized,3,59,29;19;11,3.84130157,0.14651158,0.00075205,0.03288039
original_glszm_ZoneEntropy,3,59,29;19;11,2.2382076,0.32657234,0.00075205,0.00425371
original_glszm_ZonePercentage,3,59,29;19;11,3.10037892,0.21220777,0.00075205,0.01964962
original_gldm_DependenceEntropy,3,59,29;19;11,2.59341889,0.27343005,0.00075205,0.01059677
original_gldm_GrayLevelNonUniformity,3,59,29;19;11,6.00985797,0.04954227,0.00075205,0.07160461
original_gldm_LargeDependenceHighGrayLevelEmphasis,3,59,29;19;11,1.09284422,0.57901777,0.00075205,0.0
log-sigma-1-0-mm-3D_firstorder_10Percentile,3,59,29;19;11,5.33318046,0.06948876,0.00075205,0.05952108
log-sigma-1-0-mm-3D_firstorder_90Percentile,3,59,29;19;11,5.03452191,0.08068029,0.00075205,0.05418789
log-sigma-1-0-mm-3D_firstorder_Energy,3,59,29;19;11,6.25767522,0.04376864,0.00075205,0.07602991
log-sigma-1-0-mm-3D_firstorder_InterquartileRange,3,59,29;19;11,4.92976994,0.08501862,0.00075205,0.05231732
log-sigma-1-0-mm-3D_firstorder_Kurtosis,3,59,29;19;11,1.60212529,0.44885174,0.00075205,0.0
log-sigma-1-0-mm-3D_firstorder_Maximum,3,59,29;19;11,2.44800685,0.2940506,0.00075205,0.00800012
log-sigma-1-0-mm-3D_firstorder_Mean,3,59,29;19;11,0.00770136,0.99615672,0.00075205,0.0
log-sigma-1-0-mm-3D_firstorder_Minimum,3,59,29;19;11,1.31880906,0.5171592,0.00075205,0.0
log-sigma-1-0-mm-3D_firstorder_Range,3,59,29;19;11,1.63437258,0.44167265,0.00075205,0.0
log-sigma-1-0-mm-3D_firstorder_Skewness,3,59,29;19;11,0.46773397,0.79146709,0.00075205,0.0
log-sigma-1-0-mm-3D_glcm_Correlation,3,59,29;19;11,5.12508816,0.07710832,0.00075205,0.05580515
log-sigma-1-0-mm-3D_glcm_Imc1,3,59,29;19;11,2.47724518,0.28978309,0.00075205,0.00852224
log-sigma-1-0-mm-3D_glcm_MCC,3,59,29;19;11,3.83065836,0.14729334,0.00075205,0.03269033
log-sigma-1-0-mm-3D_glrlm_LongRunEmphasis,3,59,29;19;11,9.26008853,0.00975433,0.00075205,0.12964444
log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,3,59,29;19;11,3.6748794,0.15922457,0.00075205,0.02990856
log-sigma-1-0-mm-3D_glrlm_RunEntropy,3,59,29;19;11,1.21092061,0.54582312,0.00075205,0.0
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity,3,59,29;19;11,7.75880693,0.02066315,0.00075205,0.10283584
log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis,3,59,29;19;11,11.28298905,0.00354756,0.00075205,0.16576766
log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,3,59,29;19;11,10.19616945,0.00610843,0.00075205,0.14636017
