feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
HALLMARK_ADIPOGENESIS,3,59,29;19;11,estimable,,16.7976812,0.00022513,0.00093804,0.26424431
HALLMARK_ALLOGRAFT_REJECTION,3,59,29;19;11,estimable,,25.50013395,2.9e-06,4.833e-05,0.41964525
HALLMARK_ANDROGEN_RESPONSE,3,59,29;19;11,estimable,,18.37541492,0.00010229,0.00051145,0.29241812
HALLMARK_ANGIOGENESIS,3,59,29;19;11,estimable,,11.99449663,0.00248558,0.00621395,0.17847315
HALLMARK_APICAL_JUNCTION,3,59,29;19;11,estimable,,11.143341,0.00380412,0.00760824,0.16327395
HALLMARK_APICAL_SURFACE,3,59,29;19;11,estimable,,0.61196256,0.7364004,0.7364004,0.0
HALLMARK_APOPTOSIS,3,59,29;19;11,estimable,,11.03626576,0.00401333,0.00771794,0.16136189
HALLMARK_BILE_ACID_METABOLISM,3,59,29;19;11,estimable,,10.13596123,0.00629512,0.01165763,0.14528502
HALLMARK_CHOLESTEROL_HOMEOSTASIS,3,59,29;19;11,estimable,,1.57750329,0.45441171,0.49392577,0.0
HALLMARK_COAGULATION,3,59,29;19;11,estimable,,20.60282607,3.359e-05,0.0002465,0.33219332
HALLMARK_COMPLEMENT,3,59,29;19;11,estimable,,15.4725511,0.00043669,0.00145563,0.24058127
HALLMARK_DNA_REPAIR,3,59,29;19;11,estimable,,17.22950008,0.00018141,0.00082459,0.27195536
HALLMARK_E2F_TARGETS,3,59,29;19;11,estimable,,11.54606584,0.00311031,0.00706889,0.17046546
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,3,59,29;19;11,estimable,,16.57171413,0.00025206,0.00096946,0.26020918
HALLMARK_ESTROGEN_RESPONSE_EARLY,3,59,29;19;11,estimable,,6.92623861,0.03133188,0.0435165,0.08796855
HALLMARK_ESTROGEN_RESPONSE_LATE,3,59,29;19;11,estimable,,1.1091418,0.57431865,0.59824859,0.0
HALLMARK_FATTY_ACID_METABOLISM,3,59,29;19;11,estimable,,19.04884969,7.305e-05,0.00040583,0.30444374
HALLMARK_G2M_CHECKPOINT,3,59,29;19;11,estimable,,4.82873834,0.08942373,0.11464581,0.05051318
HALLMARK_GLYCOLYSIS,3,59,29;19;11,estimable,,3.66771943,0.15979561,0.19023287,0.0297807
HALLMARK_HEDGEHOG_SIGNALING,3,59,29;19;11,estimable,,5.84275012,0.05385958,0.07086787,0.06862054
HALLMARK_HEME_METABOLISM,3,59,29;19;11,estimable,,27.06187433,1.33e-06,3.325e-05,0.44753347
HALLMARK_HYPOXIA,3,59,29;19;11,estimable,,4.76139587,0.09248601,0.11560751,0.04931064
