feature,group_count,available_n,missing_n,mutated_n,total_n,comparison_status,chi_square,p_value,q_value,permutations
mutation::ARID1A,3,59,0,1,59,estimable,2.1415608,0.4985,1.0,9999
mutation::ATM,3,59,0,3,59,estimable,1.91593207,0.4445,1.0,9999
mutation::BAP1,3,59,0,9,59,estimable,13.47496013,0.0012,0.0264,9999
mutation::CDKN2A,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
mutation::DST,3,59,0,2,59,estimable,0.5898685,1.0,1.0,9999
mutation::ELOC,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
mutation::FLG,3,59,0,2,59,estimable,4.35826408,0.1315,0.72325,9999
mutation::KDM5C,3,59,0,4,59,estimable,1.4523676,0.5352,1.0,9999
mutation::KMT2C,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
mutation::LYST,3,59,0,5,59,estimable,0.20160956,1.0,1.0,9999
mutation::MTOR,3,59,0,2,59,estimable,0.5898685,1.0,1.0,9999
mutation::MUC16,3,59,0,6,59,estimable,0.93149936,0.8444,1.0,9999
mutation::PBRM1,3,59,0,20,59,estimable,3.16062425,0.2268,0.99792,9999
mutation::PIK3CA,3,59,0,2,59,estimable,4.35826408,0.1272,0.72325,9999
mutation::PTEN,3,59,0,3,59,estimable,1.91593207,0.4433,1.0,9999
mutation::SETD2,3,59,0,3,59,estimable,1.91593207,0.4422,1.0,9999
mutation::SPTA1,3,59,0,3,59,estimable,13.79220779,0.0053,0.0583,9999
mutation::TP53,3,59,0,2,59,estimable,0.5898685,1.0,1.0,9999
mutation::TSC1,3,59,0,0,59,estimable,0.0,1.0,1.0,9999
mutation::TSC2,3,59,0,2,59,estimable,0.5898685,1.0,1.0,9999
mutation::TTN,3,59,0,6,59,estimable,0.93149936,0.8552,1.0,9999
mutation::VHL,3,59,0,34,59,estimable,0.35236119,0.8824,1.0,9999
