feature,group_a,group_b,n_a,n_b,median_a,median_b,mean_a,mean_b,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,p_adjusted_holm,clinical_variable,missing_n_a,missing_n_b,levels,chi_square,permutations
age,CORE01,CORE02,18,14,57.0,66.0,58.33333333,65.07142857,-0.31746032,-0.68263889,0.11130952,0.13309819,0.79858914,,,,,,
age,CORE01,CORE03,18,11,57.0,46.0,58.33333333,49.18181818,0.46969697,0.07058081,0.81325758,0.03844324,0.26910268,,,,,,
age,CORE01,CORE04,18,11,57.0,58.0,58.33333333,60.90909091,-0.14646465,-0.57083333,0.29292929,0.52852249,1.0,,,,,,
age,CORE01,CORE05,18,5,57.0,71.0,58.33333333,66.8,-0.34444444,-0.82222222,0.2,0.26260719,1.0,,,,,,
age,CORE02,CORE03,14,11,66.0,46.0,65.07142857,49.18181818,0.68831169,0.32467532,0.96103896,0.00402341,0.0402341,,,,,,
age,CORE02,CORE04,14,11,66.0,58.0,65.07142857,60.90909091,0.26623377,-0.22077922,0.70779221,0.2730073,1.0,,,,,,
age,CORE02,CORE05,14,5,66.0,71.0,65.07142857,66.8,-0.02857143,-0.60035714,0.57178571,0.96301341,1.0,,,,,,
age,CORE03,CORE04,11,11,46.0,58.0,49.18181818,60.90909091,-0.65289256,-0.95041322,-0.2642562,0.01028754,0.09258786,,,,,,
age,CORE03,CORE05,11,5,46.0,71.0,49.18181818,66.8,-0.8,-1.0,-0.38181818,0.01478962,0.11831696,,,,,,
age,CORE04,CORE05,11,5,58.0,71.0,60.90909091,66.8,-0.36363636,-1.0,0.25454545,0.2796891,1.0,,,,,,
,CORE01,CORE02,18,14,,,,,,,,0.1062,0.6372,stage_group,0,0,I;II;III;IV,5.91625094,9999
,CORE01,CORE03,18,11,,,,,,,,0.836,1.0,stage_group,0,0,I;II;III;IV,2.27630471,9999
,CORE01,CORE04,18,11,,,,,,,,0.0489,0.3912,stage_group,0,0,I;II;III;IV,7.40867003,9999
,CORE01,CORE05,18,5,,,,,,,,0.0879,0.6153,stage_group,0,0,I;II;III;IV,7.69328704,9999
,CORE02,CORE03,14,11,,,,,,,,0.1773,0.7092,stage_group,0,0,I;II;III;IV,4.97835498,9999
,CORE02,CORE04,14,11,,,,,,,,0.1348,0.674,stage_group,0,0,I;II;III;IV,5.42812166,9999
,CORE02,CORE05,14,5,,,,,,,,0.9027,1.0,stage_group,0,0,I;II;III;IV,0.82721088,9999
,CORE03,CORE04,11,11,,,,,,,,0.0098,0.098,stage_group,0,0,I;II;III;IV,9.14285714,9999
,CORE03,CORE05,11,5,,,,,,,,0.0381,0.3429,stage_group,0,0,I;II;III;IV,7.15636364,9999
,CORE04,CORE05,11,5,,,,,,,,0.2338,0.7092,stage_group,0,0,I;II;III;IV,5.91515152,9999
,CORE01,CORE02,18,14,,,,,,,,0.5675,1.0,m_stage,0,0,M0;M1,0.70644043,9999
,CORE01,CORE03,18,11,,,,,,,,1.0,1.0,m_stage,0,0,M0;M1,0.63293651,9999
,CORE01,CORE04,18,9,,,,,,,,0.0088,0.0756,m_stage,0,2,M0;M1,8.67857143,9999
,CORE01,CORE05,18,5,,,,,,,,1.0,1.0,m_stage,0,0,M0;M1,0.29040404,9999
,CORE02,CORE03,14,11,,,,,,,,0.4903,1.0,m_stage,0,0,M0;M1,1.70807453,9999
,CORE02,CORE04,14,9,,,,,,,,0.0632,0.4424,m_stage,0,2,M0;M1,4.40702948,9999
,CORE02,CORE05,14,5,,,,,,,,0.5884,1.0,m_stage,0,0,M0;M1,0.79831933,9999
,CORE03,CORE04,11,9,,,,,,,,0.0084,0.0756,m_stage,0,2,M0;M1,8.14814815,9999
,CORE03,CORE05,11,5,,,,,,,,,,m_stage,0,0,M0,,9999
,CORE04,CORE05,9,5,,,,,,,,0.0819,0.4914,m_stage,2,0,M0;M1,4.32098765,9999
