feature,group_a,group_b,n_a,n_b,median_a,median_b,mean_a,mean_b,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,p_adjusted_holm
chr1p,CORE01,CORE02,18,14,0.0077,-0.00162186,-0.01867747,-0.06490474,0.25396825,-0.17460317,0.65892857,0.23146794,1.0
chr1p,CORE01,CORE03,18,11,0.0077,0.0111,-0.01867747,-0.10627496,0.08080808,-0.39393939,0.57575758,0.73601027,1.0
chr1p,CORE01,CORE04,18,11,0.0077,0.01240818,-0.01867747,0.00717589,-0.16161616,-0.64646465,0.33358586,0.48600734,1.0
chr1p,CORE01,CORE05,18,5,0.0077,0.04059111,-0.01867747,0.02671721,-0.28888889,-1.0,0.51111111,0.36304199,1.0
chr1p,CORE02,CORE03,14,11,-0.00162186,0.0111,-0.06490474,-0.10627496,-0.03896104,-0.51948052,0.45454545,0.89111889,1.0
chr1p,CORE02,CORE04,14,11,-0.00162186,0.01240818,-0.06490474,0.00717589,-0.32467532,-0.7275974,0.12987013,0.17983936,1.0
chr1p,CORE02,CORE05,14,5,-0.00162186,0.04059111,-0.06490474,0.02671721,-0.34285714,-1.0,0.37142857,0.29755762,1.0
chr1p,CORE03,CORE04,11,11,0.0111,0.01240818,-0.10627496,0.00717589,-0.30578512,-0.73553719,0.19008264,0.23708508,1.0
chr1p,CORE03,CORE05,11,5,0.0111,0.04059111,-0.10627496,0.02671721,-0.49090909,-1.0,0.16363636,0.14052705,1.0
chr1p,CORE04,CORE05,11,5,0.01240818,0.04059111,0.00717589,0.02671721,-0.09090909,-0.78181818,0.6,0.82692308,1.0
chr1q,CORE01,CORE02,18,14,0.01005033,0.00223817,0.01457209,0.02112598,0.16666667,-0.28571429,0.61111111,0.43613842,1.0
chr1q,CORE01,CORE03,18,11,0.01005033,0.0118,0.01457209,-0.09165623,0.11111111,-0.37373737,0.57575758,0.63692819,1.0
chr1q,CORE01,CORE04,18,11,0.01005033,0.081,0.01457209,0.0900182,-0.74747475,-1.0,-0.38383838,0.00095459,1.0
chr1q,CORE01,CORE05,18,5,0.01005033,0.04683304,0.01457209,0.04801372,-0.22222222,-1.0,0.6,0.4909507,1.0
chr1q,CORE02,CORE03,14,11,0.00223817,0.0118,0.02112598,-0.09165623,0.09090909,-0.41558442,0.53246753,0.72190779,1.0
chr1q,CORE02,CORE04,14,11,0.00223817,0.081,0.02112598,0.0900182,-0.5974026,-0.93506494,-0.19480519,0.01274227,1.0
chr1q,CORE02,CORE05,14,5,0.00223817,0.04683304,0.02112598,0.04801372,-0.25714286,-0.8,0.34285714,0.44392845,1.0
chr1q,CORE03,CORE04,11,11,0.0118,0.081,-0.09165623,0.0900182,-0.83471074,-1.0,-0.50413223,0.0010228,1.0
chr1q,CORE03,CORE05,11,5,0.0118,0.04683304,-0.09165623,0.04801372,-0.41818182,-1.0,0.30909091,0.21236526,1.0
chr1q,CORE04,CORE05,11,5,0.081,0.04683304,0.0900182,0.04801372,0.34545455,-0.30909091,0.92727273,0.31959707,1.0
chr2p,CORE01,CORE02,18,14,0.0114,0.01007839,0.02216859,0.03274756,0.01587302,-0.41269841,0.44444444,0.9545609,1.0
chr2p,CORE01,CORE03,18,11,0.0114,0.0129,0.02216859,-0.04197339,0.04040404,-0.44444444,0.46464646,0.87499794,1.0
chr2p,CORE01,CORE04,18,11,0.0114,0.0571,0.02216859,0.06323735,-0.56565657,-0.8989899,-0.15126263,0.01261207,1.0
chr2p,CORE01,CORE05,18,5,0.0114,0.0664,0.02216859,0.0885075,-0.51111111,-1.0,0.2,0.09432673,1.0
chr2p,CORE02,CORE03,14,11,0.01007839,0.0129,0.03274756,-0.04197339,0.12987013,-0.37662338,0.55844156,0.60301029,1.0
chr2p,CORE02,CORE04,14,11,0.01007839,0.0571,0.03274756,0.06323735,-0.45454545,-0.83116883,0.01298701,0.05893221,1.0
chr2p,CORE02,CORE05,14,5,0.01007839,0.0664,0.03274756,0.0885075,-0.37142857,-0.91428571,0.34285714,0.25662195,1.0
chr2p,CORE03,CORE04,11,11,0.0129,0.0571,-0.04197339,0.06323735,-0.73553719,-0.98347107,-0.38842975,0.00386149,1.0
