feature,group_count,available_n,missing_n,mutated_n,total_n,comparison_status,chi_square,p_value,q_value,permutations
chr1p::loss,5,59,0,7,59,estimable,4.01512575,0.4293,0.75497586,9999
chr1p::gain,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr1q::loss,5,59,0,3,59,estimable,13.79220779,0.0241,0.28913077,9999
chr1q::gain,5,59,0,1,59,estimable,3.26970443,0.689,1.0,9999
chr2p::loss,5,59,0,2,59,estimable,9.03349282,0.0715,0.28913077,9999
chr2p::gain,5,59,0,2,59,estimable,6.2179198,0.2272,0.51498667,9999
chr2q::loss,5,59,0,2,59,estimable,9.03349282,0.0687,0.28913077,9999
chr2q::gain,5,59,0,1,59,estimable,4.43887147,0.2693,0.5704,9999
chr3p::loss,5,59,0,44,59,estimable,6.72868053,0.1452,0.4114,9999
chr3p::gain,5,59,0,2,59,estimable,9.03349282,0.0714,0.28913077,9999
chr3q::loss,5,59,0,6,59,estimable,2.91674835,0.6049,1.0,9999
chr3q::gain,5,59,0,4,59,estimable,5.98358914,0.1648,0.45431351,9999
chr4p::loss,5,59,0,2,59,estimable,6.81275917,0.1356,0.39517714,9999
chr4p::gain,5,59,0,2,59,estimable,9.03349282,0.0717,0.28913077,9999
chr4q::loss,5,59,0,1,59,estimable,10.9862069,0.0846,0.29444,9999
chr4q::gain,5,59,0,2,59,estimable,9.03349282,0.0682,0.28913077,9999
chr5p::loss,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr5p::gain,5,59,0,15,59,estimable,10.74715095,0.029,0.28913077,9999
chr5q::loss,5,59,0,1,59,estimable,10.9862069,0.0866,0.29444,9999
chr5q::gain,5,59,0,24,59,estimable,2.84964973,0.6003,1.0,9999
chr6p::loss,5,59,0,7,59,estimable,4.46499572,0.3626,0.69783396,9999
chr6p::gain,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr6q::loss,5,59,0,9,59,estimable,2.70904313,0.6298,1.0,9999
chr6q::gain,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr7p::loss,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr7p::gain,5,59,0,11,59,estimable,5.93031396,0.2016,0.50441429,9999
chr7q::loss,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr7q::gain,5,59,0,11,59,estimable,5.93031396,0.2077,0.50441429,9999
chr8p::loss,5,59,0,13,59,estimable,5.79222613,0.2187,0.50698636,9999
chr8p::gain,5,59,0,2,59,estimable,2.88681932,0.6199,1.0,9999
chr8q::loss,5,59,0,3,59,estimable,1.75772607,0.831,1.0,9999
chr8q::gain,5,59,0,4,59,estimable,3.10672963,0.5746,0.99337627,9999
chr9p::loss,5,59,0,9,59,estimable,7.36265512,0.1052,0.335325,9999
chr9p::gain,5,59,0,2,59,estimable,2.40213539,0.8504,1.0,9999
chr9q::loss,5,59,0,12,59,estimable,12.22917242,0.0152,0.28913077,9999
chr9q::gain,5,59,0,2,59,estimable,6.81275917,0.133,0.39517714,9999
chr10p::loss,5,59,0,4,59,estimable,14.12099174,0.0043,0.1462,9999
chr10p::gain,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr10q::loss,5,59,0,5,59,estimable,3.89672439,0.3773,0.69972,9999
chr10q::gain,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr11p::loss,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr11p::gain,5,59,0,2,59,estimable,9.03349282,0.0717,0.28913077,9999
chr11q::loss,5,59,0,1,59,estimable,3.26970443,0.7008,1.0,9999
chr11q::gain,5,59,0,2,59,estimable,9.03349282,0.0737,0.28913077,9999
chr12p::loss,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr12p::gain,5,59,0,10,59,estimable,4.35187767,0.3892,0.7089,9999
chr12q::loss,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr12q::gain,5,59,0,10,59,estimable,4.11507495,0.4255,0.75497586,9999
chr13p::loss,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr13p::gain,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr13q::loss,5,59,0,5,59,estimable,2.68746246,0.6911,1.0,9999
chr13q::gain,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr14p::loss,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr14p::gain,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr14q::loss,5,59,0,22,59,estimable,5.96692779,0.2059,0.50441429,9999
chr14q::gain,5,59,0,2,59,estimable,9.03349282,0.0686,0.28913077,9999
chr15p::loss,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr15p::gain,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr15q::loss,5,59,0,1,59,estimable,3.26970443,0.6991,1.0,9999
chr15q::gain,5,59,0,2,59,estimable,9.03349282,0.0729,0.28913077,9999
chr16p::loss,5,59,0,1,59,estimable,10.9862069,0.0839,0.29444,9999
chr16p::gain,5,59,0,9,59,estimable,12.36341831,0.0123,0.28913077,9999
chr16q::loss,5,59,0,1,59,estimable,10.9862069,0.0845,0.29444,9999
chr16q::gain,5,59,0,8,59,estimable,9.1138415,0.0584,0.28913077,9999
chr17p::loss,5,59,0,3,59,estimable,5.85393476,0.171,0.459,9999
chr17p::gain,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr17q::loss,5,59,0,2,59,estimable,9.03349282,0.0656,0.28913077,9999
chr17q::gain,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr18p::loss,5,59,0,6,59,estimable,1.23606732,0.9328,1.0,9999
chr18p::gain,5,59,0,1,59,estimable,4.43887147,0.2683,0.5704,9999
chr18q::loss,5,59,0,6,59,estimable,1.23606732,0.9357,1.0,9999
chr18q::gain,5,59,0,2,59,estimable,6.81275917,0.1342,0.39517714,9999
chr19p::loss,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr19p::gain,5,59,0,1,59,estimable,4.43887147,0.2751,0.5704,9999
chr19q::loss,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr19q::gain,5,59,0,3,59,estimable,5.85393476,0.1758,0.45978462,9999
chr20p::loss,5,59,0,2,59,estimable,1.80729602,0.8574,1.0,9999
chr20p::gain,5,59,0,8,59,estimable,15.78666921,0.0021,0.1462,9999
chr20q::loss,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr20q::gain,5,59,0,10,59,estimable,16.82758813,0.0034,0.1462,9999
chr21p::loss,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr21p::gain,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr21q::loss,5,59,0,5,59,estimable,8.38029555,0.0719,0.28913077,9999
chr21q::gain,5,59,0,4,59,estimable,7.31927391,0.1019,0.33528387,9999
chr22p::loss,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr22p::gain,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
chr22q::loss,5,59,0,3,59,estimable,4.64301175,0.3438,0.67437692,9999
chr22q::gain,5,59,0,2,59,estimable,9.03349282,0.0691,0.28913077,9999
locus::VHL::loss,5,59,0,45,59,estimable,5.24418768,0.2737,0.5704,9999
locus::VHL::gain,5,59,0,3,59,estimable,8.51796537,0.0553,0.28913077,9999
locus::SETD2::loss,5,59,0,47,59,estimable,6.00731197,0.2167,0.50698636,9999
locus::SETD2::gain,5,59,0,2,59,estimable,9.03349282,0.0699,0.28913077,9999
locus::PBRM1::loss,5,59,0,46,59,estimable,5.27815759,0.2852,0.5704,9999
locus::PBRM1::gain,5,59,0,2,59,estimable,9.03349282,0.0705,0.28913077,9999
locus::BAP1::loss,5,59,0,46,59,estimable,5.27815759,0.2835,0.5704,9999
locus::BAP1::gain,5,59,0,2,59,estimable,9.03349282,0.0711,0.28913077,9999
locus::JAK2::loss,5,59,0,11,59,estimable,11.39482487,0.0209,0.28913077,9999
locus::JAK2::gain,5,59,0,4,59,estimable,1.79387708,0.9335,1.0,9999
locus::CDKN2A::loss,5,59,0,13,59,estimable,10.23152717,0.0319,0.28913077,9999
locus::CDKN2A::gain,5,59,0,1,59,estimable,2.31704981,1.0,1.0,9999
locus::PTEN::loss,5,59,0,7,59,estimable,4.46499572,0.3753,0.69972,9999
locus::PTEN::gain,5,59,0,0,59,estimable,0.0,1.0,1.0,9999
