feature,group_a,group_b,n_a,n_b,frequency_a,frequency_b,frequency_difference,odds_ratio,ci_low,ci_high,fisher_p,p_adjusted_holm
chr1p::loss,CORE01,CORE02,18,14,0.05555555555555555,0.14285714285714285,-0.0873015873015873,0.42857143,0.04989794,3.68098329,0.56814516,1.0
chr1p::loss,CORE01,CORE03,18,11,0.05555555555555555,0.2727272727272727,-0.21717171717171715,0.20816327,0.02598252,1.66773459,0.13894152,1.0
chr1p::loss,CORE01,CORE04,18,11,0.05555555555555555,0.09090909090909091,-0.03535353535353536,0.6,0.05503052,6.541824,1.0,1.0
chr1p::loss,CORE01,CORE05,18,5,0.05555555555555555,0.0,0.05555555555555555,0.94285714,0.0333787,26.63313897,1.0,1.0
chr1p::loss,CORE02,CORE03,14,11,0.14285714285714285,0.2727272727272727,-0.12987012987012986,0.48571429,0.07697413,3.06490464,0.62318841,1.0
chr1p::loss,CORE02,CORE04,14,11,0.14285714285714285,0.09090909090909091,0.05194805194805194,1.4,0.15758866,12.43744325,1.0,1.0
chr1p::loss,CORE02,CORE05,14,5,0.14285714285714285,0.0,0.14285714285714285,2.2,0.08987835,53.85056722,1.0,1.0
chr1p::loss,CORE03,CORE04,11,11,0.2727272727272727,0.09090909090909091,0.1818181818181818,2.88235294,0.34743979,23.91193724,0.58646617,1.0
chr1p::loss,CORE03,CORE05,11,5,0.2727272727272727,0.0,0.2727272727272727,4.52941176,0.19382635,105.84511012,0.50892857,1.0
chr1p::loss,CORE04,CORE05,11,5,0.09090909090909091,0.0,0.09090909090909091,1.57142857,0.05442988,45.36823621,1.0,1.0
chr1p::gain,CORE01,CORE02,18,14,0.0,0.0,0.0,0.78378378,0.01464809,41.93836444,1.0,1.0
chr1p::gain,CORE01,CORE03,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
chr1p::gain,CORE01,CORE04,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
chr1p::gain,CORE01,CORE05,18,5,0.0,0.0,0.0,0.2972973,0.00526358,16.79194606,1.0,1.0
chr1p::gain,CORE02,CORE03,14,11,0.0,0.0,0.0,0.79310345,0.01458921,43.1149501,1.0,1.0
chr1p::gain,CORE02,CORE04,14,11,0.0,0.0,0.0,0.79310345,0.01458921,43.1149501,1.0,1.0
chr1p::gain,CORE02,CORE05,14,5,0.0,0.0,0.0,0.37931034,0.00666812,21.57673143,1.0,1.0
chr1p::gain,CORE03,CORE04,11,11,0.0,0.0,0.0,1.0,0.01823686,54.83401542,1.0,1.0
chr1p::gain,CORE03,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
chr1p::gain,CORE04,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
chr1q::loss,CORE01,CORE02,18,14,0.0,0.0,0.0,0.78378378,0.01464809,41.93836444,1.0,1.0
chr1q::loss,CORE01,CORE03,18,11,0.0,0.2727272727272727,-0.2727272727272727,0.06563707,0.00303927,1.41752134,0.04515599,1.0
chr1q::loss,CORE01,CORE04,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
chr1q::loss,CORE01,CORE05,18,5,0.0,0.0,0.0,0.2972973,0.00526358,16.79194606,1.0,1.0
chr1q::loss,CORE02,CORE03,14,11,0.0,0.2727272727272727,-0.2727272727272727,0.08374384,0.00384176,1.82547414,0.07173913,1.0
chr1q::loss,CORE02,CORE04,14,11,0.0,0.0,0.0,0.79310345,0.01458921,43.1149501,1.0,1.0
chr1q::loss,CORE02,CORE05,14,5,0.0,0.0,0.0,0.37931034,0.00666812,21.57673143,1.0,1.0
chr1q::loss,CORE03,CORE04,11,11,0.2727272727272727,0.0,0.2727272727272727,9.47058824,0.42962858,208.76646976,0.21428571,1.0
chr1q::loss,CORE03,CORE05,11,5,0.2727272727272727,0.0,0.2727272727272727,4.52941176,0.19382635,105.84511012,0.50892857,1.0
chr1q::loss,CORE04,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
chr1q::gain,CORE01,CORE02,18,14,0.0,0.07142857142857142,-0.07142857142857142,0.24324324,0.00918346,6.44280536,0.4375,1.0
chr1q::gain,CORE01,CORE03,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
chr1q::gain,CORE01,CORE04,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
chr1q::gain,CORE01,CORE05,18,5,0.0,0.0,0.0,0.2972973,0.00526358,16.79194606,1.0,1.0
chr1q::gain,CORE02,CORE03,14,11,0.07142857142857142,0.0,0.07142857142857142,2.55555556,0.09464531,69.0035712,1.0,1.0
chr1q::gain,CORE02,CORE04,14,11,0.07142857142857142,0.0,0.07142857142857142,2.55555556,0.09464531,69.0035712,1.0,1.0
chr1q::gain,CORE02,CORE05,14,5,0.07142857142857142,0.0,0.07142857142857142,1.22222222,0.04285016,34.8616506,1.0,1.0
chr1q::gain,CORE03,CORE04,11,11,0.0,0.0,0.0,1.0,0.01823686,54.83401542,1.0,1.0
chr1q::gain,CORE03,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
chr1q::gain,CORE04,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
