feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
HALLMARK_ADIPOGENESIS,5,59,18;14;11;11;5,estimable,,18.22678895,0.00111429,0.00464288,0.26345905
HALLMARK_ALLOGRAFT_REJECTION,5,59,18;14;11;11;5,estimable,,25.96518209,3.216e-05,0.000536,0.40676263
HALLMARK_ANDROGEN_RESPONSE,5,59,18;14;11;11;5,estimable,,19.59410522,0.00060048,0.00299514,0.28877973
HALLMARK_ANGIOGENESIS,5,59,18;14;11;11;5,estimable,,13.79885587,0.00796548,0.01810336,0.18146029
HALLMARK_APICAL_JUNCTION,5,59,18;14;11;11;5,estimable,,12.55791816,0.01365061,0.02734708,0.15847997
HALLMARK_APICAL_SURFACE,5,59,18;14;11;11;5,estimable,,1.19235747,0.8793553,0.8793553,0.0
HALLMARK_APOPTOSIS,5,59,18;14;11;11;5,estimable,,12.55402646,0.01367354,0.02734708,0.1584079
HALLMARK_BILE_ACID_METABOLISM,5,59,18;14;11;11;5,estimable,,10.79808056,0.02892953,0.04821588,0.12589038
HALLMARK_CHOLESTEROL_HOMEOSTASIS,5,59,18;14;11;11;5,estimable,,1.76587717,0.77871905,0.79461128,0.0
HALLMARK_COAGULATION,5,59,18;14;11;11;5,estimable,,21.75073935,0.00022466,0.00160471,0.3287174
HALLMARK_COMPLEMENT,5,59,18;14;11;11;5,estimable,,17.06203879,0.00188003,0.00601247,0.24188961
HALLMARK_DNA_REPAIR,5,59,18;14;11;11;5,estimable,,17.60610512,0.00147314,0.00566592,0.25196491
HALLMARK_E2F_TARGETS,5,59,18;14;11;11;5,estimable,,16.16572064,0.00280467,0.00738071,0.22529112
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,5,59,18;14;11;11;5,estimable,,19.3892851,0.00065893,0.00299514,0.28498676
HALLMARK_ESTROGEN_RESPONSE_EARLY,5,59,18;14;11;11;5,estimable,,7.23653729,0.12390393,0.15487991,0.05993588
HALLMARK_ESTROGEN_RESPONSE_LATE,5,59,18;14;11;11;5,estimable,,1.83765794,0.76558588,0.79461128,0.0
HALLMARK_FATTY_ACID_METABOLISM,5,59,18;14;11;11;5,estimable,,20.63424365,0.00037417,0.00233856,0.30804155
HALLMARK_G2M_CHECKPOINT,5,59,18;14;11;11;5,estimable,,6.87036956,0.14289924,0.17426737,0.05315499
HALLMARK_GLYCOLYSIS,5,59,18;14;11;11;5,estimable,,4.68707364,0.3209379,0.36470216,0.01272359
HALLMARK_HEDGEHOG_SIGNALING,5,59,18;14;11;11;5,estimable,,7.71373982,0.10264532,0.13211813,0.06877296
HALLMARK_HEME_METABOLISM,5,59,18;14;11;11;5,estimable,,27.3942231,1.654e-05,0.0004135,0.43322635
HALLMARK_HYPOXIA,5,59,18;14;11;11;5,estimable,,11.82788466,0.01867812,0.03591946,0.14496083
HALLMARK_IL2_STAT5_SIGNALING,5,59,18;14;11;11;5,estimable,,5.87532516,0.20865455,0.24262157,0.03472824
HALLMARK_IL6_JAK_STAT3_SIGNALING,5,59,18;14;11;11;5,estimable,,24.19044244,7.315e-05,0.00069033,0.37389708
HALLMARK_INFLAMMATORY_RESPONSE,5,59,18;14;11;11;5,estimable,,19.50907672,0.00062409,0.00299514,0.28720512
HALLMARK_INTERFERON_ALPHA_RESPONSE,5,59,18;14;11;11;5,estimable,,15.53478661,0.00371137,0.0088366,0.21360716
HALLMARK_INTERFERON_GAMMA_RESPONSE,5,59,18;14;11;11;5,estimable,,17.01038521,0.00192399,0.00601247,0.24093306
HALLMARK_KRAS_SIGNALING_DN,5,59,18;14;11;11;5,estimable,,8.98410204,0.06149809,0.08541401,0.09229819
HALLMARK_KRAS_SIGNALING_UP,5,59,18;14;11;11;5,estimable,,7.70377626,0.10305214,0.13211813,0.06858845
HALLMARK_MITOTIC_SPINDLE,5,59,18;14;11;11;5,estimable,,3.42566146,0.48927132,0.5436348,0.0
HALLMARK_MTORC1_SIGNALING,5,59,18;14;11;11;5,estimable,,16.70418226,0.00220618,0.00612828,0.23526263
HALLMARK_MYC_TARGETS_V1,5,59,18;14;11;11;5,estimable,,8.63212464,0.07098196,0.09592157,0.08578009
HALLMARK_MYC_TARGETS_V2,5,59,18;14;11;11;5,estimable,,9.69451464,0.04590026,0.06750038,0.10545397
HALLMARK_MYOGENESIS,5,59,18;14;11;11;5,estimable,,24.25995353,7.084e-05,0.00069033,0.37518432
HALLMARK_NOTCH_SIGNALING,5,59,18;14;11;11;5,estimable,,10.80957957,0.02878953,0.04821588,0.12610333
HALLMARK_OXIDATIVE_PHOSPHORYLATION,5,59,18;14;11;11;5,estimable,,6.42373371,0.16965966,0.20197579,0.04488396
HALLMARK_P53_PATHWAY,5,59,18;14;11;11;5,estimable,,15.88955952,0.003171,0.0079275,0.22017703
HALLMARK_PANCREAS_BETA_CELLS,5,59,18;14;11;11;5,estimable,,28.92050236,8.11e-06,0.0004055,0.46149078
HALLMARK_PEROXISOME,5,59,18;14;11;11;5,estimable,,11.33131607,0.0230823,0.042745,0.13576511
HALLMARK_PI3K_AKT_MTOR_SIGNALING,5,59,18;14;11;11;5,estimable,,9.94770758,0.04131781,0.06260274,0.11014273
HALLMARK_PROTEIN_SECRETION,5,59,18;14;11;11;5,estimable,,23.92095091,8.284e-05,0.00069033,0.3689065
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,5,59,18;14;11;11;5,estimable,,10.39365813,0.03429378,0.05531255,0.11840108
HALLMARK_SPERMATOGENESIS,5,59,18;14;11;11;5,estimable,,2.1594365,0.70646203,0.75155535,0.0
HALLMARK_TGF_BETA_SIGNALING,5,59,18;14;11;11;5,estimable,,9.31456747,0.05370013,0.07671447,0.09841792
HALLMARK_TNFA_SIGNALING_VIA_NFKB,5,59,18;14;11;11;5,estimable,,17.13973586,0.00181576,0.00601247,0.24332844
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,5,59,18;14;11;11;5,estimable,,10.81531489,0.02871994,0.04821588,0.12620954
HALLMARK_UV_RESPONSE_DN,5,59,18;14;11;11;5,estimable,,13.13669381,0.01062684,0.02310183,0.16919803
HALLMARK_UV_RESPONSE_UP,5,59,18;14;11;11;5,estimable,,10.15263971,0.0379335,0.05927109,0.11393777
HALLMARK_WNT_BETA_CATENIN_SIGNALING,5,59,18;14;11;11;5,estimable,,16.80067699,0.00211311,0.00612828,0.23704957
HALLMARK_XENOBIOTIC_METABOLISM,5,59,18;14;11;11;5,estimable,,2.95745885,0.56496962,0.61409741,0.0
