group_id,feature,n_group,n_rest,median_group,median_rest,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,analysis_role
CORE01,HALLMARK_ADIPOGENESIS,18,41,0.47897262,0.45604856,0.29810298,,,0.07145003,descriptive_secondary
CORE01,HALLMARK_ALLOGRAFT_REJECTION,18,41,0.19230124,0.25899905,-0.46883469,,,0.00451528,descriptive_secondary
CORE01,HALLMARK_ANDROGEN_RESPONSE,18,41,0.43676558,0.39383533,0.40650407,,,0.01385145,descriptive_secondary
CORE01,HALLMARK_ANGIOGENESIS,18,41,0.49168134,0.45061852,0.22493225,,,0.17442301,descriptive_secondary
CORE01,HALLMARK_APICAL_JUNCTION,18,41,0.29794491,0.3010869,-0.00542005,,,0.98029965,descriptive_secondary
CORE01,HALLMARK_APICAL_SURFACE,18,41,0.08642266,0.08833008,-0.04065041,,,0.81133719,descriptive_secondary
CORE01,HALLMARK_APOPTOSIS,18,41,0.44081437,0.44963923,-0.22493225,,,0.17442301,descriptive_secondary
CORE01,HALLMARK_BILE_ACID_METABOLISM,18,41,0.17730295,0.15070791,0.2195122,,,0.18510354,descriptive_secondary
CORE01,HALLMARK_CHOLESTEROL_HOMEOSTASIS,18,41,0.32378537,0.31964402,0.02439024,,,0.88871659,descriptive_secondary
CORE01,HALLMARK_COAGULATION,18,41,0.3678839,0.3927523,-0.27913279,,,0.09153196,descriptive_secondary
CORE01,HALLMARK_COMPLEMENT,18,41,0.2925629,0.32122509,-0.31165312,,,0.059441,descriptive_secondary
CORE01,HALLMARK_DNA_REPAIR,18,41,0.29119022,0.30752409,-0.36314363,,,0.02797061,descriptive_secondary
CORE01,HALLMARK_E2F_TARGETS,18,41,0.09227065,0.10321614,-0.20867209,,,0.20790205,descriptive_secondary
CORE01,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,18,41,0.40259277,0.41415223,-0.14092141,,,0.39654867,descriptive_secondary
CORE01,HALLMARK_ESTROGEN_RESPONSE_EARLY,18,41,0.25037089,0.22753576,0.30623306,,,0.06402683,descriptive_secondary
CORE01,HALLMARK_ESTROGEN_RESPONSE_LATE,18,41,0.2453884,0.25169251,0.00813008,,,0.96717201,descriptive_secondary
CORE01,HALLMARK_FATTY_ACID_METABOLISM,18,41,0.42153978,0.3969021,0.30623306,,,0.06402683,descriptive_secondary
CORE01,HALLMARK_G2M_CHECKPOINT,18,41,0.09239662,0.09763949,-0.15718157,,,0.3438558,descriptive_secondary
CORE01,HALLMARK_GLYCOLYSIS,18,41,0.39263077,0.3924002,-0.100271,,,0.54792735,descriptive_secondary
CORE01,HALLMARK_HEDGEHOG_SIGNALING,18,41,0.15400235,0.12376053,0.27642276,,,0.09473961,descriptive_secondary
CORE01,HALLMARK_HEME_METABOLISM,18,41,0.33288064,0.30818834,0.46612466,,,0.00475379,descriptive_secondary
CORE01,HALLMARK_HYPOXIA,18,41,0.46702924,0.46052477,0.04065041,,,0.81133719,descriptive_secondary
CORE01,HALLMARK_IL2_STAT5_SIGNALING,18,41,0.28311581,0.28388802,-0.04336043,,,0.79859684,descriptive_secondary
CORE01,HALLMARK_IL6_JAK_STAT3_SIGNALING,18,41,0.26010371,0.33439975,-0.41463415,,,0.01205674,descriptive_secondary
