feature,group_a,group_b,n_a,n_b,frequency_a,frequency_b,frequency_difference,odds_ratio,ci_low,ci_high,fisher_p,p_adjusted_holm
mutation::ARID1A,CORE01,CORE02,18,14,0.0,0.07142857142857142,-0.07142857142857142,0.24324324,0.00918346,6.44280536,0.4375,1.0
mutation::ARID1A,CORE01,CORE03,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
mutation::ARID1A,CORE01,CORE04,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
mutation::ARID1A,CORE01,CORE05,18,5,0.0,0.0,0.0,0.2972973,0.00526358,16.79194606,1.0,1.0
mutation::ARID1A,CORE02,CORE03,14,11,0.07142857142857142,0.0,0.07142857142857142,2.55555556,0.09464531,69.0035712,1.0,1.0
mutation::ARID1A,CORE02,CORE04,14,11,0.07142857142857142,0.0,0.07142857142857142,2.55555556,0.09464531,69.0035712,1.0,1.0
mutation::ARID1A,CORE02,CORE05,14,5,0.07142857142857142,0.0,0.07142857142857142,1.22222222,0.04285016,34.8616506,1.0,1.0
mutation::ARID1A,CORE03,CORE04,11,11,0.0,0.0,0.0,1.0,0.01823686,54.83401542,1.0,1.0
mutation::ARID1A,CORE03,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
mutation::ARID1A,CORE04,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
mutation::ATM,CORE01,CORE02,18,14,0.05555555555555555,0.14285714285714285,-0.0873015873015873,0.42857143,0.04989794,3.68098329,0.56814516,1.0
mutation::ATM,CORE01,CORE03,18,11,0.05555555555555555,0.0,0.05555555555555555,1.97142857,0.07373718,52.70787957,1.0,1.0
mutation::ATM,CORE01,CORE04,18,11,0.05555555555555555,0.0,0.05555555555555555,1.97142857,0.07373718,52.70787957,1.0,1.0
mutation::ATM,CORE01,CORE05,18,5,0.05555555555555555,0.0,0.05555555555555555,0.94285714,0.0333787,26.63313897,1.0,1.0
mutation::ATM,CORE02,CORE03,14,11,0.14285714285714285,0.0,0.14285714285714285,4.6,0.19904951,106.30520851,0.48666667,1.0
mutation::ATM,CORE02,CORE04,14,11,0.14285714285714285,0.0,0.14285714285714285,4.6,0.19904951,106.30520851,0.48666667,1.0
mutation::ATM,CORE02,CORE05,14,5,0.14285714285714285,0.0,0.14285714285714285,2.2,0.08987835,53.85056722,1.0,1.0
mutation::ATM,CORE03,CORE04,11,11,0.0,0.0,0.0,1.0,0.01823686,54.83401542,1.0,1.0
mutation::ATM,CORE03,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
mutation::ATM,CORE04,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
mutation::BAP1,CORE01,CORE02,18,14,0.0,0.14285714285714285,-0.14285714285714285,0.13513514,0.00596678,3.06052857,0.18346774,1.0
mutation::BAP1,CORE01,CORE03,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
mutation::BAP1,CORE01,CORE04,18,11,0.0,0.45454545454545453,-0.45454545454545453,0.03194103,0.00154339,0.66103011,0.00389036,1.0
mutation::BAP1,CORE01,CORE05,18,5,0.0,0.4,-0.4,0.03783784,0.00147561,0.97024609,0.03952569,1.0
mutation::BAP1,CORE02,CORE03,14,11,0.14285714285714285,0.0,0.14285714285714285,4.6,0.19904951,106.30520851,0.48666667,1.0
mutation::BAP1,CORE02,CORE04,14,11,0.14285714285714285,0.45454545454545453,-0.3116883116883117,0.23636364,0.0402542,1.38787425,0.17745995,1.0
mutation::BAP1,CORE02,CORE05,14,5,0.14285714285714285,0.4,-0.2571428571428572,0.28,0.03373757,2.32381913,0.27218782,1.0
mutation::BAP1,CORE03,CORE04,11,11,0.0,0.45454545454545453,-0.45454545454545453,0.0513834,0.00243177,1.08573255,0.03508772,1.0
mutation::BAP1,CORE03,CORE05,11,5,0.0,0.4,-0.4,0.06086957,0.00232814,1.59144182,0.08333333,1.0
mutation::BAP1,CORE04,CORE05,11,5,0.45454545454545453,0.4,0.05454545454545451,1.18461538,0.16342157,8.58707706,1.0,1.0
mutation::CDKN2A,CORE01,CORE02,18,14,0.0,0.0,0.0,0.78378378,0.01464809,41.93836444,1.0,1.0
mutation::CDKN2A,CORE01,CORE03,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
mutation::CDKN2A,CORE01,CORE04,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
mutation::CDKN2A,CORE01,CORE05,18,5,0.0,0.0,0.0,0.2972973,0.00526358,16.79194606,1.0,1.0
mutation::CDKN2A,CORE02,CORE03,14,11,0.0,0.0,0.0,0.79310345,0.01458921,43.1149501,1.0,1.0
mutation::CDKN2A,CORE02,CORE04,14,11,0.0,0.0,0.0,0.79310345,0.01458921,43.1149501,1.0,1.0
mutation::CDKN2A,CORE02,CORE05,14,5,0.0,0.0,0.0,0.37931034,0.00666812,21.57673143,1.0,1.0
mutation::CDKN2A,CORE03,CORE04,11,11,0.0,0.0,0.0,1.0,0.01823686,54.83401542,1.0,1.0
mutation::CDKN2A,CORE03,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
mutation::CDKN2A,CORE04,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
mutation::DST,CORE01,CORE02,18,14,0.05555555555555555,0.07142857142857142,-0.015873015873015872,0.77142857,0.07197216,8.26850281,1.0,1.0
mutation::DST,CORE01,CORE03,18,11,0.05555555555555555,0.0,0.05555555555555555,1.97142857,0.07373718,52.70787957,1.0,1.0
mutation::DST,CORE01,CORE04,18,11,0.05555555555555555,0.0,0.05555555555555555,1.97142857,0.07373718,52.70787957,1.0,1.0
mutation::DST,CORE01,CORE05,18,5,0.05555555555555555,0.0,0.05555555555555555,0.94285714,0.0333787,26.63313897,1.0,1.0
mutation::DST,CORE02,CORE03,14,11,0.07142857142857142,0.0,0.07142857142857142,2.55555556,0.09464531,69.0035712,1.0,1.0
mutation::DST,CORE02,CORE04,14,11,0.07142857142857142,0.0,0.07142857142857142,2.55555556,0.09464531,69.0035712,1.0,1.0
mutation::DST,CORE02,CORE05,14,5,0.07142857142857142,0.0,0.07142857142857142,1.22222222,0.04285016,34.8616506,1.0,1.0
mutation::DST,CORE03,CORE04,11,11,0.0,0.0,0.0,1.0,0.01823686,54.83401542,1.0,1.0
mutation::DST,CORE03,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
mutation::DST,CORE04,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
mutation::ELOC,CORE01,CORE02,18,14,0.0,0.0,0.0,0.78378378,0.01464809,41.93836444,1.0,1.0
mutation::ELOC,CORE01,CORE03,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
mutation::ELOC,CORE01,CORE04,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
mutation::ELOC,CORE01,CORE05,18,5,0.0,0.0,0.0,0.2972973,0.00526358,16.79194606,1.0,1.0
mutation::ELOC,CORE02,CORE03,14,11,0.0,0.0,0.0,0.79310345,0.01458921,43.1149501,1.0,1.0
mutation::ELOC,CORE02,CORE04,14,11,0.0,0.0,0.0,0.79310345,0.01458921,43.1149501,1.0,1.0
mutation::ELOC,CORE02,CORE05,14,5,0.0,0.0,0.0,0.37931034,0.00666812,21.57673143,1.0,1.0
mutation::ELOC,CORE03,CORE04,11,11,0.0,0.0,0.0,1.0,0.01823686,54.83401542,1.0,1.0
mutation::ELOC,CORE03,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
mutation::ELOC,CORE04,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
mutation::FLG,CORE01,CORE02,18,14,0.0,0.0,0.0,0.78378378,0.01464809,41.93836444,1.0,1.0
mutation::FLG,CORE01,CORE03,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
mutation::FLG,CORE01,CORE04,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
mutation::FLG,CORE01,CORE05,18,5,0.0,0.4,-0.4,0.03783784,0.00147561,0.97024609,0.03952569,1.0
mutation::FLG,CORE02,CORE03,14,11,0.0,0.0,0.0,0.79310345,0.01458921,43.1149501,1.0,1.0
mutation::FLG,CORE02,CORE04,14,11,0.0,0.0,0.0,0.79310345,0.01458921,43.1149501,1.0,1.0
mutation::FLG,CORE02,CORE05,14,5,0.0,0.4,-0.4,0.04827586,0.00186615,1.24886247,0.05847953,1.0
mutation::FLG,CORE03,CORE04,11,11,0.0,0.0,0.0,1.0,0.01823686,54.83401542,1.0,1.0
mutation::FLG,CORE03,CORE05,11,5,0.0,0.4,-0.4,0.06086957,0.00232814,1.59144182,0.08333333,1.0
mutation::FLG,CORE04,CORE05,11,5,0.0,0.4,-0.4,0.06086957,0.00232814,1.59144182,0.08333333,1.0
