group_id,feature,n_group,n_rest,median_group,median_rest,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,analysis_role
CORE01,chr1p,21,35,0.0071,0.0083,-0.06802721,-0.36598639,0.2272449,0.67839719,descriptive_secondary
CORE01,chr1q,21,35,0.0111,0.0386,-0.21496599,-0.51568027,0.09394558,0.18398769,descriptive_secondary
CORE01,chr2p,21,35,0.00455039,0.0345,-0.50204082,-0.73605442,-0.24081633,0.0018453,descriptive_secondary
CORE01,chr2q,21,35,0.01038123,0.02060706,-0.06666667,-0.38231293,0.22183673,0.68460881,descriptive_secondary
CORE01,chr3p,21,35,-0.37905817,-0.23670342,-0.59727891,-0.8122449,-0.36326531,0.00021022,descriptive_secondary
CORE01,chr3q,21,35,0.0014,0.04344037,-0.52108844,-0.75510204,-0.25986395,0.00122698,descriptive_secondary
CORE01,chr4p,21,35,0.0092,0.0122,-0.03129252,-0.33333333,0.27353741,0.85231397,descriptive_secondary
CORE01,chr4q,21,35,0.00396346,0.01088212,-0.09659864,-0.39340136,0.2055102,0.55361699,descriptive_secondary
CORE01,chr5p,21,35,0.015,0.04842706,-0.2462585,-0.58095238,0.0885034,0.12771297,descriptive_secondary
CORE01,chr5q,21,35,0.18974304,0.137377,0.11836735,-0.20823129,0.44217687,0.46677098,descriptive_secondary
CORE01,chr6p,21,35,0.00885326,-0.0016,0.07619048,-0.2244898,0.36333333,0.64162149,descriptive_secondary
CORE01,chr6q,21,35,0.0078,-0.0109388,0.17823129,-0.1292517,0.46673469,0.2712988,descriptive_secondary
CORE01,chr7p,21,35,0.01867086,0.05295096,-0.40680272,-0.69802721,-0.06938776,0.01167847,descriptive_secondary
CORE01,chr7q,21,35,0.01514,0.0465,-0.40408163,-0.67619048,-0.09653061,0.01225243,descriptive_secondary
CORE01,chr8p,21,35,0.00269424,-0.0092,0.11836735,-0.1755102,0.41496599,0.46677098,descriptive_secondary
CORE01,chr8q,21,35,0.00158928,0.02875602,-0.32244898,-0.61088435,-0.03945578,0.04581846,descriptive_secondary
CORE01,chr9p,21,35,0.0069,-0.04660716,0.08707483,-0.21904762,0.42452381,0.59394837,descriptive_secondary
CORE01,chr9q,21,35,0.0074,-0.02198519,0.04353741,-0.25721088,0.37010204,0.79306672,descriptive_secondary
CORE01,chr10p,21,35,0.0006,0.01566029,-0.27891156,-0.56190476,0.00408163,0.08429815,descriptive_secondary
CORE01,chr10q,21,35,-0.00032201,-0.0086,0.06122449,-0.23816327,0.35789116,0.7096445,descriptive_secondary
CORE01,chr11p,21,35,0.0066,0.02903211,-0.44489796,-0.68435374,-0.17544218,0.00580401,descriptive_secondary
CORE01,chr11q,21,35,0.005,0.02161219,-0.33605442,-0.59455782,-0.04210884,0.03737142,descriptive_secondary
CORE01,chr12p,21,35,0.0069,0.06137886,-0.6707483,-0.90210884,-0.39034014,3.136e-05,descriptive_secondary
CORE01,chr12q,21,35,0.0153,0.05899188,-0.54285714,-0.81496599,-0.22993197,0.00075736,descriptive_secondary
CORE01,chr13p,21,35,0.0,0.0,0.0,0.0,0.0,1.0,descriptive_secondary
CORE01,chr13q,21,35,0.00514759,0.0105,-0.06394558,-0.3470068,0.2244898,0.69708542,descriptive_secondary
CORE01,chr14p,21,35,0.0,0.0,0.0,0.0,0.0,1.0,descriptive_secondary
CORE01,chr14q,21,35,0.00275823,-0.14731681,0.37687075,0.08571429,0.64353741,0.01951486,descriptive_secondary
CORE01,chr15p,21,35,0.0,0.0,0.0,0.0,0.0,1.0,descriptive_secondary
CORE01,chr15q,21,35,0.0097,0.0252813,-0.2244898,-0.51564626,0.08306122,0.16520137,descriptive_secondary
CORE01,chr16p,21,35,0.0067,0.0392545,-0.52653061,-0.79870748,-0.23265306,0.00108932,descriptive_secondary
CORE01,chr16q,21,35,0.00776626,0.03869057,-0.52108844,-0.76333333,-0.24619048,0.00122698,descriptive_secondary
CORE01,chr17p,21,35,0.0084,0.0167,-0.19319728,-0.46938776,0.09931973,0.2327908,descriptive_secondary
CORE01,chr17q,21,35,0.0086,0.02613022,-0.34285714,-0.60139456,-0.05571429,0.03366762,descriptive_secondary
CORE01,chr18p,21,35,0.0207,0.0146,0.14013605,-0.15918367,0.43952381,0.38805407,descriptive_secondary
CORE01,chr18q,21,35,0.0207,0.01267851,0.11020408,-0.16741497,0.40680272,0.4984249,descriptive_secondary
CORE01,chr19p,21,35,0.0072,0.02131781,-0.27346939,-0.55646259,0.00687075,0.0905649,descriptive_secondary
CORE01,chr19q,21,35,0.0049,0.0272,-0.54285714,-0.78503401,-0.28142857,0.0007572,descriptive_secondary
CORE01,chr20p,21,35,0.0093,0.05755152,-0.46666667,-0.71979592,-0.18367347,0.00380251,descriptive_secondary
CORE01,chr20q,21,35,0.0094,0.0779,-0.58911565,-0.82857143,-0.30605442,0.00025648,descriptive_secondary
CORE01,chr21p,21,35,0.0,0.0,0.0,0.0,0.0,1.0,descriptive_secondary
CORE01,chr21q,21,35,0.00774318,0.0212,-0.15102041,-0.44768707,0.15102041,0.35193946,descriptive_secondary
CORE01,chr22p,21,35,0.0,0.0,0.0,0.0,0.0,1.0,descriptive_secondary
CORE01,chr22q,21,35,0.01340119,0.02844704,-0.3170068,-0.60006803,-0.02040816,0.04961748,descriptive_secondary
CORE01,locus::VHL,21,35,-0.4651,-0.2634,-0.6952381,-0.88306122,-0.46394558,1.591e-05,descriptive_secondary
CORE01,locus::SETD2,21,35,-0.4562,-0.3061,-0.66802721,-0.86666667,-0.42585034,3.377e-05,descriptive_secondary
CORE01,locus::PBRM1,21,35,-0.4562,-0.2934,-0.6707483,-0.86666667,-0.43666667,3.136e-05,descriptive_secondary
CORE01,locus::BAP1,21,35,-0.4562,-0.2934,-0.6707483,-0.86666667,-0.43666667,3.136e-05,descriptive_secondary
CORE01,locus::JAK2,21,35,0.0069,-0.0146,0.05986395,-0.24217687,0.37554422,0.71594936,descriptive_secondary
CORE01,locus::CDKN2A,21,35,0.0069,-0.0593,0.13333333,-0.17823129,0.4585034,0.41173722,descriptive_secondary
CORE01,locus::PTEN,21,35,-0.0002,-0.0053,0.03401361,-0.25993197,0.32789116,0.83906116,descriptive_secondary
CORE01,fga,21,35,0.07654066,0.13784999,-0.39591837,-0.64081633,-0.10469388,0.01412704,descriptive_secondary
CORE01,gain_burden,21,35,0.04419657,0.04972458,-0.08571429,-0.38778912,0.22180272,0.59980029,descriptive_secondary
CORE01,loss_burden,21,35,0.03379695,0.099953,-0.44761905,-0.68707483,-0.17278912,0.00551037,descriptive_secondary
CORE02,chr1p,14,42,0.00622385,0.0077,0.10884354,-0.28928571,0.5,0.55114199,descriptive_secondary
CORE02,chr1q,14,42,0.03574772,0.01575912,0.1122449,-0.2789966,0.49668367,0.53857324,descriptive_secondary
CORE02,chr2p,14,42,0.0327,0.01675,0.2755102,-0.08163265,0.63265306,0.12770562,descriptive_secondary
CORE02,chr2q,14,42,0.02635,0.00919062,0.27210884,-0.09863946,0.61904762,0.13250663,descriptive_secondary
CORE02,chr3p,14,42,-0.2068723,-0.33422013,0.42857143,0.1292517,0.69387755,0.01756335,descriptive_secondary
CORE02,chr3q,14,42,0.0481204,0.01211572,0.28571429,-0.06802721,0.59863946,0.11411193,descriptive_secondary
CORE02,chr4p,14,42,-0.02431795,0.01644665,-0.4829932,-0.77891156,-0.15306122,0.00741855,descriptive_secondary
CORE02,chr4q,14,42,-0.02135907,0.01107351,-0.36394558,-0.69387755,0.01360544,0.04388565,descriptive_secondary
CORE02,chr5p,14,42,0.05300853,0.04439357,0.10544218,-0.24829932,0.47278912,0.56385997,descriptive_secondary
CORE02,chr5q,14,42,0.15383339,0.15487382,-0.04081633,-0.39455782,0.31972789,0.82773943,descriptive_secondary
CORE02,chr6p,14,42,-0.05026458,0.00924465,-0.39115646,-0.70748299,-0.06794218,0.03026304,descriptive_secondary
CORE02,chr6q,14,42,-0.02816183,0.00625489,-0.17346939,-0.53061224,0.20408163,0.33929686,descriptive_secondary
CORE02,chr7p,14,42,0.06206111,0.02995,0.18707483,-0.17704082,0.51020408,0.30242686,descriptive_secondary
CORE02,chr7q,14,42,0.04753434,0.02930343,0.10544218,-0.26530612,0.44566327,0.56385997,descriptive_secondary
CORE02,chr8p,14,42,-0.0217909,0.00237061,-0.06122449,-0.45578231,0.35034014,0.74054396,descriptive_secondary
CORE02,chr8q,14,42,0.03822887,0.01155,0.34693878,-0.02380952,0.70076531,0.0547857,descriptive_secondary
CORE02,chr9p,14,42,-0.10605,0.00935,-0.42857143,-0.72117347,-0.07482993,0.01756142,descriptive_secondary
CORE02,chr9q,14,42,-0.10088755,0.00779432,-0.44217687,-0.7414966,-0.09515306,0.0142687,descriptive_secondary
CORE02,chr10p,14,42,-0.00228018,0.0061,-0.11564626,-0.5,0.27891156,0.52615696,descriptive_secondary
CORE02,chr10q,14,42,-0.09768151,0.00270275,-0.66666667,-0.91156463,-0.34685374,0.00021625,descriptive_secondary
CORE02,chr11p,14,42,0.0158149,0.01775,-0.04081633,-0.40816327,0.3537415,0.82773943,descriptive_secondary
CORE02,chr11q,14,42,0.01360351,0.01254561,-0.02721088,-0.41836735,0.34022109,0.88714779,descriptive_secondary
CORE02,chr12p,14,42,0.08082897,0.02652941,0.41836735,0.10204082,0.69736395,0.02045304,descriptive_secondary
CORE02,chr12q,14,42,0.08881108,0.02815,0.38095238,0.06462585,0.6667517,0.03487638,descriptive_secondary
CORE02,chr13p,14,42,0.0,0.0,0.0,0.0,0.0,1.0,descriptive_secondary
CORE02,chr13q,14,42,-0.00112515,0.01304792,-0.33333333,-0.65994898,0.0375,0.06505436,descriptive_secondary
CORE02,chr14p,14,42,0.0,0.0,0.0,0.0,0.0,1.0,descriptive_secondary
CORE02,chr14q,14,42,-0.06573707,-0.02305869,0.13605442,-0.24158163,0.49676871,0.45481328,descriptive_secondary
CORE02,chr15p,14,42,0.0,0.0,0.0,0.0,0.0,1.0,descriptive_secondary
CORE02,chr15q,14,42,0.00642841,0.02192587,-0.29931973,-0.64294218,0.07491497,0.09778959,descriptive_secondary
CORE02,chr16p,14,42,0.04347725,0.0244,0.29251701,-0.04761905,0.59192177,0.10570104,descriptive_secondary
CORE02,chr16q,14,42,0.03408577,0.02665847,0.18027211,-0.20076531,0.51369048,0.32051542,descriptive_secondary
CORE02,chr17p,14,42,0.00875,0.01085,-0.11734694,-0.47967687,0.2414966,0.51998646,descriptive_secondary
CORE02,chr17q,14,42,0.00957552,0.01932811,-0.05952381,-0.42517007,0.33333333,0.74769692,descriptive_secondary
CORE02,chr18p,14,42,0.0111,0.0204,-0.12414966,-0.50340136,0.25510204,0.49574513,descriptive_secondary
CORE02,chr18q,14,42,0.0108991,0.0204,-0.08843537,-0.4627551,0.29608844,0.62944496,descriptive_secondary
CORE02,chr19p,14,42,0.01425,0.01625,-0.15306122,-0.50705782,0.22457483,0.39977444,descriptive_secondary
CORE02,chr19q,14,42,0.01807431,0.01785,0.12244898,-0.22789116,0.47619048,0.50175012,descriptive_secondary
CORE02,chr20p,14,42,0.06710189,0.02677642,0.25170068,-0.09532313,0.59183673,0.16429132,descriptive_secondary
CORE02,chr20q,14,42,0.08845,0.0316,0.32993197,-0.0170068,0.64285714,0.06785122,descriptive_secondary
CORE02,chr21p,14,42,0.0,0.0,0.0,0.0,0.0,1.0,descriptive_secondary
CORE02,chr21q,14,42,0.01531664,0.01538938,-0.03741497,-0.41836735,0.35722789,0.84251318,descriptive_secondary
CORE02,chr22p,14,42,0.0,0.0,0.0,0.0,0.0,1.0,descriptive_secondary
CORE02,chr22q,14,42,0.02546656,0.0192,0.10884354,-0.24829932,0.45586735,0.55114199,descriptive_secondary
CORE02,locus::VHL,14,42,-0.27405,-0.38705,0.41836735,0.11904762,0.68367347,0.02045304,descriptive_secondary
CORE02,locus::SETD2,14,42,-0.3117,-0.38225,0.28231293,-0.04761905,0.57151361,0.11851054,descriptive_secondary
CORE02,locus::PBRM1,14,42,-0.3008,-0.38225,0.29251701,-0.03741497,0.58843537,0.10570104,descriptive_secondary
