group_id,feature,n_group,n_rest,median_group,median_rest,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,analysis_role
CORE01,original_shape_Elongation,21,35,0.39269456,0.0,0.01768707,-0.31428571,0.36605442,0.91911742,descriptive_secondary
CORE01,original_shape_Flatness,21,35,0.1611571,0.02873135,0.0122449,-0.31163265,0.34428571,0.94602683,descriptive_secondary
CORE01,original_shape_LeastAxisLength,21,35,-0.19186382,0.0,-0.16462585,-0.45312925,0.14836735,0.30988888,descriptive_secondary
CORE01,original_shape_MajorAxisLength,21,35,-0.06325383,-0.07538033,-0.03401361,-0.38238095,0.30068027,0.83906387,descriptive_secondary
CORE01,original_shape_Maximum2DDiameterColumn,21,35,-0.12709756,-0.16852445,-0.06122449,-0.3877551,0.28163265,0.7096445,descriptive_secondary
CORE01,original_shape_Maximum2DDiameterRow,21,35,-0.07734648,-0.0,-0.14557823,-0.45578231,0.18367347,0.36972668,descriptive_secondary
CORE01,original_shape_Maximum2DDiameterSlice,21,35,-0.15241148,-0.15415669,0.12108844,-0.18911565,0.41768707,0.45647296,descriptive_secondary
CORE01,original_shape_MeshVolume,21,35,-0.17088066,0.0,-0.24897959,-0.52653061,0.06122449,0.12353425,descriptive_secondary
CORE01,original_shape_MinorAxisLength,21,35,-0.23353748,0.03843896,-0.22993197,-0.5047619,0.0885034,0.15513157,descriptive_secondary
CORE01,original_shape_Sphericity,21,35,0.32173156,0.07047876,0.08027211,-0.24353741,0.39870748,0.62356554,descriptive_secondary
CORE01,original_shape_SurfaceVolumeRatio,21,35,-0.28385545,-0.0,-0.08571429,-0.40408163,0.23809524,0.59982523,descriptive_secondary
CORE01,original_firstorder_10Percentile,21,35,0.30173465,-0.13904286,0.16734694,-0.15646259,0.49387755,0.30189438,descriptive_secondary
CORE01,original_firstorder_90Percentile,21,35,0.39281861,-0.08313096,0.27891156,-0.01768707,0.57823129,0.08429815,descriptive_secondary
CORE01,original_firstorder_Energy,21,35,-0.23439493,0.03445845,-0.21904762,-0.52931973,0.11027211,0.17575543,descriptive_secondary
CORE01,original_firstorder_InterquartileRange,21,35,-0.24945575,-0.05000763,0.1047619,-0.23544218,0.43945578,0.52014517,descriptive_secondary
CORE01,original_firstorder_Kurtosis,21,35,0.07140427,-0.29720839,0.09387755,-0.23265306,0.39591837,0.56500415,descriptive_secondary
CORE01,original_firstorder_Maximum,21,35,0.29078511,-0.1485562,0.06938776,-0.23537415,0.36333333,0.67221768,descriptive_secondary
CORE01,original_firstorder_Mean,21,35,0.38934157,-0.09274959,0.28435374,-0.01231293,0.58911565,0.07838706,descriptive_secondary
CORE01,original_firstorder_Minimum,21,35,-0.04393998,-0.21459931,0.17278912,-0.13210884,0.46938776,0.2863206,descriptive_secondary
CORE01,original_firstorder_Range,21,35,0.0494503,-0.0,0.03129252,-0.28163265,0.32517007,0.85231397,descriptive_secondary
CORE01,original_firstorder_Skewness,21,35,-0.35863767,0.0,-0.23265306,-0.52115646,0.07217687,0.15027478,descriptive_secondary
CORE01,original_firstorder_Uniformity,21,35,-0.21981062,0.0,-0.10204082,-0.40680272,0.22176871,0.53118548,descriptive_secondary
CORE01,original_firstorder_Variance,21,35,-0.22113886,-0.19786106,0.1537415,-0.16469388,0.47755102,0.34325256,descriptive_secondary
CORE01,original_glcm_Correlation,21,35,0.21102971,-0.0,0.29795918,0.00136054,0.58639456,0.06507484,descriptive_secondary
CORE01,original_glcm_Idmn,21,35,0.36329882,0.02540642,0.14285714,-0.17006803,0.45857143,0.37882616,descriptive_secondary
CORE01,original_glcm_Idn,21,35,0.35365023,0.12357034,0.11836735,-0.19183673,0.43401361,0.46677098,descriptive_secondary
CORE01,original_glcm_Imc1,21,35,0.02326565,0.18586386,-0.20272109,-0.49938776,0.11034014,0.21042605,descriptive_secondary
CORE01,original_glrlm_LongRunHighGrayLevelEmphasis,21,35,0.3075511,0.07845115,0.0122449,-0.3007483,0.33061224,0.94602683,descriptive_secondary
CORE01,original_glrlm_LowGrayLevelRunEmphasis,21,35,-0.19730148,-0.0,-0.24897959,-0.55653061,0.06401361,0.12353425,descriptive_secondary
CORE01,original_glrlm_RunEntropy,21,35,0.24030451,0.0,0.19455782,-0.11571429,0.50482993,0.22951001,descriptive_secondary
CORE01,original_glrlm_RunLengthNonUniformity,21,35,-0.18182618,0.0288266,-0.25986395,-0.54020408,0.06122449,0.10787809,descriptive_secondary
CORE01,original_glszm_GrayLevelNonUniformity,21,35,-0.14460805,0.14924723,-0.31972789,-0.58367347,-0.02578231,0.04768806,descriptive_secondary
CORE01,original_glszm_LargeAreaEmphasis,21,35,-0.10534929,-0.0,-0.24081633,-0.53197279,0.08034014,0.13639935,descriptive_secondary
CORE01,original_glszm_LargeAreaHighGrayLevelEmphasis,21,35,-0.14846933,-0.05036187,-0.20544218,-0.48585034,0.1047619,0.2043273,descriptive_secondary
CORE01,original_glszm_SizeZoneNonUniformity,21,35,-0.21587207,0.24823663,-0.32789116,-0.60544218,-0.04489796,0.04226408,descriptive_secondary
CORE01,original_glszm_SizeZoneNonUniformityNormalized,21,35,-0.12239577,-0.02778853,0.02585034,-0.31156463,0.37693878,0.87893591,descriptive_secondary
