feature,group_count,available_n,missing_n,mutated_n,total_n,comparison_status,chi_square,p_value,q_value,permutations
mutation::ARID1A,4,56,0,2,56,estimable,1.72839506,0.8151,1.0,9999
mutation::ATM,4,56,0,4,56,estimable,7.17948718,0.0679,0.24896667,9999
mutation::BAP1,4,56,0,10,56,estimable,26.13333333,0.0002,0.0044,9999
mutation::CDKN2A,4,56,0,0,56,estimable,0.0,1.0,1.0,9999
mutation::DST,4,56,0,1,56,estimable,3.73333333,0.3826,0.70143333,9999
mutation::ELOC,4,56,0,0,56,estimable,0.0,1.0,1.0,9999
mutation::FLG,4,56,0,4,56,estimable,12.92307692,0.0048,0.0264,9999
mutation::KDM5C,4,56,0,2,56,estimable,3.45679012,0.3263,0.70143333,9999
mutation::KMT2C,4,56,0,0,56,estimable,0.0,1.0,1.0,9999
mutation::LYST,4,56,0,3,56,estimable,3.40461216,0.3783,0.70143333,9999
mutation::MTOR,4,56,0,2,56,estimable,1.72839506,0.8113,1.0,9999
mutation::MUC16,4,56,0,4,56,estimable,0.41880342,1.0,1.0,9999
mutation::PBRM1,4,56,0,23,56,estimable,17.24022837,0.0006,0.0066,9999
mutation::PIK3CA,4,56,0,3,56,estimable,9.50943396,0.0219,0.09636,9999
mutation::PTEN,4,56,0,5,56,estimable,4.75816993,0.2103,0.55317778,9999
mutation::SETD2,4,56,0,5,56,estimable,4.75816993,0.2263,0.55317778,9999
mutation::SPTA1,4,56,0,5,56,estimable,5.19738562,0.1313,0.41265714,9999
mutation::TP53,4,56,0,2,56,estimable,3.22633745,0.4171,0.70586154,9999
mutation::TSC1,4,56,0,2,56,estimable,1.38271605,1.0,1.0,9999
mutation::TSC2,4,56,0,0,56,estimable,0.0,1.0,1.0,9999
mutation::TTN,4,56,0,6,56,estimable,1.99111111,0.6298,0.98968571,9999
mutation::VHL,4,56,0,27,56,estimable,14.2801192,0.0017,0.01246667,9999
