feature,group_a,group_b,n_a,n_b,median_a,median_b,mean_a,mean_b,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,p_adjusted_holm,clinical_variable,levels
age,STATE_A,STATE_B,17,14,56.0,58.5,58.29411765,57.64285714,0.02941176,-0.41176471,0.45388655,0.90512418,1.0,,
age,STATE_A,STATE_C,17,14,56.0,58.0,58.29411765,59.71428571,-0.07983193,-0.46228992,0.36565126,0.72063627,1.0,,
age,STATE_A,STATE_D,17,24,56.0,57.0,58.29411765,57.29166667,0.03186275,-0.37009804,0.41917892,0.87371373,1.0,,
age,STATE_B,STATE_C,14,14,58.5,58.0,57.64285714,59.71428571,-0.07653061,-0.49515306,0.37767857,0.74732906,1.0,,
age,STATE_B,STATE_D,14,24,58.5,57.0,57.64285714,57.29166667,0.02678571,-0.38095238,0.45535714,0.90359198,1.0,,
age,STATE_C,STATE_D,14,24,58.0,57.0,59.71428571,57.29166667,0.11011905,-0.30364583,0.50907738,0.58568983,1.0,,
,STATE_A,STATE_B,17,14,,,,,,,,0.13304193,0.79825158,stage_group,I;II;III;IV
,STATE_A,STATE_C,17,14,,,,,,,,0.00183095,0.79825158,stage_group,I;II;III;IV
,STATE_A,STATE_D,17,24,,,,,,,,0.01122334,0.79825158,stage_group,I;II;III;IV
,STATE_B,STATE_C,14,14,,,,,,,,0.10377716,0.79825158,stage_group,I;II;III;IV
,STATE_B,STATE_D,14,24,,,,,,,,0.2695642,0.79825158,stage_group,I;II;III;IV
,STATE_C,STATE_D,14,24,,,,,,,,0.72222193,0.79825158,stage_group,I;II;III;IV
,STATE_A,STATE_B,17,14,,,,,,,,0.12504473,0.75026838,t_stage,T1a;T1b;T2;T3a;T3b;T4
,STATE_A,STATE_C,17,14,,,,,,,,0.00668934,0.75026838,t_stage,T1a;T1b;T2;T2b;T3a
,STATE_A,STATE_D,17,24,,,,,,,,0.00629343,0.75026838,t_stage,T1;T1a;T1b;T2;T3a
,STATE_B,STATE_C,14,14,,,,,,,,0.12844558,0.75026838,t_stage,T1a;T1b;T2;T2b;T3a;T3b;T4
,STATE_B,STATE_D,14,24,,,,,,,,0.04595081,0.75026838,t_stage,T1;T1a;T1b;T2;T3a;T3b;T4
,STATE_C,STATE_D,14,24,,,,,,,,0.54241021,0.75026838,t_stage,T1;T1a;T1b;T2;T2b;T3a
,STATE_A,STATE_B,17,14,,,,,,,,0.04896899,0.29381394,gender,female;male
,STATE_A,STATE_C,17,14,,,,,,,,0.11248314,0.5624157,gender,female;male
,STATE_A,STATE_D,17,24,,,,,,,,0.18475836,0.73903344,gender,female;male
,STATE_B,STATE_C,14,14,,,,,,,,0.69879101,1.0,gender,female;male
,STATE_B,STATE_D,14,24,,,,,,,,0.3908368,1.0,gender,female;male
,STATE_C,STATE_D,14,24,,,,,,,,0.6753194,1.0,gender,female;male
