group_id,feature,n_group,n_rest,median_group,median_rest,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,analysis_role
STATE_A,chr1p,17,52,0.0083,0.0088,-0.15497738,,,0.34366281,descriptive_secondary
STATE_A,chr1q,17,52,0.01180066,0.04065,-0.27941176,,,0.08673635,descriptive_secondary
STATE_A,chr2p,17,52,0.0124,0.03965,-0.36085973,,,0.02681373,descriptive_secondary
STATE_A,chr2q,17,52,0.0124,0.02521267,-0.07466063,,,0.65084264,descriptive_secondary
STATE_A,chr3p,17,52,-0.37905817,-0.30786713,-0.39140271,,,0.01629793,descriptive_secondary
STATE_A,chr3q,17,52,0.01113144,0.02344528,-0.2760181,,,0.09065237,descriptive_secondary
STATE_A,chr4p,17,52,0.0140933,0.0161,0.00226244,,,0.99444451,descriptive_secondary
STATE_A,chr4q,17,52,0.0113,0.01526915,-0.04977376,,,0.76463374,descriptive_secondary
STATE_A,chr5p,17,52,0.0245,0.05075558,-0.08144796,,,0.62105156,descriptive_secondary
STATE_A,chr5q,17,52,0.21743534,0.14744993,0.23529412,,,0.1494986,descriptive_secondary
STATE_A,chr6p,17,52,0.0138,0.00385,0.08597285,,,0.60151618,descriptive_secondary
STATE_A,chr6q,17,52,0.0107,-0.0093194,0.21493213,,,0.1881828,descriptive_secondary
STATE_A,chr7p,17,52,0.0126,0.05075356,-0.51809955,,,0.00146256,descriptive_secondary
STATE_A,chr7q,17,52,0.0126,0.05198434,-0.50904977,,,0.00177016,descriptive_secondary
STATE_A,chr8p,17,52,0.0062,-0.0171,0.10746606,,,0.51278231,descriptive_secondary
STATE_A,chr8q,17,52,0.011,0.02833627,-0.30316742,,,0.06301661,descriptive_secondary
STATE_A,chr9p,17,52,0.0127,-0.0166,0.30316742,,,0.06301421,descriptive_secondary
STATE_A,chr9q,17,52,0.012,-0.01339457,0.27828054,,,0.08802527,descriptive_secondary
STATE_A,chr10p,17,52,0.00450771,0.01465237,-0.11312217,,,0.49062212,descriptive_secondary
STATE_A,chr10q,17,52,0.0022055,-0.00889323,0.15384615,,,0.34722712,descriptive_secondary
STATE_A,chr11p,17,52,0.01208423,0.03398007,-0.28733032,,,0.07813508,descriptive_secondary
STATE_A,chr11q,17,52,0.0103,0.0316156,-0.23076923,,,0.15751864,descriptive_secondary
STATE_A,chr12p,17,52,0.0121,0.05088738,-0.66968326,,,3.871e-05,descriptive_secondary
STATE_A,chr12q,17,52,0.01742856,0.05325458,-0.57692308,,,0.00039399,descriptive_secondary
STATE_A,chr13p,17,52,0.0,0.0,0.0,,,1.0,descriptive_secondary
STATE_A,chr13q,17,52,0.01289585,0.0187393,-0.18325792,,,0.26228156,descriptive_secondary
STATE_A,chr14p,17,52,0.0,0.0,0.0,,,1.0,descriptive_secondary
STATE_A,chr14q,17,52,0.0017,-0.21846708,0.25791855,,,0.11397839,descriptive_secondary
STATE_A,chr15p,17,52,0.0,0.0,0.0,,,1.0,descriptive_secondary
