feature,group_count,available_n,missing_n,mutated_n,total_n,comparison_status,chi_square,p_value,q_value,permutations
chr1p::loss,4,69,0,6,69,estimable,3.69086801,0.3063,0.56804727,9999
chr1p::gain,4,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr1q::loss,4,69,0,3,69,estimable,12.32142857,0.0122,0.11141538,9999
chr1q::gain,4,69,0,5,69,estimable,5.59084821,0.1569,0.35564,9999
chr2p::loss,4,69,0,2,69,estimable,8.09168443,0.0766,0.21471,9999
chr2p::gain,4,69,0,4,69,estimable,3.92864011,0.2626,0.49602222,9999
chr2q::loss,4,69,0,2,69,estimable,8.09168443,0.077,0.21471,9999
chr2q::gain,4,69,0,3,69,estimable,5.88068182,0.0619,0.21471,9999
chr3p::loss,4,69,0,53,69,estimable,12.51801074,0.004,0.11141538,9999
chr3p::gain,4,69,0,2,69,estimable,8.09168443,0.0817,0.21471,9999
chr3q::loss,4,69,0,10,69,estimable,3.58513032,0.349,0.61375862,9999
chr3q::gain,4,69,0,3,69,estimable,4.73566017,0.2568,0.49602222,9999
chr4p::loss,4,69,0,4,69,estimable,3.92864011,0.26,0.49602222,9999
chr4p::gain,4,69,0,2,69,estimable,8.09168443,0.0754,0.21471,9999
chr4q::loss,4,69,0,3,69,estimable,2.58874459,0.5412,0.78860571,9999
chr4q::gain,4,69,0,2,69,estimable,8.09168443,0.0768,0.21471,9999
chr5p::loss,4,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr5p::gain,4,69,0,18,69,estimable,2.03422791,0.5339,0.78860571,9999
chr5q::loss,4,69,0,1,69,estimable,3.98634454,0.3906,0.64385538,9999
chr5q::gain,4,69,0,28,69,estimable,6.40264764,0.0842,0.21471,9999
chr6p::loss,4,69,0,8,69,estimable,6.51419789,0.082,0.21471,9999
chr6p::gain,4,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr6q::loss,4,69,0,11,69,estimable,7.83511532,0.0406,0.21471,9999
chr6q::gain,4,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr7p::loss,4,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr7p::gain,4,69,0,12,69,estimable,3.0772842,0.399,0.64385538,9999
chr7q::loss,4,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr7q::gain,4,69,0,13,69,estimable,4.72596875,0.1928,0.42751304,9999
chr8p::loss,4,69,0,17,69,estimable,6.88853782,0.0756,0.21471,9999
chr8p::gain,4,69,0,2,69,estimable,3.01599147,0.2584,0.49602222,9999
chr8q::loss,4,69,0,8,69,estimable,4.3006182,0.2561,0.49602222,9999
chr8q::gain,4,69,0,5,69,estimable,8.42477679,0.0308,0.1848,9999
chr9p::loss,4,69,0,14,69,estimable,10.81245362,0.01,0.11141538,9999
chr9p::gain,4,69,0,1,69,estimable,3.98634454,0.3992,0.64385538,9999
chr9q::loss,4,69,0,14,69,estimable,10.81245362,0.01,0.11141538,9999
chr9q::gain,4,69,0,2,69,estimable,8.09168443,0.0811,0.21471,9999
chr10p::loss,4,69,0,5,69,estimable,5.85652902,0.1007,0.25052195,9999
chr10p::gain,4,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr10q::loss,4,69,0,7,69,estimable,3.44091508,0.3304,0.6018,9999
chr10q::gain,4,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr11p::loss,4,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr11p::gain,4,69,0,2,69,estimable,8.09168443,0.0749,0.21471,9999
chr11q::loss,4,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr11q::gain,4,69,0,2,69,estimable,8.09168443,0.08,0.21471,9999
chr12p::loss,4,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr12p::gain,4,69,0,9,69,estimable,6.23373016,0.0824,0.21471,9999
chr12q::loss,4,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr12q::gain,4,69,0,9,69,estimable,2.34402428,0.5671,0.81470704,9999
chr13p::loss,4,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr13p::gain,4,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr13q::loss,4,69,0,5,69,estimable,6.11179097,0.077,0.21471,9999
chr13q::gain,4,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr14p::loss,4,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr14p::gain,4,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr14q::loss,4,69,0,30,69,estimable,12.02934443,0.0061,0.11141538,9999
chr14q::gain,4,69,0,2,69,estimable,8.09168443,0.077,0.21471,9999
chr15p::loss,4,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr15p::gain,4,69,0,0,69,estimable,0.0,1.0,1.0,9999
