feature,group_a,group_b,n_a,n_b,frequency_a,frequency_b,frequency_difference,odds_ratio,ci_low,ci_high,fisher_p,p_adjusted_holm
chr1p::loss,STATE_A,STATE_B,17,14,0.058823529411764705,0.21428571428571427,-0.15546218487394958,0.2987013,0.03823807,2.33334153,0.30411568,1.0
chr1p::loss,STATE_A,STATE_C,17,14,0.058823529411764705,0.07142857142857142,-0.01260504201680672,0.81818182,0.07612046,8.79423836,1.0,1.0
chr1p::loss,STATE_A,STATE_D,17,24,0.058823529411764705,0.041666666666666664,0.01715686274509804,1.42424242,0.1359465,14.92106399,1.0,1.0
chr1p::loss,STATE_B,STATE_C,14,14,0.21428571428571427,0.07142857142857142,0.14285714285714285,2.73913043,0.34627621,21.66719895,0.59555556,1.0
chr1p::loss,STATE_B,STATE_D,14,24,0.21428571428571427,0.041666666666666664,0.17261904761904762,4.76811594,0.6208147,36.62112004,0.13191086,1.0
chr1p::loss,STATE_C,STATE_D,14,24,0.07142857142857142,0.041666666666666664,0.02976190476190476,1.74074074,0.16434133,18.43832182,1.0,1.0
chr1p::gain,STATE_A,STATE_B,17,14,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
chr1p::gain,STATE_A,STATE_C,17,14,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
chr1p::gain,STATE_A,STATE_D,17,24,0.0,0.0,0.0,1.4,0.02648339,74.00864446,1.0,1.0
chr1p::gain,STATE_B,STATE_C,14,14,0.0,0.0,0.0,1.0,0.01855505,53.89368994,1.0,1.0
chr1p::gain,STATE_B,STATE_D,14,24,0.0,0.0,0.0,1.68965517,0.03178043,89.83309577,1.0,1.0
chr1p::gain,STATE_C,STATE_D,14,24,0.0,0.0,0.0,1.68965517,0.03178043,89.83309577,1.0,1.0
chr1q::loss,STATE_A,STATE_B,17,14,0.0,0.21428571428571427,-0.21428571428571427,0.09387755,0.00442279,1.99263221,0.08097887,0.48587322
chr1q::loss,STATE_A,STATE_C,17,14,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
chr1q::loss,STATE_A,STATE_D,17,24,0.0,0.0,0.0,1.4,0.02648339,74.00864446,1.0,1.0
chr1q::loss,STATE_B,STATE_C,14,14,0.21428571428571427,0.0,0.21428571428571427,8.82608696,0.41274202,188.73729273,0.22222222,1.0
chr1q::loss,STATE_B,STATE_D,14,24,0.21428571428571427,0.0,0.21428571428571427,14.91304348,0.70984933,313.30432773,0.04314841,1.0
chr1q::loss,STATE_C,STATE_D,14,24,0.0,0.0,0.0,1.68965517,0.03178043,89.83309577,1.0,1.0
chr1q::gain,STATE_A,STATE_B,17,14,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
chr1q::gain,STATE_A,STATE_C,17,14,0.0,0.07142857142857142,-0.07142857142857142,0.25714286,0.00969068,6.82330589,0.4516129,1.0
chr1q::gain,STATE_A,STATE_D,17,24,0.0,0.16666666666666666,-0.16666666666666666,0.13015873,0.0065413,2.5898987,0.12842895,1.0
chr1q::gain,STATE_B,STATE_C,14,14,0.0,0.07142857142857142,-0.07142857142857142,0.31034483,0.011615,8.29220337,1.0,1.0
chr1q::gain,STATE_B,STATE_D,14,24,0.0,0.16666666666666666,-0.16666666666666666,0.15708812,0.00783502,3.14953486,0.27586534,1.0
chr1q::gain,STATE_C,STATE_D,14,24,0.07142857142857142,0.16666666666666666,-0.09523809523809523,0.50617284,0.07048523,3.63495926,0.63305721,1.0
chr2p::loss,STATE_A,STATE_B,17,14,0.0,0.14285714285714285,-0.14285714285714285,0.14285714,0.00629576,3.24157221,0.19569892,1.0
chr2p::loss,STATE_A,STATE_C,17,14,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
