feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
original_shape_Elongation,4,69,17;14;14;24,estimable,,1.17784766,0.75832211,0.82240567,0.0
original_shape_Flatness,4,69,17;14;14;24,estimable,,2.02198358,0.56785649,0.69404682,0.0
original_shape_LeastAxisLength,4,69,17;14;14;24,estimable,,14.15011918,0.00270778,0.03790892,0.1715403
original_shape_MajorAxisLength,4,69,17;14;14;24,estimable,,7.31079562,0.0626245,0.1626087,0.06631993
original_shape_Maximum2DDiameterColumn,4,69,17;14;14;24,estimable,,8.61997234,0.03479446,0.12178061,0.08646111
original_shape_Maximum2DDiameterRow,4,69,17;14;14;24,estimable,,11.48156654,0.0093875,0.06531559,0.13048564
original_shape_Maximum2DDiameterSlice,4,69,17;14;14;24,estimable,,7.6435061,0.05398358,0.15539199,0.07143856
original_shape_MeshVolume,4,69,17;14;14;24,estimable,,9.52914035,0.02302337,0.09987603,0.10044831
original_shape_MinorAxisLength,4,69,17;14;14;24,estimable,,12.9561529,0.00473239,0.0475578,0.15317158
original_shape_Sphericity,4,69,17;14;14;24,estimable,,4.81130539,0.18614734,0.31329716,0.02786624
original_shape_SurfaceVolumeRatio,4,69,17;14;14;24,estimable,,11.86566105,0.00785781,0.06166137,0.13639479
original_firstorder_10Percentile,4,69,17;14;14;24,estimable,,3.86160986,0.27680074,0.42415238,0.01325554
original_firstorder_90Percentile,4,69,17;14;14;24,estimable,,10.56384989,0.01433396,0.07358099,0.11636692
original_firstorder_Energy,4,69,17;14;14;24,estimable,,10.03042173,0.0183093,0.0831773,0.10816033
original_firstorder_InterquartileRange,4,69,17;14;14;24,estimable,,5.59173235,0.1332538,0.24142453,0.03987281
original_firstorder_Kurtosis,4,69,17;14;14;24,estimable,,1.54194112,0.67262471,0.76534425,0.0
original_firstorder_Maximum,4,69,17;14;14;24,estimable,,6.73557771,0.08082081,0.17847167,0.05747043
original_firstorder_Mean,4,69,17;14;14;24,estimable,,8.85681577,0.03125644,0.11325863,0.09010486
original_firstorder_Minimum,4,69,17;14;14;24,estimable,,7.86837518,0.04881178,0.14318122,0.07489808
original_firstorder_Range,4,69,17;14;14;24,estimable,,8.8727665,0.03103124,0.11325863,0.09035025
original_firstorder_Skewness,4,69,17;14;14;24,estimable,,3.63514449,0.30365267,0.45400496,0.00977145
original_firstorder_Uniformity,4,69,17;14;14;24,estimable,,11.2415227,0.01048905,0.06531559,0.12679266
original_firstorder_Variance,4,69,17;14;14;24,estimable,,6.24500148,0.1002801,0.20187105,0.0499231
original_glcm_Correlation,4,69,17;14;14;24,estimable,,12.86528785,0.00493717,0.0475578,0.15177366
