feature,group_a,group_b,n_a,n_b,median_a,median_b,mean_a,mean_b,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,p_adjusted_holm
original_shape_Elongation,STATE_A,STATE_B,17,14,0.35240415,-0.07588733,-0.21444911,0.10037466,0.09243697,-0.32794118,0.52941176,0.6768326,1.0
original_shape_Elongation,STATE_A,STATE_C,17,14,0.35240415,0.07295536,-0.21444911,0.04887451,0.01680672,-0.38655462,0.41197479,0.95252096,1.0
original_shape_Elongation,STATE_A,STATE_D,17,24,0.35240415,-0.258285,-0.21444911,-0.23359328,0.07843137,-0.30392157,0.46078431,0.68167868,1.0
original_shape_Elongation,STATE_B,STATE_C,14,14,-0.07588733,0.07295536,0.10037466,0.04887451,-0.06122449,-0.51020408,0.3877551,0.80049059,1.0
original_shape_Elongation,STATE_B,STATE_D,14,24,-0.07588733,-0.258285,0.10037466,-0.23359328,0.21428571,-0.17872024,0.54761905,0.28269771,1.0
original_shape_Elongation,STATE_C,STATE_D,14,24,0.07295536,-0.258285,0.04887451,-0.23359328,0.19642857,-0.19657738,0.54166667,0.325364,1.0
original_shape_Flatness,STATE_A,STATE_B,17,14,0.41442313,0.0,-0.00506578,-0.07669266,0.13445378,-0.31092437,0.55483193,0.53838287,1.0
original_shape_Flatness,STATE_A,STATE_C,17,14,0.41442313,0.11596325,-0.00506578,0.12862315,0.05882353,-0.3697479,0.47920168,0.79639737,1.0
original_shape_Flatness,STATE_A,STATE_D,17,24,0.41442313,-0.34618496,-0.00506578,-0.28089146,0.14705882,-0.25502451,0.53431373,0.43500674,1.0
original_shape_Flatness,STATE_B,STATE_C,14,14,0.0,0.11596325,-0.07669266,0.12862315,-0.23469388,-0.63290816,0.19387755,0.30121901,1.0
original_shape_Flatness,STATE_B,STATE_D,14,24,0.0,-0.34618496,-0.07669266,-0.28089146,0.0952381,-0.27380952,0.4702381,0.63903294,1.0
original_shape_Flatness,STATE_C,STATE_D,14,24,0.11596325,-0.34618496,0.12862315,-0.28089146,0.26785714,-0.10119048,0.61309524,0.17809902,1.0
original_shape_LeastAxisLength,STATE_A,STATE_B,17,14,-0.41372398,-0.36185649,-0.35709296,-0.21655716,-0.05042017,-0.44537815,0.37815126,0.82718123,1.0
original_shape_LeastAxisLength,STATE_A,STATE_C,17,14,-0.41372398,-0.04595181,-0.35709296,0.24263916,-0.27731092,-0.65546218,0.12605042,0.1970292,1.0
original_shape_LeastAxisLength,STATE_A,STATE_D,17,24,-0.41372398,0.74556298,-0.35709296,0.66673222,-0.58333333,-0.85306373,-0.25,0.00171361,1.0
original_shape_LeastAxisLength,STATE_B,STATE_C,14,14,-0.36185649,-0.04595181,-0.21655716,0.24263916,-0.2755102,-0.66352041,0.16326531,0.22337087,1.0
original_shape_LeastAxisLength,STATE_B,STATE_D,14,24,-0.36185649,0.74556298,-0.21655716,0.66673222,-0.625,-0.89880952,-0.29761905,0.00156521,1.0
original_shape_LeastAxisLength,STATE_C,STATE_D,14,24,-0.04595181,0.74556298,0.24263916,0.66673222,-0.28571429,-0.66666667,0.12514881,0.1506,1.0
original_shape_MajorAxisLength,STATE_A,STATE_B,17,14,-0.27733045,-0.40428679,0.10913892,-0.27202277,0.04201681,-0.40336134,0.46239496,0.85823299,1.0
