feature,group_count,available_n,group_sizes,kruskal_h,p_value,q_value,epsilon_squared
HALLMARK_ADIPOGENESIS,4,69,17;14;14;24,2.27670459,0.51699837,7.724e-05,0.0
HALLMARK_ALLOGRAFT_REJECTION,4,69,17;14;14;24,20.05579884,0.00016528,7.724e-05,0.26239691
HALLMARK_ANDROGEN_RESPONSE,4,69,17;14;14;24,14.89459436,0.00190898,7.724e-05,0.18299376
HALLMARK_ANGIOGENESIS,4,69,17;14;14;24,7.36041199,0.06125565,7.724e-05,0.06708326
HALLMARK_APICAL_JUNCTION,4,69,17;14;14;24,2.10599631,0.55070062,7.724e-05,0.0
HALLMARK_APICAL_SURFACE,4,69,17;14;14;24,0.39541382,0.94118825,7.724e-05,0.0
HALLMARK_APOPTOSIS,4,69,17;14;14;24,1.94050751,0.58484594,7.724e-05,0.0
HALLMARK_BILE_ACID_METABOLISM,4,69,17;14;14;24,1.28559598,0.73255626,7.724e-05,0.0
HALLMARK_CHOLESTEROL_HOMEOSTASIS,4,69,17;14;14;24,6.41501383,0.09307508,7.724e-05,0.05253867
HALLMARK_COAGULATION,4,69,17;14;14;24,2.97745881,0.39511366,7.724e-05,0.0
HALLMARK_COMPLEMENT,4,69,17;14;14;24,9.09724585,0.0280255,7.724e-05,0.09380378
HALLMARK_DNA_REPAIR,4,69,17;14;14;24,11.10800842,0.01115594,7.724e-05,0.12473859
HALLMARK_E2F_TARGETS,4,69,17;14;14;24,3.87267255,0.2755455,7.724e-05,0.01342573
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,4,69,17;14;14;24,1.0602815,0.78666989,7.724e-05,0.0
HALLMARK_ESTROGEN_RESPONSE_EARLY,4,69,17;14;14;24,6.66664492,0.0833171,7.724e-05,0.05640992
HALLMARK_ESTROGEN_RESPONSE_LATE,4,69,17;14;14;24,0.44368356,0.93107775,7.724e-05,0.0
HALLMARK_FATTY_ACID_METABOLISM,4,69,17;14;14;24,2.12676723,0.54651658,7.724e-05,0.0
HALLMARK_G2M_CHECKPOINT,4,69,17;14;14;24,0.28133688,0.96349942,7.724e-05,0.0
HALLMARK_GLYCOLYSIS,4,69,17;14;14;24,6.59342259,0.08605007,7.724e-05,0.05528342
HALLMARK_HEDGEHOG_SIGNALING,4,69,17;14;14;24,9.53880596,0.02292209,7.724e-05,0.10059701
HALLMARK_HEME_METABOLISM,4,69,17;14;14;24,18.99882997,0.00027355,7.724e-05,0.24613585
HALLMARK_HYPOXIA,4,69,17;14;14;24,7.51670407,0.0571308,7.724e-05,0.06948775
HALLMARK_IL2_STAT5_SIGNALING,4,69,17;14;14;24,0.7888712,0.852127,7.724e-05,0.0
HALLMARK_IL6_JAK_STAT3_SIGNALING,4,69,17;14;14;24,15.89214381,0.00119321,7.724e-05,0.19834067
HALLMARK_INFLAMMATORY_RESPONSE,4,69,17;14;14;24,10.54332342,0.01446987,7.724e-05,0.11605113
HALLMARK_INTERFERON_ALPHA_RESPONSE,4,69,17;14;14;24,16.74111036,0.00079889,7.724e-05,0.2114017
HALLMARK_INTERFERON_GAMMA_RESPONSE,4,69,17;14;14;24,14.18353689,0.00266568,7.724e-05,0.17205441
HALLMARK_KRAS_SIGNALING_DN,4,69,17;14;14;24,5.77017503,0.12334309,7.724e-05,0.04261808
HALLMARK_KRAS_SIGNALING_UP,4,69,17;14;14;24,2.52119891,0.47147214,7.724e-05,0.0
HALLMARK_MITOTIC_SPINDLE,4,69,17;14;14;24,5.12972145,0.16254104,7.724e-05,0.03276495
HALLMARK_MTORC1_SIGNALING,4,69,17;14;14;24,6.64881518,0.08397478,7.724e-05,0.05613562
HALLMARK_MYC_TARGETS_V1,4,69,17;14;14;24,4.35301338,0.22578188,7.724e-05,0.02081559
HALLMARK_MYC_TARGETS_V2,4,69,17;14;14;24,9.90143536,0.01942282,7.724e-05,0.10617593
HALLMARK_MYOGENESIS,4,69,17;14;14;24,8.5197653,0.03640662,7.724e-05,0.08491947
HALLMARK_NOTCH_SIGNALING,4,69,17;14;14;24,13.90508812,0.00303723,7.724e-05,0.16777059
HALLMARK_OXIDATIVE_PHOSPHORYLATION,4,69,17;14;14;24,1.16552969,0.76128302,7.724e-05,0.0
HALLMARK_P53_PATHWAY,4,69,17;14;14;24,4.9420951,0.17608666,7.724e-05,0.02987839
HALLMARK_PANCREAS_BETA_CELLS,4,69,17;14;14;24,22.22029333,5.87e-05,7.724e-05,0.29569682
HALLMARK_PEROXISOME,4,69,17;14;14;24,1.19161404,0.75501631,0.00141214,0.0
HALLMARK_PI3K_AKT_MTOR_SIGNALING,4,69,17;14;14;24,5.86660055,0.11828388,0.00141214,0.04410155
HALLMARK_PROTEIN_SECRETION,4,69,17;14;14;24,5.35160412,0.14778871,0.00141214,0.03617852
