feature,group_a,group_b,n_a,n_b,missing_n_a,missing_n_b,frequency_a,frequency_b,frequency_difference,odds_ratio,ci_low,ci_high,fisher_p,p_adjusted_holm
mutation::BAP1,STATE_A,STATE_B,17,14,0,0,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
mutation::BAP1,STATE_A,STATE_C,17,14,0,0,0.0,0.7142857142857143,-0.7142857142857143,0.0122449,0.00059738,0.2509917,2.257e-05,0.00013542
mutation::BAP1,STATE_A,STATE_D,17,24,0,0,0.0,0.08333333333333333,-0.08333333333333333,0.25714286,0.0115839,5.70813464,0.50243902,1.0
mutation::BAP1,STATE_B,STATE_C,14,14,0,0,0.0,0.7142857142857143,-0.7142857142857143,0.01477833,0.00071558,0.30520434,0.00015256,0.00061024
mutation::BAP1,STATE_B,STATE_D,14,24,0,0,0.0,0.08333333333333333,-0.08333333333333333,0.31034483,0.01387865,6.93971924,0.52204836,1.0
mutation::BAP1,STATE_C,STATE_D,14,24,0,0,0.7142857142857143,0.08333333333333333,0.6309523809523809,21.0,3.79503707,116.20439857,0.0001053,0.0005265
mutation::PBRM1,STATE_A,STATE_B,17,14,0,0,0.6470588235294118,0.0,0.6470588235294118,51.30769231,2.60921149,1008.91755887,0.00015046,0.00060184
mutation::PBRM1,STATE_A,STATE_C,17,14,0,0,0.6470588235294118,0.0,0.6470588235294118,51.30769231,2.60921149,1008.91755887,0.00015046,0.00060184
mutation::PBRM1,STATE_A,STATE_D,17,24,0,0,0.6470588235294118,0.75,-0.1029411764705882,0.62162162,0.16723833,2.31055545,0.50724363,1.0
mutation::PBRM1,STATE_B,STATE_C,14,14,0,0,0.0,0.0,0.0,1.0,0.01855505,53.89368994,1.0,1.0
mutation::PBRM1,STATE_B,STATE_D,14,24,0,0,0.0,0.75,-0.75,0.01211556,0.00062939,0.23322207,4.32e-06,2.592e-05
mutation::PBRM1,STATE_C,STATE_D,14,24,0,0,0.0,0.75,-0.75,0.01211556,0.00062939,0.23322207,4.32e-06,2.592e-05
mutation::VHL,STATE_A,STATE_B,17,14,0,0,0.6470588235294118,0.0,0.6470588235294118,51.30769231,2.60921149,1008.91755887,0.00015046,0.0007523
mutation::VHL,STATE_A,STATE_C,17,14,0,0,0.6470588235294118,0.35714285714285715,0.28991596638655465,3.05594406,0.73567876,12.69411952,0.15561348,0.31122696
mutation::VHL,STATE_A,STATE_D,17,24,0,0,0.6470588235294118,0.7083333333333334,-0.06127450980392157,0.75824176,0.20931379,2.74674006,0.74170971,0.74170971
mutation::VHL,STATE_B,STATE_C,14,14,0,0,0.0,0.35714285714285715,-0.35714285714285715,0.05956113,0.00294032,1.20651271,0.04074074,0.16296296
mutation::VHL,STATE_B,STATE_D,14,24,0,0,0.0,0.7083333333333334,-0.7083333333333334,0.01477833,0.00077647,0.28127243,1.726e-05,0.00010356
mutation::VHL,STATE_C,STATE_D,14,24,0,0,0.35714285714285715,0.7083333333333334,-0.3511904761904762,0.2481203,0.06403598,0.96139201,0.04683516,0.16296296
