feature,group_a,group_b,n_a,n_b,missing_n_a,missing_n_b,frequency_a,frequency_b,frequency_difference,odds_ratio,ci_low,ci_high,fisher_p,p_adjusted_holm
chr8p::loss,CORE01,CORE02,17,14,0,0,0.11764705882352941,0.35714285714285715,-0.23949579831932774,0.27859238,0.05093413,1.52380569,0.19754789,1.0
chr8p::loss,CORE01,CORE03,17,14,0,0,0.11764705882352941,0.07142857142857142,0.046218487394957986,1.4516129,0.16879086,12.48397021,1.0,1.0
chr8p::loss,CORE01,CORE04,17,10,0,0,0.11764705882352941,0.8,-0.6823529411764706,0.04743833,0.00680045,0.3309184,0.00074571,0.01043994
chr8p::loss,CORE01,CORE05,17,9,0,0,0.11764705882352941,0.1111111111111111,0.006535947712418305,0.91397849,0.1022567,8.16921208,1.0,1.0
chr8p::loss,CORE01,CORE06,17,5,0,0,0.11764705882352941,0.0,0.11764705882352941,1.77419355,0.07316082,43.02525528,1.0,1.0
chr8p::loss,CORE02,CORE03,14,14,0,0,0.35714285714285715,0.07142857142857142,0.2857142857142857,5.21052632,0.71433895,38.00658584,0.1647343,1.0
chr8p::loss,CORE02,CORE04,14,10,0,0,0.35714285714285715,0.8,-0.4428571428571429,0.17027864,0.02934686,0.98800384,0.04717997,0.51897967
chr8p::loss,CORE02,CORE05,14,9,0,0,0.35714285714285715,0.1111111111111111,0.24603174603174605,3.28070175,0.43140685,24.94861652,0.34012898,1.0
chr8p::loss,CORE02,CORE06,14,5,0,0,0.35714285714285715,0.0,0.35714285714285715,6.36842105,0.29277703,138.52448142,0.25653595,1.0
chr8p::loss,CORE03,CORE04,14,10,0,0,0.07142857142857142,0.8,-0.7285714285714286,0.03267974,0.00362578,0.29454796,0.00048948,0.0073422
chr8p::loss,CORE03,CORE05,14,9,0,0,0.07142857142857142,0.1111111111111111,-0.03968253968253968,0.62962963,0.05596168,7.08401723,1.0,1.0
chr8p::loss,CORE03,CORE06,14,5,0,0,0.07142857142857142,0.0,0.07142857142857142,1.22222222,0.04285016,34.8616506,1.0,1.0
chr8p::loss,CORE04,CORE05,10,9,0,0,0.8,0.1111111111111111,0.6888888888888889,19.26666667,2.05843907,180.33297667,0.00547749,0.07120737
chr8p::loss,CORE04,CORE06,10,5,0,0,0.8,0.0,0.8,37.4,1.49388636,936.32289611,0.00699301,0.08391612
chr8p::loss,CORE05,CORE06,9,5,0,0,0.1111111111111111,0.0,0.1111111111111111,1.94117647,0.0663834,56.76368268,1.0,1.0
