feature,group_a,group_b,n_a,n_b,median_a,median_b,mean_a,mean_b,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,p_adjusted_holm
original_shape_Elongation,CORE01,CORE02,17,14,0.35240415,-0.07588733,-0.21444911,0.10037466,0.09243697,-0.34453782,0.52941176,0.6768326,1.0
original_shape_Elongation,CORE01,CORE03,17,14,0.35240415,0.07295536,-0.21444911,0.04887451,0.01680672,-0.39495798,0.42857143,0.95252096,1.0
original_shape_Elongation,CORE01,CORE04,17,10,0.35240415,-0.30365458,-0.21444911,-0.29137362,0.21176471,-0.22352941,0.62352941,0.37958089,1.0
original_shape_Elongation,CORE01,CORE05,17,9,0.35240415,-0.22091966,-0.21444911,-0.18704012,-0.01960784,-0.47712418,0.46437908,0.95701738,1.0
original_shape_Elongation,CORE01,CORE06,17,5,0.35240415,0.43493277,-0.21444911,-0.20182829,-0.01176471,-0.50588235,0.48235294,1.0,1.0
original_shape_Elongation,CORE02,CORE03,14,14,-0.07588733,0.07295536,0.10037466,0.04887451,-0.06122449,-0.51045918,0.3877551,0.80049059,1.0
original_shape_Elongation,CORE02,CORE04,14,10,-0.07588733,-0.30365458,0.10037466,-0.29137362,0.31428571,-0.1575,0.72857143,0.20806245,1.0
original_shape_Elongation,CORE02,CORE05,14,9,-0.07588733,-0.22091966,0.10037466,-0.18704012,0.17460317,-0.3968254,0.6984127,0.50833157,1.0
original_shape_Elongation,CORE02,CORE06,14,5,-0.07588733,0.43493277,0.10037466,-0.20182829,0.08571429,-0.65714286,0.74285714,0.82301342,1.0
original_shape_Elongation,CORE03,CORE04,14,10,0.07295536,-0.30365458,0.04887451,-0.29137362,0.32857143,-0.12857143,0.72857143,0.18768277,1.0
original_shape_Elongation,CORE03,CORE05,14,9,0.07295536,-0.22091966,0.04887451,-0.18704012,0.11111111,-0.46031746,0.68253968,0.68220101,1.0
original_shape_Elongation,CORE03,CORE06,14,5,0.07295536,0.43493277,0.04887451,-0.20182829,0.08571429,-0.6,0.74285714,0.82301342,1.0
original_shape_Elongation,CORE04,CORE05,10,9,-0.30365458,-0.22091966,-0.29137362,-0.18704012,-0.04444444,-0.6,0.57777778,0.90252325,1.0
original_shape_Elongation,CORE04,CORE06,10,5,-0.30365458,0.43493277,-0.29137362,-0.20182829,-0.12,-0.84,0.6,0.76789877,1.0
original_shape_Elongation,CORE05,CORE06,9,5,-0.22091966,0.43493277,-0.18704012,-0.20182829,0.06666667,-0.6,0.64444444,0.8981019,1.0
original_shape_Flatness,CORE01,CORE02,17,14,0.41442313,0.0,-0.00506578,-0.07669266,0.13445378,-0.31092437,0.56323529,0.53838287,1.0
original_shape_Flatness,CORE01,CORE03,17,14,0.41442313,0.11596325,-0.00506578,0.12862315,0.05882353,-0.36155462,0.4789916,0.79639737,1.0
original_shape_Flatness,CORE01,CORE04,17,10,0.41442313,-0.28541593,-0.00506578,-0.39849512,0.21176471,-0.23529412,0.62352941,0.37958089,1.0
original_shape_Flatness,CORE01,CORE05,17,9,0.41442313,-0.46164325,-0.00506578,-0.18150847,0.08496732,-0.41176471,0.56862745,0.74640684,1.0
original_shape_Flatness,CORE01,CORE06,17,5,0.41442313,0.1611717,-0.00506578,-0.22457355,0.12941176,-0.36470588,0.57647059,0.7043366,1.0
original_shape_Flatness,CORE02,CORE03,14,14,0.0,0.11596325,-0.07669266,0.12862315,-0.23469388,-0.65306122,0.2244898,0.30121901,1.0
original_shape_Flatness,CORE02,CORE04,14,10,0.0,-0.28541593,-0.07669266,-0.39849512,0.12857143,-0.38607143,0.62857143,0.61868914,1.0
original_shape_Flatness,CORE02,CORE05,14,9,0.0,-0.46164325,-0.07669266,-0.18150847,0.12698413,-0.42857143,0.65079365,0.63660163,1.0
original_shape_Flatness,CORE02,CORE06,14,5,0.0,0.1611717,-0.07669266,-0.22457355,-0.02857143,-0.715,0.65714286,0.96439628,1.0
original_shape_Flatness,CORE03,CORE04,14,10,0.11596325,-0.28541593,0.12862315,-0.39849512,0.37142857,-0.14285714,0.78571429,0.13540392,1.0
original_shape_Flatness,CORE03,CORE05,14,9,0.11596325,-0.46164325,0.12862315,-0.18150847,0.15873016,-0.3968254,0.71428571,0.54954388,1.0
original_shape_Flatness,CORE03,CORE06,14,5,0.11596325,0.1611717,0.12862315,-0.22457355,0.25714286,-0.42857143,0.82857143,0.44392845,1.0
original_shape_Flatness,CORE04,CORE05,10,9,-0.28541593,-0.46164325,-0.39849512,-0.18150847,-0.06666667,-0.6,0.51111111,0.83825649,1.0
original_shape_Flatness,CORE04,CORE06,10,5,-0.28541593,0.1611717,-0.39849512,-0.22457355,-0.16,-0.76,0.52,0.67865468,1.0
