feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
HALLMARK_ADIPOGENESIS,6,69,17;14;14;10;9;5,estimable,,6.00076947,0.30614405,0.41370818,0.01588523
HALLMARK_ALLOGRAFT_REJECTION,6,69,17;14;14;10;9;5,estimable,,20.96636475,0.000822,0.0133156,0.25343436
HALLMARK_ANDROGEN_RESPONSE,6,69,17;14;14;10;9;5,estimable,,15.45412507,0.00858835,0.03903795,0.16593849
HALLMARK_ANGIOGENESIS,6,69,17;14;14;10;9;5,estimable,,14.07480813,0.01514114,0.05047047,0.14404457
HALLMARK_APICAL_JUNCTION,6,69,17;14;14;10;9;5,estimable,,8.18724545,0.14621361,0.26109573,0.0505912
HALLMARK_APICAL_SURFACE,6,69,17;14;14;10;9;5,estimable,,3.63519298,0.60303709,0.62816364,0.0
HALLMARK_APOPTOSIS,6,69,17;14;14;10;9;5,estimable,,4.52693263,0.47628805,0.52943948,0.0
HALLMARK_BILE_ACID_METABOLISM,6,69,17;14;14;10;9;5,estimable,,4.52537514,0.47649553,0.52943948,0.0
HALLMARK_CHOLESTEROL_HOMEOSTASIS,6,69,17;14;14;10;9;5,estimable,,7.40384061,0.19229639,0.31015547,0.0381562
HALLMARK_COAGULATION,6,69,17;14;14;10;9;5,estimable,,6.75901851,0.23918811,0.3584986,0.02792093
HALLMARK_COMPLEMENT,6,69,17;14;14;10;9;5,estimable,,10.99894358,0.05140093,0.12850232,0.09522133
HALLMARK_DNA_REPAIR,6,69,17;14;14;10;9;5,estimable,,13.56136936,0.01864933,0.05827916,0.13589475
HALLMARK_E2F_TARGETS,6,69,17;14;14;10;9;5,estimable,,5.4740252,0.36080252,0.44158393,0.00752421
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,6,69,17;14;14;10;9;5,estimable,,6.70179979,0.24377905,0.3584986,0.0270127
HALLMARK_ESTROGEN_RESPONSE_EARLY,6,69,17;14;14;10;9;5,estimable,,7.56321497,0.18200751,0.30334585,0.04068595
HALLMARK_ESTROGEN_RESPONSE_LATE,6,69,17;14;14;10;9;5,estimable,,1.56420806,0.9055434,0.9055434,0.0
HALLMARK_FATTY_ACID_METABOLISM,6,69,17;14;14;10;9;5,estimable,,5.85623583,0.32046014,0.41385579,0.01359104
HALLMARK_G2M_CHECKPOINT,6,69,17;14;14;10;9;5,estimable,,4.85030859,0.43442072,0.50514037,0.0
