feature,group_count,mutated_n,total_n,chi_square,p_value,q_value,permutations
mutation::ARID1A,6,2,69,4.42590618,0.4545,0.00016923,9999
mutation::ATM,6,5,69,24.89073529,0.0006,0.00016923,9999
mutation::BAP1,6,12,69,36.66117377,0.0001,0.00016923,9999
mutation::CDKN2A,6,0,69,0.0,1.0,0.00016923,9999
mutation::DST,6,5,69,19.28955882,0.0037,0.00016923,9999
mutation::ELOC,6,1,69,3.98634454,0.7508,0.00016923,9999
mutation::FLG,6,3,69,9.26803752,0.0753,0.00016923,9999
mutation::KDM5C,6,5,69,6.52437763,0.2467,0.00016923,9999
mutation::KMT2C,6,1,69,5.98676471,0.3458,0.00016923,9999
mutation::LYST,6,3,69,4.80469824,0.5427,0.00016923,9999
mutation::MTOR,6,3,69,18.50454545,0.0083,0.00016923,9999
mutation::MUC16,6,8,69,5.84739117,0.3414,0.00016923,9999
mutation::PBRM1,6,29,69,40.66148073,0.0001,0.00016923,9999
mutation::PIK3CA,6,3,69,20.90909091,0.0015,0.0004,9999
mutation::PTEN,6,5,69,21.93455882,0.0029,0.0004,9999
mutation::SETD2,6,3,69,5.75888295,0.3133,0.0004,9999
mutation::SPTA1,6,5,69,6.72441964,0.2093,0.0004,9999
mutation::TP53,6,3,69,12.32142857,0.0368,0.0004,9999
mutation::TSC1,6,1,69,12.98823529,0.0721,0.0004,9999
mutation::TSC2,6,0,69,0.0,1.0,0.0004,9999
mutation::TTN,6,7,69,7.3946385,0.1849,0.0004,9999
mutation::VHL,6,33,69,20.92256175,0.0004,0.0004,9999
