feature,group_a,group_b,n_a,n_b,missing_n_a,missing_n_b,frequency_a,frequency_b,frequency_difference,odds_ratio,ci_low,ci_high,fisher_p,p_adjusted_holm
mutation::ATM,CORE01,CORE02,17,14,0,0,0.11764705882352941,0.0,0.11764705882352941,4.67741935,0.20660042,105.89645363,0.48817204,1.0
mutation::ATM,CORE01,CORE03,17,14,0,0,0.11764705882352941,0.0,0.11764705882352941,4.67741935,0.20660042,105.89645363,0.48817204,1.0
mutation::ATM,CORE01,CORE04,17,10,0,0,0.11764705882352941,0.0,0.11764705882352941,3.38709677,0.14721277,77.93090528,0.51566952,1.0
mutation::ATM,CORE01,CORE05,17,9,0,0,0.11764705882352941,0.0,0.11764705882352941,3.06451613,0.13237792,70.94279095,0.52923077,1.0
mutation::ATM,CORE01,CORE06,17,5,0,0,0.11764705882352941,0.6,-0.48235294117647054,0.11520737,0.01407862,0.94275849,0.05491,0.60401
mutation::ATM,CORE02,CORE03,14,14,0,0,0.0,0.0,0.0,1.0,0.01855505,53.89368994,1.0,1.0
mutation::ATM,CORE02,CORE04,14,10,0,0,0.0,0.0,0.0,0.72413793,0.01326768,39.52277813,1.0,1.0
mutation::ATM,CORE02,CORE05,14,9,0,0,0.0,0.0,0.0,0.65517241,0.01194648,35.93117382,1.0,1.0
mutation::ATM,CORE02,CORE06,14,5,0,0,0.0,0.6,-0.6,0.02463054,0.00095211,0.63717473,0.01031992,0.1547988
mutation::ATM,CORE03,CORE04,14,10,0,0,0.0,0.0,0.0,0.72413793,0.01326768,39.52277813,1.0,1.0
mutation::ATM,CORE03,CORE05,14,9,0,0,0.0,0.0,0.0,0.65517241,0.01194648,35.93117382,1.0,1.0
mutation::ATM,CORE03,CORE06,14,5,0,0,0.0,0.6,-0.6,0.02463054,0.00095211,0.63717473,0.01031992,0.1547988
mutation::ATM,CORE04,CORE05,10,9,0,0,0.0,0.0,0.0,0.9047619,0.01629124,50.24750678,1.0,1.0
mutation::ATM,CORE04,CORE06,10,5,0,0,0.0,0.6,-0.6,0.03401361,0.00129463,0.89363142,0.02197802,0.28571426
mutation::ATM,CORE05,CORE06,9,5,0,0,0.0,0.6,-0.6,0.03759398,0.00142251,0.99352869,0.02747253,0.32967036
mutation::BAP1,CORE01,CORE02,17,14,0,0,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
mutation::BAP1,CORE01,CORE03,17,14,0,0,0.0,0.7142857142857143,-0.7142857142857143,0.0122449,0.00059738,0.2509917,2.257e-05,0.00033855
mutation::BAP1,CORE01,CORE04,17,10,0,0,0.0,0.1,-0.1,0.18095238,0.00669622,4.88988472,0.37037037,1.0
mutation::BAP1,CORE01,CORE05,17,9,0,0,0.0,0.1111111111111111,-0.1111111111111111,0.16190476,0.00594833,4.40680807,0.34615385,1.0
mutation::BAP1,CORE01,CORE06,17,5,0,0,0.0,0.0,0.0,0.31428571,0.00555618,17.77760863,1.0,1.0
mutation::BAP1,CORE02,CORE03,14,14,0,0,0.0,0.7142857142857143,-0.7142857142857143,0.01477833,0.00071558,0.30520434,0.00015256,0.00213584
mutation::BAP1,CORE02,CORE04,14,10,0,0,0.0,0.1,-0.1,0.2183908,0.00802623,5.94233523,0.41666667,1.0
mutation::BAP1,CORE02,CORE05,14,9,0,0,0.0,0.1111111111111111,-0.1111111111111111,0.1954023,0.0071299,5.3552057,0.39130435,1.0
mutation::BAP1,CORE02,CORE06,14,5,0,0,0.0,0.0,0.0,0.37931034,0.00666812,21.57673143,1.0,1.0
mutation::BAP1,CORE03,CORE04,14,10,0,0,0.7142857142857143,0.1,0.6142857142857143,14.77777778,1.91056118,114.30291703,0.00452618,0.05884034
mutation::BAP1,CORE03,CORE05,14,9,0,0,0.7142857142857143,0.1111111111111111,0.6031746031746033,13.22222222,1.68974324,103.46374322,0.00942253,0.11307036
mutation::BAP1,CORE03,CORE06,14,5,0,0,0.7142857142857143,0.0,0.7142857142857143,25.66666667,1.15790027,568.9417277,0.01083591,0.11919501
mutation::BAP1,CORE04,CORE05,10,9,0,0,0.1,0.1111111111111111,-0.0111111111111111,0.89473684,0.07759008,10.31773633,1.0,1.0
mutation::BAP1,CORE04,CORE06,10,5,0,0,0.1,0.0,0.1,1.73684211,0.05981614,50.43155069,1.0,1.0
mutation::BAP1,CORE05,CORE06,9,5,0,0,0.1111111111111111,0.0,0.1111111111111111,1.94117647,0.0663834,56.76368268,1.0,1.0
mutation::DST,CORE01,CORE02,17,14,0,0,0.058823529411764705,0.0,0.058823529411764705,2.63636364,0.09944974,69.88870187,1.0,1.0
mutation::DST,CORE01,CORE03,17,14,0,0,0.058823529411764705,0.0,0.058823529411764705,2.63636364,0.09944974,69.88870187,1.0,1.0
mutation::DST,CORE01,CORE04,17,10,0,0,0.058823529411764705,0.4,-0.3411764705882353,0.13131313,0.01675673,1.02902771,0.047343,0.615459
