feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
chr1p,4,56,21;14;12;9,estimable,,7.41635324,0.0597471,0.08871539,0.08492987
chr1q,4,56,21;14;12;9,estimable,,12.97696218,0.00468669,0.01530985,0.19186466
chr2p,4,56,21;14;12;9,estimable,,13.13929168,0.00434486,0.01520701,0.19498638
chr2q,4,56,21;14;12;9,estimable,,7.02246688,0.07118511,0.09965915,0.07735513
chr3p,4,56,21;14;12;9,estimable,,15.76928929,0.00126441,0.00738288,0.24556326
chr3q,4,56,21;14;12;9,estimable,,10.83789832,0.0126355,0.02997196,0.15072881
chr4p,4,56,21;14;12;9,estimable,,9.88575606,0.01956264,0.03729081,0.13241839
chr4q,4,56,21;14;12;9,estimable,,7.24025838,0.06462167,0.09313123,0.08154343
chr5p,4,56,21;14;12;9,estimable,,2.38435374,0.49655381,0.55298038,0.0
chr5q,4,56,21;14;12;9,estimable,,2.03531149,0.56511011,0.61534212,0.0
chr6p,4,56,21;14;12;9,estimable,,7.74811658,0.05151456,0.07888167,0.09130993
chr6q,4,56,21;14;12;9,estimable,,1.53299916,0.67467535,0.71867592,0.0
chr7p,4,56,21;14;12;9,estimable,,9.99397303,0.01861744,0.03729081,0.13449948
chr7q,4,56,21;14;12;9,estimable,,12.61727235,0.00554181,0.01697179,0.18494755
chr8p,4,56,21;14;12;9,estimable,,0.79427736,0.85083532,0.86856106,0.0
chr8q,4,56,21;14;12;9,estimable,,6.33401957,0.09644329,0.12436108,0.06411576
chr9p,4,56,21;14;12;9,estimable,,6.67393617,0.08304959,0.10998459,0.07065262
chr9q,4,56,21;14;12;9,estimable,,9.64360444,0.02185172,0.03965683,0.12776162
chr10p,4,56,21;14;12;9,estimable,,9.86082766,0.01978696,0.03729081,0.13193899
chr10q,4,56,21;14;12;9,estimable,,19.26115885,0.00024142,0.00259532,0.31271459
chr11p,4,56,21;14;12;9,estimable,,10.70112782,0.0134568,0.02997196,0.14809861
chr11q,4,56,21;14;12;9,estimable,,5.84579007,0.11935872,0.14560697,0.05472673
chr12p,4,56,21;14;12;9,estimable,,20.01002506,0.00016893,0.00259532,0.32711587
chr12q,4,56,21;14;12;9,estimable,,15.14546784,0.00169646,0.00831265,0.23356669
chr13p,4,56,21;14;12;9,not_estimable,kruskal_wallis_failed,,,,
chr13q,4,56,21;14;12;9,estimable,,5.79852906,0.1218344,0.14560697,0.05381787
chr14p,4,56,21;14;12;9,not_estimable,kruskal_wallis_failed,,,,
chr14q,4,56,21;14;12;9,estimable,,15.62094224,0.00135604,0.00738288,0.24271043
chr15p,4,56,21;14;12;9,not_estimable,kruskal_wallis_failed,,,,
chr15q,4,56,21;14;12;9,estimable,,9.27756892,0.02581927,0.04362566,0.12072248
chr16p,4,56,21;14;12;9,estimable,,10.77203425,0.01302466,0.02997196,0.1494622
chr16q,4,56,21;14;12;9,estimable,,10.76053228,0.01309381,0.02997196,0.14924101
chr17p,4,56,21;14;12;9,estimable,,11.85485763,0.00789726,0.02276269,0.17028572
chr17q,4,56,21;14;12;9,estimable,,13.20841925,0.0042069,0.01520701,0.19631575
chr18p,4,56,21;14;12;9,estimable,,1.01468067,0.79769973,0.8316444,0.0
chr18q,4,56,21;14;12;9,estimable,,0.55630147,0.90635911,0.90635911,0.0
chr19p,4,56,21;14;12;9,estimable,,6.75050722,0.08028974,0.10928326,0.07212514
chr19q,4,56,21;14;12;9,estimable,,13.46229921,0.00373641,0.01520701,0.20119806
chr20p,4,56,21;14;12;9,estimable,,9.96558107,0.01886099,0.03729081,0.13395348
chr20q,4,56,21;14;12;9,estimable,,13.60353509,0.00349763,0.01520701,0.20391414
chr21p,4,56,21;14;12;9,not_estimable,kruskal_wallis_failed,,,,
chr21q,4,56,21;14;12;9,estimable,,2.79078649,0.42501887,0.48432383,0.0
chr22p,4,56,21;14;12;9,not_estimable,kruskal_wallis_failed,,,,
chr22q,4,56,21;14;12;9,estimable,,4.42954332,0.21866162,0.25510522,0.02749122
locus::VHL,4,56,21;14;12;9,estimable,,20.22557883,0.00015242,0.00259532,0.33126113
locus::SETD2,4,56,21;14;12;9,estimable,,18.35964912,0.00037076,0.00259532,0.29537787
locus::PBRM1,4,56,21;14;12;9,estimable,,18.46054123,0.0003534,0.00259532,0.2973181
locus::BAP1,4,56,21;14;12;9,estimable,,18.46054123,0.0003534,0.00259532,0.2973181
locus::JAK2,4,56,21;14;12;9,estimable,,7.87088303,0.04875691,0.07706737,0.09367083
locus::CDKN2A,4,56,21;14;12;9,estimable,,7.91413251,0.04782007,0.07706737,0.09450255
locus::PTEN,4,56,21;14;12;9,estimable,,20.62749516,0.00012579,0.00259532,0.33899029
fga,4,56,21;14;12;9,estimable,,9.31862394,0.02534128,0.04362566,0.121512
gain_burden,4,56,21;14;12;9,estimable,,5.8959158,0.11678543,0.14560697,0.05569069
loss_burden,4,56,21;14;12;9,estimable,,11.20752775,0.01065503,0.02900536,0.15783707
