feature,group_a,group_b,n_a,n_b,median_a,median_b,mean_a,mean_b,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,p_adjusted_holm
chr1q,CORE01,CORE02,21,14,0.0111,0.03574772,0.02446259,0.04750494,-0.18367347,-0.61921769,0.25867347,0.3722314,0.46183758
chr1q,CORE01,CORE03,21,12,0.0111,0.06331652,0.02446259,0.08846987,-0.66666667,-0.94444444,-0.28571429,0.0017786,0.0106716
chr1q,CORE01,CORE04,21,9,0.0111,-0.0092,0.02446259,-0.12178113,0.33862434,-0.1957672,0.7989418,0.15394586,0.46183758
chr1q,CORE02,CORE03,14,12,0.03574772,0.06331652,0.04750494,0.08846987,-0.29761905,-0.69047619,0.13125,0.20761741,0.46183758
chr1q,CORE02,CORE04,14,9,0.03574772,-0.0092,0.04750494,-0.12178113,0.49206349,0.01587302,0.84126984,0.05469145,0.2187658
chr1q,CORE03,CORE04,12,9,0.06331652,-0.0092,0.08846987,-0.12178113,0.75925926,0.40694444,1.0,0.00399939,0.01999695
chr2p,CORE01,CORE02,21,14,0.00455039,0.0327,0.00745322,0.06825682,-0.47619048,-0.80952381,-0.08146259,0.0192741,0.0963705
chr2p,CORE01,CORE03,21,12,0.00455039,0.038096,0.00745322,0.04712445,-0.77777778,-0.96031746,-0.52380952,0.00026342,0.00158052
chr2p,CORE01,CORE04,21,9,0.00455039,0.0323,0.00745322,-0.04762969,-0.17460317,-0.69312169,0.37592593,0.46900403,0.93800806
chr2p,CORE02,CORE03,14,12,0.0327,0.038096,0.06825682,0.04712445,-0.11904762,-0.57142857,0.3452381,0.6251056,0.93800806
chr2p,CORE02,CORE04,14,9,0.0327,0.0323,0.06825682,-0.04762969,0.33333333,-0.12698413,0.74603175,0.19657242,0.7543922
chr2p,CORE03,CORE04,12,9,0.038096,0.0323,0.04712445,-0.04762969,0.35185185,-0.16666667,0.81481481,0.18859805,0.7543922
chr3p,CORE01,CORE02,21,14,-0.37905817,-0.2068723,-0.38606653,-0.20196624,-0.70068027,-0.94557823,-0.40136054,0.00055778,0.00334668
chr3p,CORE01,CORE03,21,12,-0.37905817,-0.30952309,-0.38606653,-0.28595967,-0.46825397,-0.79365079,-0.08730159,0.0285745,0.114298
chr3p,CORE01,CORE04,21,9,-0.37905817,-0.21351494,-0.38606653,-0.13752097,-0.60846561,-0.95767196,-0.1005291,0.00989125,0.04945625
chr3p,CORE02,CORE03,14,12,-0.2068723,-0.30952309,-0.20196624,-0.28595967,0.35714286,-0.08333333,0.76190476,0.12918685,0.38756055
chr3p,CORE02,CORE04,14,9,-0.2068723,-0.21351494,-0.20196624,-0.13752097,-0.11111111,-0.60357143,0.46031746,0.68220101,0.68220101
chr3p,CORE03,CORE04,12,9,-0.30952309,-0.21351494,-0.28595967,-0.13752097,-0.33333333,-0.77777778,0.2037037,0.21362073,0.42724146
chr3q,CORE01,CORE02,21,14,0.0014,0.0481204,-0.08970109,0.04101892,-0.55102041,-0.86394558,-0.18367347,0.00671665,0.03358325
chr3q,CORE01,CORE03,21,12,0.0014,0.04076377,-0.08970109,0.04634135,-0.61111111,-0.91269841,-0.22222222,0.00419729,0.02518374
chr3q,CORE01,CORE04,21,9,0.0014,0.04931919,-0.08970109,0.01843604,-0.35449735,-0.82010582,0.14312169,0.13531752,0.54127008
chr3q,CORE02,CORE03,14,12,0.0481204,0.04076377,0.04101892,0.04634135,-0.03571429,-0.47619048,0.42857143,0.89768515,1.0
chr3q,CORE02,CORE04,14,9,0.0481204,0.04931919,0.04101892,0.01843604,0.0952381,-0.44484127,0.6031746,0.72899145,1.0
chr3q,CORE03,CORE04,12,9,0.04076377,0.04931919,0.04634135,0.01843604,0.03703704,-0.51851852,0.59259259,0.91510603,1.0
chr4p,CORE01,CORE02,21,14,0.0092,-0.02431795,0.0075254,-0.05845342,0.40136054,-0.02040816,0.76190476,0.04886159,0.19544636
chr4p,CORE01,CORE03,21,12,0.0092,0.02684811,0.0075254,-0.00326538,-0.30952381,-0.73809524,0.14285714,0.14963376,0.44890128
chr4p,CORE01,CORE04,21,9,0.0092,0.0432,0.0075254,0.0633487,-0.33333333,-0.80952381,0.18518519,0.16063332,0.44890128
chr4p,CORE02,CORE03,14,12,-0.02431795,0.02684811,-0.05845342,-0.00326538,-0.52380952,-0.86934524,-0.13095238,0.0252603,0.1263015
chr4p,CORE02,CORE04,14,9,-0.02431795,0.0432,-0.05845342,0.0633487,-0.61904762,-0.92063492,-0.20595238,0.01529692,0.09178152
chr4p,CORE03,CORE04,12,9,0.02684811,0.0432,-0.00326538,0.0633487,-0.24074074,-0.74074074,0.3337963,0.37435987,0.44890128
chr7p,CORE01,CORE02,21,14,0.01867086,0.06206111,0.0722243,0.13015176,-0.37414966,-0.72789116,-0.00680272,0.06648933,0.26595732
chr7p,CORE01,CORE03,21,12,0.01867086,0.031,0.0722243,0.05533174,-0.30952381,-0.66686508,0.07162698,0.14963376,0.44890128
chr7p,CORE01,CORE04,21,9,0.01867086,0.1894,0.0722243,0.19535886,-0.58730159,-0.87301587,-0.22724868,0.01280686,0.0640343
chr7p,CORE02,CORE03,14,12,0.06206111,0.031,0.13015176,0.05533174,0.21428571,-0.25029762,0.64285714,0.36806551,0.54057876
chr7p,CORE02,CORE04,14,9,0.06206111,0.1894,0.13015176,0.19535886,-0.28571429,-0.71428571,0.19047619,0.27028938,0.54057876
chr7p,CORE03,CORE04,12,9,0.031,0.1894,0.05533174,0.19535886,-0.68518519,-1.0,-0.27777778,0.00948825,0.0569295
chr7q,CORE01,CORE02,21,14,0.01514,0.04753434,0.05770308,0.12119777,-0.31292517,-0.66666667,0.08163265,0.12550647,0.37651941
chr7q,CORE01,CORE03,21,12,0.01514,0.03050727,0.05770308,0.04838754,-0.27777778,-0.65079365,0.1031746,0.19665859,0.39331718
chr7q,CORE01,CORE04,21,9,0.01514,0.20597581,0.05770308,0.27106097,-0.71428571,-0.94708995,-0.3968254,0.00242802,0.01456812
chr7q,CORE02,CORE03,14,12,0.04753434,0.03050727,0.12119777,0.04838754,0.19047619,-0.28571429,0.60744048,0.42531516,0.42531516
chr7q,CORE02,CORE04,14,9,0.04753434,0.20597581,0.12119777,0.27106097,-0.49206349,-0.84126984,-0.01587302,0.05469145,0.2187658
chr7q,CORE03,CORE04,12,9,0.03050727,0.20597581,0.04838754,0.27106097,-0.77777778,-1.0,-0.38888889,0.00318519,0.01592595
chr9q,CORE01,CORE02,21,14,0.0074,-0.10088755,-0.06045822,-0.11692496,0.42176871,-0.00017007,0.78231293,0.0383763,0.1918815
chr9q,CORE01,CORE03,21,12,0.0074,-0.0075916,-0.06045822,-0.06839494,-0.02380952,-0.49206349,0.47638889,0.92545857,0.92545857
chr9q,CORE01,CORE04,21,9,0.0074,0.04212634,-0.06045822,0.02821109,-0.45502646,-0.87301587,0.05304233,0.05440399,0.21761596
chr9q,CORE02,CORE03,14,12,-0.10088755,-0.0075916,-0.11692496,-0.06839494,-0.33333333,-0.78571429,0.1547619,0.15723059,0.31446118
chr9q,CORE02,CORE04,14,9,-0.10088755,0.04212634,-0.11692496,0.02821109,-0.63492063,-0.96825397,-0.20634921,0.01283676,0.07702056
chr9q,CORE03,CORE04,12,9,-0.0075916,0.04212634,-0.06839494,0.02821109,-0.5,-0.87037037,0.0,0.05966338,0.21761596
chr10p,CORE01,CORE02,21,14,0.0006,-0.00228018,-0.00302524,-0.0520851,-0.02721088,-0.47619048,0.3877551,0.90618562,1.0
chr10p,CORE01,CORE03,21,12,0.0006,0.0315,-0.00302524,0.02965746,-0.75396825,-0.99206349,-0.37281746,0.00040535,0.0024321
chr10p,CORE01,CORE04,21,9,0.0006,-0.00403622,-0.00302524,-0.06595379,-0.03703704,-0.57671958,0.54497354,0.89200402,1.0
chr10p,CORE02,CORE03,14,12,-0.00228018,0.0315,-0.0520851,0.02965746,-0.47619048,-0.8452381,-0.05922619,0.04218801,0.21094005
chr10p,CORE02,CORE04,14,9,-0.00228018,-0.00403622,-0.0520851,-0.06595379,0.03174603,-0.47619048,0.52380952,0.92471904,1.0
chr10p,CORE03,CORE04,12,9,0.0315,-0.00403622,0.02965746,-0.06595379,0.37037037,-0.18518519,0.85185185,0.16580656,0.66322624
chr10q,CORE01,CORE02,21,14,-0.00032201,-0.09768151,-0.00483655,-0.10918792,0.72789116,0.38095238,0.97959184,0.00033574,0.00201444
chr10q,CORE01,CORE03,21,12,-0.00032201,0.03062098,-0.00483655,0.02644836,-0.65079365,-0.96031746,-0.26170635,0.00228795,0.0091518
chr10q,CORE01,CORE04,21,9,-0.00032201,-0.00522889,-0.00483655,-0.07398504,-0.02645503,-0.58756614,0.54497354,0.92787991,0.92787991
