feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
original_shape_Elongation,7,77,17;15;14;10;9;7;5,estimable,,2.16676825,0.90373961,0.94711315,0.0
original_shape_Flatness,7,77,17;15;14;10;9;7;5,estimable,,2.86137821,0.82603345,0.89776032,0.0
original_shape_LeastAxisLength,7,77,17;15;14;10;9;7;5,estimable,,15.99724869,0.01376874,0.18499287,0.14281784
original_shape_MajorAxisLength,7,77,17;15;14;10;9;7;5,estimable,,8.0428009,0.23498435,0.46090245,0.02918287
original_shape_Maximum2DDiameterColumn,7,77,17;15;14;10;9;7;5,estimable,,8.88636294,0.18007053,0.3990052,0.04123376
original_shape_Maximum2DDiameterRow,7,77,17;15;14;10;9;7;5,estimable,,12.06348087,0.06056752,0.24180314,0.08662116
original_shape_Maximum2DDiameterSlice,7,77,17;15;14;10;9;7;5,estimable,,6.55464853,0.36400074,0.58089237,0.00792355
original_shape_MeshVolume,7,77,17;15;14;10;9;7;5,estimable,,10.70415448,0.09796167,0.29437617,0.06720221
original_shape_MinorAxisLength,7,77,17;15;14;10;9;7;5,estimable,,15.19903607,0.01876389,0.18499287,0.1314148
original_shape_Sphericity,7,77,17;15;14;10;9;7;5,estimable,,5.42532426,0.49052783,0.68055212,0.0
original_shape_SurfaceVolumeRatio,7,77,17;15;14;10;9;7;5,estimable,,13.12126902,0.0411501,0.21798408,0.10173241
original_firstorder_10Percentile,7,77,17;15;14;10;9;7;5,estimable,,4.5235004,0.60620648,0.76027702,0.0
original_firstorder_90Percentile,7,77,17;15;14;10;9;7;5,estimable,,15.5944028,0.01610472,0.18499287,0.1370629
original_firstorder_Energy,7,77,17;15;14;10;9;7;5,estimable,,12.62175639,0.04945154,0.2272119,0.09459652
original_firstorder_InterquartileRange,7,77,17;15;14;10;9;7;5,estimable,,11.66656854,0.06983426,0.2530465,0.08095098
original_firstorder_Kurtosis,7,77,17;15;14;10;9;7;5,estimable,,1.82583057,0.9349997,0.95459535,0.0
original_firstorder_Maximum,7,77,17;15;14;10;9;7;5,estimable,,7.73451292,0.25820593,0.47421602,0.02477876
original_firstorder_Mean,7,77,17;15;14;10;9;7;5,estimable,,11.67569219,0.06960731,0.2530465,0.08108132
original_firstorder_Minimum,7,77,17;15;14;10;9;7;5,estimable,,9.54356717,0.14523643,0.36300368,0.05062239
original_firstorder_Range,7,77,17;15;14;10;9;7;5,estimable,,12.29784427,0.05564471,0.23160231,0.0899692
original_firstorder_Skewness,7,77,17;15;14;10;9;7;5,estimable,,7.6701017,0.26328227,0.47421602,0.0238586
original_firstorder_Uniformity,7,77,17;15;14;10;9;7;5,estimable,,14.27792693,0.02668105,0.18499287,0.1182561
original_firstorder_Variance,7,77,17;15;14;10;9;7;5,estimable,,15.04430453,0.01991491,0.18499287,0.12920435
original_glcm_Correlation,7,77,17;15;14;10;9;7;5,estimable,,12.87809651,0.04501315,0.22006429,0.09825852
original_glcm_Idmn,7,77,17;15;14;10;9;7;5,estimable,,7.76521331,0.25581399,0.47421602,0.02521733
original_glcm_Idn,7,77,17;15;14;10;9;7;5,estimable,,6.77481324,0.34217542,0.5576192,0.01106876
original_glcm_Imc1,7,77,17;15;14;10;9;7;5,estimable,,8.99274395,0.17398656,0.39115227,0.04275349
original_glrlm_LongRunHighGrayLevelEmphasis,7,77,17;15;14;10;9;7;5,estimable,,10.20325109,0.11634952,0.32876745,0.06004644
original_glrlm_LowGrayLevelRunEmphasis,7,77,17;15;14;10;9;7;5,estimable,,14.94727215,0.02067081,0.18499287,0.12781817
original_glrlm_RunEntropy,7,77,17;15;14;10;9;7;5,estimable,,14.0096363,0.02952871,0.18499287,0.11442338
original_glrlm_RunLengthNonUniformity,7,77,17;15;14;10;9;7;5,estimable,,8.65214319,0.19410697,0.41517324,0.03788776
original_glszm_GrayLevelNonUniformity,7,77,17;15;14;10;9;7;5,estimable,,12.50596556,0.05158763,0.2272119,0.09294237
original_glszm_LargeAreaEmphasis,7,77,17;15;14;10;9;7;5,estimable,,10.72778818,0.0971627,0.29437617,0.06753983
original_glszm_LargeAreaHighGrayLevelEmphasis,7,77,17;15;14;10;9;7;5,estimable,,8.41136604,0.20948746,0.4315212,0.03444809
original_glszm_SizeZoneNonUniformity,7,77,17;15;14;10;9;7;5,estimable,,10.97675415,0.08909754,0.2914362,0.07109649
original_glszm_SizeZoneNonUniformityNormalized,7,77,17;15;14;10;9;7;5,estimable,,8.02280968,0.23643697,0.46090245,0.02889728
original_glszm_ZoneEntropy,7,77,17;15;14;10;9;7;5,estimable,,14.02822593,0.02932245,0.18499287,0.11468894
original_glszm_ZonePercentage,7,77,17;15;14;10;9;7;5,estimable,,4.06241975,0.6682295,0.80083535,0.0
original_gldm_DependenceEntropy,7,77,17;15;14;10;9;7;5,estimable,,15.49604215,0.01673035,0.18499287,0.13565774
original_gldm_GrayLevelNonUniformity,7,77,17;15;14;10;9;7;5,estimable,,9.11459726,0.16723504,0.38154365,0.04449425
original_gldm_LargeDependenceHighGrayLevelEmphasis,7,77,17;15;14;10;9;7;5,estimable,,11.31244479,0.0791868,0.27099483,0.07589207
log-sigma-1-0-mm-3D_firstorder_10Percentile,7,77,17;15;14;10;9;7;5,estimable,,14.85349926,0.02142728,0.18499287,0.12647856
log-sigma-1-0-mm-3D_firstorder_90Percentile,7,77,17;15;14;10;9;7;5,estimable,,12.47280376,0.05221506,0.2272119,0.09246863
log-sigma-1-0-mm-3D_firstorder_Energy,7,77,17;15;14;10;9;7;5,estimable,,11.35321205,0.07805446,0.27012105,0.07647446
log-sigma-1-0-mm-3D_firstorder_InterquartileRange,7,77,17;15;14;10;9;7;5,estimable,,15.03445723,0.0199904,0.18499287,0.12906367
log-sigma-1-0-mm-3D_firstorder_Kurtosis,7,77,17;15;14;10;9;7;5,estimable,,4.43966342,0.61740094,0.76374942,0.0
log-sigma-1-0-mm-3D_firstorder_Maximum,7,77,17;15;14;10;9;7;5,estimable,,11.89398221,0.06437616,0.24180314,0.08419975
log-sigma-1-0-mm-3D_firstorder_Mean,7,77,17;15;14;10;9;7;5,estimable,,4.16127719,0.65486151,0.79096998,0.0
log-sigma-1-0-mm-3D_firstorder_Minimum,7,77,17;15;14;10;9;7;5,estimable,,5.17205689,0.52194269,0.71132013,0.0
log-sigma-1-0-mm-3D_firstorder_Range,7,77,17;15;14;10;9;7;5,estimable,,8.90654089,0.17890277,0.3990052,0.04152201
