modality,group_a,group_b,n_a,n_b,comparison_status,not_estimable_reason,available_n,set_count,permanova_r2,pseudo_f,permanova_p_value,permutations,permanova_q_value
ct,CORE01,CORE02,17,15,estimable,,32,2,0.036267,1.128953,0.0312,9999,0.1283625
ct,CORE01,CORE03,17,14,estimable,,31,2,0.035349,1.062679,0.149,9999,0.2235
ct,CORE01,CORE04,17,10,estimable,,27,2,0.041969,1.095182,0.0662,9999,0.13554545
ct,CORE01,CORE05,17,9,estimable,,26,2,0.045522,1.144645,0.0187,9999,0.098175
ct,CORE01,CORE06,17,7,estimable,,24,2,0.05721,1.335005,0.0116,9999,0.098175
ct,CORE01,CORE07,17,5,estimable,,22,2,0.052479,1.107715,0.0572,9999,0.13346667
ct,CORE02,CORE03,15,14,estimable,,29,2,0.042735,1.205366,0.0051,9999,0.098175
ct,CORE02,CORE04,15,10,estimable,,25,2,0.047278,1.141363,0.0171,9999,0.098175
ct,CORE02,CORE05,15,9,estimable,,24,2,0.047646,1.100661,0.0489,9999,0.1283625
ct,CORE02,CORE06,15,7,estimable,,22,2,0.052778,1.114369,0.2336,9999,0.28856471
ct,CORE02,CORE07,15,5,estimable,,20,2,0.058621,1.12089,0.043,9999,0.1283625
ct,CORE03,CORE04,14,10,estimable,,24,2,0.041904,0.96221,0.7284,9999,0.76482
ct,CORE03,CORE05,14,9,estimable,,23,2,0.048772,1.076717,0.0963,9999,0.15556154
ct,CORE03,CORE06,14,7,estimable,,21,2,0.05963,1.204804,0.0807,9999,0.141225
ct,CORE03,CORE07,14,5,estimable,,19,2,0.055547,0.999843,0.4441,9999,0.49084737
ct,CORE04,CORE05,10,9,estimable,,19,2,0.051701,0.926838,0.9357,9999,0.9357
ct,CORE04,CORE06,10,7,estimable,,17,2,0.075431,1.22378,0.071,9999,0.13554545
ct,CORE04,CORE07,10,5,estimable,,15,2,0.072423,1.015005,0.344,9999,0.40133333
ct,CORE05,CORE06,9,7,estimable,,16,2,0.083661,1.278188,0.0446,9999,0.1283625
ct,CORE05,CORE07,9,5,estimable,,14,2,0.079987,1.043288,0.1955,9999,0.259875
