feature,group_a,group_b,n_a,n_b,median_a,median_b,mean_a,mean_b,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,p_adjusted_holm
HALLMARK_ALLOGRAFT_REJECTION,CORE01,CORE02,17,15,0.18520238,0.21607918,0.18287662,0.19457879,-0.17647059,-0.61588235,0.2627451,0.4060977,1.0
HALLMARK_ALLOGRAFT_REJECTION,CORE01,CORE03,17,14,0.18520238,0.32319764,0.18287662,0.33309879,-0.92436975,-1.0,-0.77310924,1.383e-05,0.00029043
HALLMARK_ALLOGRAFT_REJECTION,CORE01,CORE04,17,10,0.18520238,0.23311513,0.18287662,0.22795132,-0.27058824,-0.75294118,0.25882353,0.25859549,1.0
HALLMARK_ALLOGRAFT_REJECTION,CORE01,CORE05,17,9,0.18520238,0.27949201,0.18287662,0.26732281,-0.63398693,-1.0,-0.17647059,0.00968025,0.18392475
HALLMARK_ALLOGRAFT_REJECTION,CORE01,CORE06,17,7,0.18520238,0.26118091,0.18287662,0.26869665,-0.59663866,-0.96722689,-0.09243697,0.02354784,0.37676544
HALLMARK_ALLOGRAFT_REJECTION,CORE01,CORE07,17,5,0.18520238,0.23301483,0.18287662,0.2362174,-0.67058824,-1.0,-0.27058824,0.02460697,0.37676544
HALLMARK_ALLOGRAFT_REJECTION,CORE02,CORE03,15,14,0.21607918,0.32319764,0.19457879,0.33309879,-0.59047619,-0.88571429,-0.25690476,0.00727297,0.1454594
HALLMARK_ALLOGRAFT_REJECTION,CORE02,CORE04,15,10,0.21607918,0.23311513,0.19457879,0.22795132,-0.14666667,-0.58666667,0.32,0.56027357,1.0
HALLMARK_ALLOGRAFT_REJECTION,CORE02,CORE05,15,9,0.21607918,0.27949201,0.19457879,0.26732281,-0.31851852,-0.73333333,0.15555556,0.2104977,1.0
HALLMARK_ALLOGRAFT_REJECTION,CORE02,CORE06,15,7,0.21607918,0.26118091,0.19457879,0.26869665,-0.2952381,-0.73333333,0.21904762,0.29824561,1.0
HALLMARK_ALLOGRAFT_REJECTION,CORE02,CORE07,15,5,0.21607918,0.23301483,0.19457879,0.2362174,-0.12,-0.6,0.36,0.73542312,1.0
HALLMARK_ALLOGRAFT_REJECTION,CORE03,CORE04,14,10,0.32319764,0.23311513,0.33309879,0.22795132,0.6,0.2,0.91428571,0.01509919,0.25696602
HALLMARK_ALLOGRAFT_REJECTION,CORE03,CORE05,14,9,0.32319764,0.27949201,0.33309879,0.26732281,0.3968254,-0.07936508,0.79365079,0.12274468,1.0
HALLMARK_ALLOGRAFT_REJECTION,CORE03,CORE06,14,7,0.32319764,0.26118091,0.33309879,0.26869665,0.42857143,-0.10204082,0.87755102,0.12846577,1.0
HALLMARK_ALLOGRAFT_REJECTION,CORE03,CORE07,14,5,0.32319764,0.23301483,0.33309879,0.2362174,0.74285714,0.37142857,1.0,0.01427589,0.25696602
HALLMARK_ALLOGRAFT_REJECTION,CORE04,CORE05,10,9,0.23311513,0.27949201,0.22795132,0.26732281,-0.24444444,-0.75555556,0.28944444,0.39126728,1.0
HALLMARK_ALLOGRAFT_REJECTION,CORE04,CORE06,10,7,0.23311513,0.26118091,0.22795132,0.26869665,-0.31428571,-0.8,0.22928571,0.31478815,1.0
HALLMARK_ALLOGRAFT_REJECTION,CORE04,CORE07,10,5,0.23311513,0.23301483,0.22795132,0.2362174,-0.08,-0.64,0.52,0.85914086,1.0
HALLMARK_ALLOGRAFT_REJECTION,CORE05,CORE06,9,7,0.27949201,0.26118091,0.26732281,0.26869665,-0.01587302,-0.58730159,0.58730159,1.0,1.0
HALLMARK_ALLOGRAFT_REJECTION,CORE05,CORE07,9,5,0.27949201,0.23301483,0.26732281,0.2362174,0.28888889,-0.33333333,0.86666667,0.43756244,1.0
HALLMARK_ALLOGRAFT_REJECTION,CORE06,CORE07,7,5,0.26118091,0.23301483,0.26869665,0.2362174,0.25714286,-0.48571429,1.0,0.53030303,1.0
HALLMARK_HEDGEHOG_SIGNALING,CORE01,CORE02,17,15,0.16474832,0.14456459,0.1594386,0.12665942,0.34117647,-0.05098039,0.69411765,0.10441891,1.0
HALLMARK_HEDGEHOG_SIGNALING,CORE01,CORE03,17,14,0.16474832,0.12002497,0.1594386,0.11281353,0.55462185,0.18487395,0.84033613,0.00932317,0.15849389
HALLMARK_HEDGEHOG_SIGNALING,CORE01,CORE04,17,10,0.16474832,0.09766426,0.1594386,0.1086607,0.72941176,0.41176471,0.95294118,0.00201581,0.03830039
HALLMARK_HEDGEHOG_SIGNALING,CORE01,CORE05,17,9,0.16474832,0.1580982,0.1594386,0.16206291,-0.08496732,-0.55555556,0.39869281,0.74640684,1.0
HALLMARK_HEDGEHOG_SIGNALING,CORE01,CORE06,17,7,0.16474832,0.14991099,0.1594386,0.16501044,-0.1092437,-0.57983193,0.34453782,0.70975198,1.0
HALLMARK_HEDGEHOG_SIGNALING,CORE01,CORE07,17,5,0.16474832,0.15859383,0.1594386,0.17026363,-0.15294118,-0.62352941,0.31764706,0.64859117,1.0
HALLMARK_HEDGEHOG_SIGNALING,CORE02,CORE03,15,14,0.14456459,0.12002497,0.12665942,0.11281353,0.20952381,-0.23809524,0.6,0.34807129,1.0
HALLMARK_HEDGEHOG_SIGNALING,CORE02,CORE04,15,10,0.14456459,0.09766426,0.12665942,0.1086607,0.33333333,-0.12,0.74666667,0.17414168,1.0
HALLMARK_HEDGEHOG_SIGNALING,CORE02,CORE05,15,9,0.14456459,0.1580982,0.12665942,0.16206291,-0.43703704,-0.80740741,0.00740741,0.08376867,1.0
HALLMARK_HEDGEHOG_SIGNALING,CORE02,CORE06,15,7,0.14456459,0.14991099,0.12665942,0.16501044,-0.40952381,-0.79095238,0.08571429,0.14165259,1.0
