partition,reference,state,reference_subtype,state_n,state_subtype_n,state_subtype_fraction,rest_n,rest_subtype_n,rest_subtype_fraction,odds_ratio,ci_low,ci_high,fisher_p,bh_q
5V-7state,mRNA,CORE01,m1,13,9,0.6923076923076923,50,16,0.32,4.4141414141,1.2448512508,15.6521868871,0.0243413335,0.5390634242
5V-7state,mRNA,CORE01,m2,13,3,0.23076923076923078,50,10,0.2,1.2857142857,0.3211533692,5.1472641519,1.0,1.0
5V-7state,mRNA,CORE01,m3,13,1,0.07692307692307693,50,15,0.3,0.2748387097,0.0456273796,1.6555041523,0.1552370787,0.643658253
5V-7state,mRNA,CORE01,m4,13,0,0.0,50,9,0.18,0.1617933723,0.008818947,2.9682790209,0.183902358,0.643658253
5V-7state,mRNA,CORE02,m1,10,5,0.5,53,20,0.37735849056603776,1.6341463415,0.4438173294,6.0169670902,0.499636628,0.874364099
5V-7state,mRNA,CORE02,m2,10,1,0.1,53,12,0.22641509433962265,0.5242105263,0.0837140181,3.2825646434,0.6723417497,0.986646515
5V-7state,mRNA,CORE02,m3,10,3,0.3,53,13,0.24528301886792453,1.4,0.3416636059,5.7366367569,0.7047475107,0.986646515
5V-7state,mRNA,CORE02,m4,10,1,0.1,53,8,0.1509433962264151,0.8452012384,0.1300939932,5.4911461763,1.0,1.0
5V-7state,mRNA,CORE03,m1,11,1,0.09090909090909091,52,24,0.46153846153846156,0.166180758,0.0276341114,0.9993462059,0.0385045303,0.5390634242
5V-7state,mRNA,CORE03,m2,11,3,0.2727272727272727,52,10,0.19230769230769232,1.6666666667,0.4043636576,6.869504036,0.6826454683,0.986646515
5V-7state,mRNA,CORE03,m3,11,4,0.36363636363636365,52,12,0.23076923076923078,1.944,0.5143014556,7.3480950885,0.4484906332,0.8371825153
5V-7state,mRNA,CORE03,m4,11,3,0.2727272727272727,52,6,0.11538461538461539,2.9457013575,0.6631942194,13.0838843789,0.183902358,0.643658253
5V-7state,mRNA,CORE04,m1,9,4,0.4444444444444444,54,21,0.3888888888888889,1.2748414376,0.3276938015,4.9595710492,1.0,1.0
5V-7state,mRNA,CORE04,m2,9,0,0.0,54,13,0.24074074074074073,0.1617933723,0.008818947,2.9682790209,0.183902358,0.643658253
5V-7state,mRNA,CORE04,m3,9,2,0.2222222222222222,54,14,0.25925925925925924,0.9310344828,0.1972190686,4.3952403499,1.0,1.0
5V-7state,mRNA,CORE04,m4,9,3,0.3333333333333333,54,6,0.1111111111111111,4.0177514793,0.8649108659,18.663572844,0.1102744419,0.643658253
5V-7state,mRNA,CORE05,m1,9,2,0.2222222222222222,54,23,0.42592592592592593,0.4468085106,0.0969596239,2.0589791628,0.2977378156,0.7770408
5V-7state,mRNA,CORE05,m2,9,3,0.3333333333333333,54,10,0.18518518518518517,2.2820512821,0.528307893,9.8574299629,0.3759253326,0.7770408
5V-7state,mRNA,CORE05,m3,9,3,0.3333333333333333,54,13,0.24074074074074073,1.6552706553,0.3932514099,6.9673518594,0.6811273116,0.986646515
5V-7state,mRNA,CORE05,m4,9,1,0.1111111111111111,54,8,0.14814814814814814,0.9653979239,0.1467948886,6.3489482502,1.0,1.0
5V-7state,mRNA,CORE06,m1,6,1,0.16666666666666666,57,24,0.42105263157894735,0.3729128015,0.0569540817,2.4416855378,0.3885204,0.7770408
5V-7state,mRNA,CORE06,m2,6,1,0.16666666666666666,57,12,0.21052631578947367,0.9927272727,0.1468804432,6.7095892171,1.0,1.0
5V-7state,mRNA,CORE06,m3,6,3,0.5,57,13,0.22807017543859648,3.2962962963,0.6642459314,16.357750584,0.1657375473,0.643658253
5V-7state,mRNA,CORE06,m4,6,1,0.16666666666666666,57,8,0.14035087719298245,1.5882352941,0.2267430921,11.1248873146,1.0,1.0
5V-7state,mRNA,CORE07,m1,5,3,0.6,58,22,0.3793103448275862,2.2711111111,0.4124379191,12.5059928787,0.3773978862,0.7770408
5V-7state,mRNA,CORE07,m2,5,2,0.4,58,11,0.1896551724137931,2.950310559,0.5146458664,16.9132464932,0.2726175431,0.7770408
5V-7state,mRNA,CORE07,m3,5,0,0.0,58,16,0.27586206896551724,0.2341597796,0.0122508958,4.4756565914,0.3171511629,0.7770408
5V-7state,mRNA,CORE07,m4,5,0,0.0,58,9,0.15517241379310345,0.4736842105,0.0241274686,9.2996383041,1.0,1.0
