partition,reference,state,state_n,dominant_reference_subtype,purity,normalized_entropy,m1_n,m2_n,m3_n,m4_n
4V-3state,mRNA,STATE_A,22,m1,0.6363636364,0.7284008909,14,4,1,3
4V-3state,mRNA,STATE_B,18,m2,0.5,0.7295739585,0,9,6,3
4V-3state,mRNA,STATE_C,8,m3,0.5,0.7028195311,1,0,4,3
4V-3state,ClearCode34,STATE_A,25,ccA,0.72,0.8554508106,,,,
4V-3state,ClearCode34,STATE_B,16,ccB,0.875,0.5435644432,,,,
4V-3state,ClearCode34,STATE_C,4,ccB,0.75,0.8112781245,,,,
5V-4state,mRNA,STATE_A,13,m1,0.6923076923,0.5700578393,9,3,1,0
5V-4state,mRNA,STATE_B,9,m3,0.4444444444,0.8763576395,3,1,4,1
5V-4state,mRNA,STATE_C,11,m3,0.3636363636,0.9338169455,1,3,4,3
5V-4state,mRNA,STATE_D,23,m1,0.3913043478,0.9628982397,9,5,5,4
5V-4state,ClearCode34,STATE_A,12,ccA,1.0,-0.0,,,,
5V-4state,ClearCode34,STATE_B,10,ccB,0.8,0.7219280949,,,,
5V-4state,ClearCode34,STATE_C,8,ccB,1.0,-0.0,,,,
5V-4state,ClearCode34,STATE_D,19,ccA,0.5263157895,0.9980008839,,,,
