partition,group_a,group_b,n_a,n_b,median_a,median_b,p_value,holm_p
4V-5core,CORE01,CORE02,16,11,0.9999999274,-0.999999555,0.0010324405,0.0092919645
4V-5core,CORE01,CORE03,16,9,0.9999999274,-0.8939,0.0016775863,0.0134206904
4V-5core,CORE01,CORE04,16,4,0.9999999274,-0.9850997815,0.0028895769,0.0202270383
4V-5core,CORE01,CORE05,16,5,0.9999999274,-0.9999999868,0.0001965699,0.001965699
4V-5core,CORE02,CORE03,11,9,-0.999999555,-0.8939,0.0575194004,0.287597002
4V-5core,CORE02,CORE04,11,4,-0.999999555,-0.9850997815,1.0,1.0
4V-5core,CORE02,CORE05,11,5,-0.999999555,-0.9999999868,0.1804029304,0.7216117216
4V-5core,CORE03,CORE04,9,4,-0.8939,-0.9850997815,0.3300699301,0.8571428571
4V-5core,CORE03,CORE05,9,5,-0.8939,-0.9999999868,0.006993007,0.041958042
4V-5core,CORE04,CORE05,4,5,-0.9850997815,-0.9999999868,0.2857142857,0.8571428571
