partition,reference,reference_subtype,rest_subtype_n,rest_subtype_fraction,odds_ratio,ci_low,ci_high,fisher_p,bh_q,core_id,core_total_n,core_label_n,core_subtype_n,core_subtype_fraction,rest_label_n
4V-5core,mRNA,m1,5,0.15625,8.0769230769,2.1153419641,30.8397826444,0.0021447082,0.023695727,CORE01,18,16,10,0.625,32
4V-5core,mRNA,m2,9,0.28125,0.8905263158,0.2391158913,3.3165387494,1.0,1.0,CORE01,18,16,4,0.25,32
4V-5core,mRNA,m3,10,0.3125,0.2073732719,0.0332962629,1.2915465637,0.0726867988,0.207676568,CORE01,18,16,1,0.0625,32
4V-5core,mRNA,m4,8,0.25,0.2789373814,0.0439166974,1.7716738137,0.2380481184,0.396746864,CORE01,18,16,1,0.0625,32
4V-5core,mRNA,m1,15,0.42857142857142855,0.0489844683,0.0026985372,0.8891773303,0.0041211759,0.027474506,CORE02,14,13,0,0.0,35
4V-5core,mRNA,m2,5,0.14285714285714285,8.5702479339,2.1022374115,34.9385608144,0.0023695727,0.023695727,CORE02,14,13,8,0.6153846153846154,35
4V-5core,mRNA,m3,8,0.22857142857142856,1.0784313725,0.2571593413,4.5225431805,1.0,1.0,CORE02,14,13,3,0.23076923076923078,35
4V-5core,mRNA,m4,7,0.2,0.8260869565,0.1690127792,4.0376808361,1.0,1.0,CORE02,14,13,2,0.15384615384615385,35
4V-5core,mRNA,m1,11,0.2619047619047619,4.9304347826,0.9123954482,26.6432578027,0.0672145372,0.207676568,CORE03,11,6,4,0.6666666666666666,42
4V-5core,mRNA,m2,13,0.30952380952380953,0.1680911681,0.0088180007,3.2042003196,0.1707488042,0.3104523713,CORE03,11,6,0,0.0,42
4V-5core,mRNA,m3,11,0.2619047619047619,0.2107023411,0.010976442,4.0446145263,0.3132596863,0.4475138376,CORE03,11,6,0,0.0,42
4V-5core,mRNA,m4,7,0.16666666666666666,2.6296296296,0.4637961772,14.9094630981,0.311866704,0.4475138376,CORE03,11,6,2,0.3333333333333333,42
4V-5core,mRNA,m1,14,0.35,0.3655172414,0.0565420405,2.3628940966,0.4056363643,0.5408484857,CORE04,11,8,1,0.125,40
4V-5core,mRNA,m2,13,0.325,0.1198257081,0.0064262505,2.234304489,0.0875624489,0.2189061223,CORE04,11,8,0,0.0,40
4V-5core,mRNA,m3,7,0.175,4.4666666667,0.9692933444,20.5831508357,0.0681190553,0.207676568,CORE04,11,8,4,0.5,40
4V-5core,mRNA,m4,6,0.15,3.3776223776,0.6952574667,16.4087887905,0.1588513179,0.3104523713,CORE04,11,8,3,0.375,40
4V-5core,mRNA,m1,15,0.3488372093023256,0.1671554252,0.008657848,3.2272380306,0.1666666667,0.3104523713,CORE05,5,5,0,0.0,43
4V-5core,mRNA,m2,12,0.27906976744186046,0.84,0.1182474861,5.9671458818,1.0,1.0,CORE05,5,5,1,0.2,43
4V-5core,mRNA,m3,8,0.18604651162790697,5.8470588235,0.9788746878,34.9259178041,0.0715772433,0.207676568,CORE05,5,5,3,0.6,43
4V-5core,mRNA,m4,8,0.18604651162790697,1.3921568627,0.1895947188,10.2223350025,1.0,1.0,CORE05,5,5,1,0.2,43
