partition,reference,reference_subtype,rest_subtype_n,rest_subtype_fraction,odds_ratio,ci_low,ci_high,fisher_p,bh_q,core_id,core_total_n,core_label_n,core_subtype_n,core_subtype_fraction,rest_label_n
5V-6core,ClearCode34,ccA,12,0.32432432432432434,51.0,2.7876364339,933.0485024282,2.9309e-05,0.000175854,CORE01,17,12,12,1.0,37
5V-6core,ClearCode34,ccB,25,0.6756756756756757,0.0196078431,0.0010717556,0.3587268368,2.9309e-05,0.000175854,CORE01,17,12,0,0.0,37
5V-6core,ClearCode34,ccA,22,0.5641025641025641,0.2287581699,0.0489262022,1.0695761763,0.073754941,0.1106324115,CORE02,14,10,2,0.2,39
5V-6core,ClearCode34,ccB,17,0.4358974358974359,4.3714285714,0.93494977,20.4389458856,0.073754941,0.1106324115,CORE02,14,10,8,0.8,39
5V-6core,ClearCode34,ccA,24,0.5853658536585366,0.0420168067,0.0022719235,0.7770561209,0.0040291228,0.0120873684,CORE03,14,8,0,0.0,41
5V-6core,ClearCode34,ccB,17,0.4146341463414634,23.8,1.2869083366,440.1556691142,0.0040291228,0.0120873684,CORE03,14,8,8,1.0,41
5V-6core,ClearCode34,ccA,17,0.425,4.0285714286,0.8470243928,19.1604727007,0.073754941,0.1106324115,CORE04,10,9,7,0.7777777777777778,40
5V-6core,ClearCode34,ccB,23,0.575,0.2482269504,0.0521907792,1.180603544,0.073754941,0.1106324115,CORE04,10,9,2,0.2222222222222222,40
5V-6core,ClearCode34,ccA,22,0.5238095238095238,0.4141414141,0.0827522952,2.0726085066,0.4174265451,0.5009118541,CORE05,9,7,2,0.2857142857142857,42
5V-6core,ClearCode34,ccB,20,0.47619047619047616,2.4146341463,0.4824837864,12.0842569737,0.4174265451,0.5009118541,CORE05,9,7,5,0.7142857142857143,42
5V-6core,ClearCode34,ccA,23,0.5,0.6,0.0732182079,4.9168097713,1.0,1.0,CORE06,5,3,1,0.3333333333333333,46
5V-6core,ClearCode34,ccB,23,0.5,1.6666666667,0.2033839108,13.6578049203,1.0,1.0,CORE06,5,3,2,0.6666666666666666,46
