partition,reference,reference_subtype,rest_subtype_n,rest_subtype_fraction,odds_ratio,ci_low,ci_high,fisher_p,bh_q,core_id,core_total_n,core_label_n,core_subtype_n,core_subtype_fraction,rest_label_n
5V-stable-cores,mRNA,m1,2,0.08333333333333333,13.8,2.7917155526,68.2161188741,0.0004598062,0.0073568992,CORE01,21,18,11,0.6111111111111112,24
5V-stable-cores,mRNA,m2,6,0.25,1.1595441595,0.3052029495,4.405405191,1.0,1.0,CORE01,21,18,5,0.2777777777777778,24
5V-stable-cores,mRNA,m3,12,0.5,0.1515151515,0.0323503865,0.709631125,0.0100334762,0.0535118731,CORE01,21,18,2,0.1111111111111111,24
5V-stable-cores,mRNA,m4,4,0.16666666666666666,0.1231231231,0.0062000046,2.4450471157,0.1222728491,0.3260609309,CORE01,21,18,0,0.0,24
5V-stable-cores,mRNA,m1,13,0.43333333333333335,0.0518518519,0.00281184,0.9561762311,0.0077042478,0.0535118731,CORE02,14,12,0,0.0,30
5V-stable-cores,mRNA,m2,6,0.2,2.7641025641,0.6819842691,11.202990055,0.2431748746,0.4863497492,CORE02,14,12,5,0.4166666666666667,30
5V-stable-cores,mRNA,m3,9,0.3,1.6596491228,0.4348730609,6.333883283,0.4912945159,0.7860712254,CORE02,14,12,5,0.4166666666666667,30
5V-stable-cores,mRNA,m4,2,0.06666666666666667,2.7142857143,0.4098525628,17.9756029549,0.564727955,0.7869918699,CORE02,14,12,2,0.16666666666666666,30
5V-stable-cores,mRNA,m1,12,0.35294117647058826,0.36,0.0546857173,2.3699058275,0.3983277244,0.7081381767,CORE03,12,8,1,0.125,34
5V-stable-cores,mRNA,m2,11,0.3235294117647059,0.1202046036,0.006366523,2.2695506921,0.0863392699,0.2955417549,CORE03,12,8,0,0.0,34
5V-stable-cores,mRNA,m3,9,0.2647058823529412,4.2180451128,0.9103202679,19.5446648837,0.0923567984,0.2955417549,CORE03,12,8,5,0.625,34
5V-stable-cores,mRNA,m4,2,0.058823529411764705,5.0,0.7150328982,34.9634262481,0.1579737336,0.3610828197,CORE03,12,8,2,0.25,34
5V-stable-cores,mRNA,m1,12,0.3157894736842105,0.9085714286,0.1196203632,6.9010160059,1.0,1.0,CORE04,9,4,1,0.25,38
5V-stable-cores,mRNA,m2,10,0.2631578947368421,1.1632653061,0.1513422155,8.9412340632,1.0,1.0,CORE04,9,4,1,0.25,38
5V-stable-cores,mRNA,m3,12,0.3157894736842105,2.12,0.3242517322,13.8608357456,0.5902439024,0.7869918699,CORE04,9,4,2,0.5,38
5V-stable-cores,mRNA,m4,4,0.10526315789473684,0.8518518519,0.0390519495,18.5816991546,1.0,1.0,CORE04,9,4,0,0.0,38
