field,level,core_n,non_core_n,core_fraction,non_core_fraction,cramers_v,odds_ratio,test,p_value,q_value
stage_group,I,26,30,0.4642857142857143,0.6382978723404256,0.17033357913728606,,monte_carlo_chi2,0.1121887811218878,0.3141285871412859
stage_group,II,6,3,0.10714285714285714,0.06382978723404255,0.17033357913728606,,monte_carlo_chi2,0.1121887811218878,0.3141285871412859
stage_group,III,12,11,0.21428571428571427,0.23404255319148937,0.17033357913728606,,monte_carlo_chi2,0.1121887811218878,0.3141285871412859
stage_group,IV,12,3,0.21428571428571427,0.06382978723404255,0.17033357913728606,,monte_carlo_chi2,0.1121887811218878,0.3141285871412859
t_stage,T1,0,1,0.0,0.02127659574468085,0.08205475543984482,,monte_carlo_chi2,0.35056494350564943,0.5453232454532324
t_stage,T1a,14,18,0.25,0.3829787234042553,0.08205475543984482,,monte_carlo_chi2,0.35056494350564943,0.5453232454532324
t_stage,T1b,13,13,0.23214285714285715,0.2765957446808511,0.08205475543984482,,monte_carlo_chi2,0.35056494350564943,0.5453232454532324
t_stage,T2,8,2,0.14285714285714285,0.0425531914893617,0.08205475543984482,,monte_carlo_chi2,0.35056494350564943,0.5453232454532324
t_stage,T2a,0,1,0.0,0.02127659574468085,0.08205475543984482,,monte_carlo_chi2,0.35056494350564943,0.5453232454532324
t_stage,T2b,1,0,0.017857142857142856,0.0,0.08205475543984482,,monte_carlo_chi2,0.35056494350564943,0.5453232454532324
t_stage,T3a,16,10,0.2857142857142857,0.2127659574468085,0.08205475543984482,,monte_carlo_chi2,0.35056494350564943,0.5453232454532324
t_stage,T3b,3,1,0.05357142857142857,0.02127659574468085,0.08205475543984482,,monte_carlo_chi2,0.35056494350564943,0.5453232454532324
t_stage,T4,1,1,0.017857142857142856,0.02127659574468085,0.08205475543984482,,monte_carlo_chi2,0.35056494350564943,0.5453232454532324
m_stage,M0,40,44,0.7142857142857143,0.9361702127659575,0.26244737722652256,,monte_carlo_chi2,0.006799320067993201,0.09519048095190481
m_stage,M1,11,3,0.19642857142857142,0.06382978723404255,0.26244737722652256,,monte_carlo_chi2,0.006799320067993201,0.09519048095190481
m_stage,MX,5,0,0.08928571428571429,0.0,0.26244737722652256,,monte_carlo_chi2,0.006799320067993201,0.09519048095190481
grade,G2,19,20,0.3392857142857143,0.425531914893617,0.05524401378568657,,pearson_chi2,0.31178671980797673,0.5453232454532324
grade,G3,25,22,0.44642857142857145,0.46808510638297873,0.05524401378568657,,pearson_chi2,0.31178671980797673,0.5453232454532324
grade,G4,12,5,0.21428571428571427,0.10638297872340426,0.05524401378568657,,pearson_chi2,0.31178671980797673,0.5453232454532324
gender,female,18,14,0.32142857142857145,0.2978723404255319,0.0,1.1165413533834587,fisher_exact,0.8335499058344407,0.8335499058344407
gender,male,38,33,0.6785714285714286,0.7021276595744681,0.0,1.1165413533834587,fisher_exact,0.8335499058344407,0.8335499058344407
race,asian,1,1,0.017857142857142856,0.02127659574468085,0.18913109680795648,,monte_carlo_chi2,0.027197280271972803,0.19038096190380963
race,black or african american,9,1,0.16071428571428573,0.02127659574468085,0.18913109680795648,,monte_carlo_chi2,0.027197280271972803,0.19038096190380963
race,white,46,45,0.8214285714285714,0.9574468085106383,0.18913109680795648,,monte_carlo_chi2,0.027197280271972803,0.19038096190380963
os_event,0,42,37,0.75,0.7872340425531915,0.0,0.8108108108108109,fisher_exact,0.8154987065351413,0.8335499058344407
os_event,1,14,10,0.25,0.2127659574468085,0.0,0.8108108108108109,fisher_exact,0.8154987065351413,0.8335499058344407
tissue_source_site,B0,10,7,0.17857142857142858,0.14893617021276595,0.0,,monte_carlo_chi2,0.5535446455354465,0.7045113670451136
tissue_source_site,B8,10,9,0.17857142857142858,0.19148936170212766,0.0,,monte_carlo_chi2,0.5535446455354465,0.7045113670451136
tissue_source_site,BP,22,23,0.39285714285714285,0.48936170212765956,0.0,,monte_carlo_chi2,0.5535446455354465,0.7045113670451136
tissue_source_site,CJ,8,3,0.14285714285714285,0.06382978723404255,0.0,,monte_carlo_chi2,0.5535446455354465,0.7045113670451136
