core_a,core_b,run_id,K,dominant_set_a,dominant_fraction_a,dominant_set_b,dominant_fraction_b,valid_assignment,same_parent_set
STATE_A,STATE_B,run1_K2,2,C0002,1.0,C0001,1.0,1,0
STATE_A,STATE_C,run1_K2,2,C0002,1.0,C0001,1.0,1,0
STATE_A,STATE_D,run1_K2,2,C0002,1.0,C0001,0.80645161,1,0
STATE_B,STATE_C,run1_K2,2,C0001,1.0,C0001,1.0,1,1
STATE_B,STATE_D,run1_K2,2,C0001,1.0,C0001,0.80645161,1,1
STATE_C,STATE_D,run1_K2,2,C0001,1.0,C0001,0.80645161,1,1
STATE_A,STATE_B,run1_K3,3,C0002,1.0,C0003,1.0,1,0
STATE_A,STATE_C,run1_K3,3,C0002,1.0,C0001,1.0,1,0
STATE_A,STATE_D,run1_K3,3,C0002,1.0,C0001,0.77419355,1,0
STATE_B,STATE_C,run1_K3,3,C0003,1.0,C0001,1.0,1,0
STATE_B,STATE_D,run1_K3,3,C0003,1.0,C0001,0.77419355,1,0
STATE_C,STATE_D,run1_K3,3,C0001,1.0,C0001,0.77419355,1,1
STATE_A,STATE_B,run1_K4,4,C0003,1.0,C0004,1.0,1,0
STATE_A,STATE_C,run1_K4,4,C0003,1.0,C0001,1.0,1,0
STATE_A,STATE_D,run1_K4,4,C0003,1.0,C0002,0.77419355,1,0
STATE_B,STATE_C,run1_K4,4,C0004,1.0,C0001,1.0,1,0
STATE_B,STATE_D,run1_K4,4,C0004,1.0,C0002,0.77419355,1,0
STATE_C,STATE_D,run1_K4,4,C0001,1.0,C0002,0.77419355,1,0
STATE_A,STATE_B,run1_K5,5,C0003,0.94117647,C0005,1.0,1,0
STATE_A,STATE_C,run1_K5,5,C0003,0.94117647,C0004,1.0,1,0
STATE_A,STATE_D,run1_K5,5,C0003,0.94117647,C0001,0.77419355,1,0
STATE_B,STATE_C,run1_K5,5,C0005,1.0,C0004,1.0,1,0
STATE_B,STATE_D,run1_K5,5,C0005,1.0,C0001,0.77419355,1,0
STATE_C,STATE_D,run1_K5,5,C0004,1.0,C0001,0.77419355,1,0
STATE_A,STATE_B,run1_K6,6,C0006,1.0,C0005,1.0,1,0
STATE_A,STATE_C,run1_K6,6,C0006,1.0,C0004,1.0,1,0
STATE_A,STATE_D,run1_K6,6,C0006,1.0,C0003,0.35483871,0,
STATE_B,STATE_C,run1_K6,6,C0005,1.0,C0004,1.0,1,0
STATE_B,STATE_D,run1_K6,6,C0005,1.0,C0003,0.35483871,0,
STATE_C,STATE_D,run1_K6,6,C0004,1.0,C0003,0.35483871,0,
STATE_A,STATE_B,run1_K7,7,C0005,1.0,C0002,0.86666667,1,0
STATE_A,STATE_C,run1_K7,7,C0005,1.0,C0004,0.92857143,1,0
STATE_A,STATE_D,run1_K7,7,C0005,1.0,C0006,0.32258065,0,
STATE_B,STATE_C,run1_K7,7,C0002,0.86666667,C0004,0.92857143,1,0
STATE_B,STATE_D,run1_K7,7,C0002,0.86666667,C0006,0.32258065,0,
STATE_C,STATE_D,run1_K7,7,C0004,0.92857143,C0006,0.32258065,0,
STATE_A,STATE_B,run1_K8,8,C0005,1.0,C0006,0.86666667,1,0
STATE_A,STATE_C,run1_K8,8,C0005,1.0,C0004,0.85714286,1,0
STATE_A,STATE_D,run1_K8,8,C0005,1.0,C0007,0.29032258,0,
STATE_B,STATE_C,run1_K8,8,C0006,0.86666667,C0004,0.85714286,1,0
STATE_B,STATE_D,run1_K8,8,C0006,0.86666667,C0007,0.29032258,0,
STATE_C,STATE_D,run1_K8,8,C0004,0.85714286,C0007,0.29032258,0,
STATE_A,STATE_B,run2_K2,2,C0002,1.0,C0001,1.0,1,0
STATE_A,STATE_C,run2_K2,2,C0002,1.0,C0001,1.0,1,0
STATE_A,STATE_D,run2_K2,2,C0002,1.0,C0001,0.80645161,1,0
STATE_B,STATE_C,run2_K2,2,C0001,1.0,C0001,1.0,1,1
STATE_B,STATE_D,run2_K2,2,C0001,1.0,C0001,0.80645161,1,1
STATE_C,STATE_D,run2_K2,2,C0001,1.0,C0001,0.80645161,1,1
STATE_A,STATE_B,run2_K3,3,C0002,1.0,C0003,1.0,1,0
STATE_A,STATE_C,run2_K3,3,C0002,1.0,C0001,1.0,1,0
STATE_A,STATE_D,run2_K3,3,C0002,1.0,C0001,0.77419355,1,0
STATE_B,STATE_C,run2_K3,3,C0003,1.0,C0001,1.0,1,0
STATE_B,STATE_D,run2_K3,3,C0003,1.0,C0001,0.77419355,1,0
STATE_C,STATE_D,run2_K3,3,C0001,1.0,C0001,0.77419355,1,1
STATE_A,STATE_B,run2_K4,4,C0003,1.0,C0004,1.0,1,0
