run_id,initial_k,repeat,valid_for_analysis,raw_control_status,review_status,partition_assessment,rounds_used,accepted_set_count,accepted_patient_count,api_calls,total_tokens
run1_K2,2,1,True,complete,review_complete,unavailable,2,2,103,5,139603
run1_K3,3,1,True,complete,review_complete,unavailable,2,3,103,4,203801
run1_K4,4,1,True,complete,review_complete,unavailable,2,4,103,4,288280
run1_K5,5,1,True,complete,review_complete,unavailable,2,5,103,5,396359
run1_K6,6,1,True,complete,review_complete,unavailable,2,6,103,5,496472
run1_K7,7,1,True,complete,review_complete,unavailable,2,7,103,5,615927
run1_K8,8,1,True,complete,review_complete,unavailable,2,8,103,4,741756
run2_K2,2,2,True,complete,review_complete,unavailable,2,2,103,5,140005
run2_K3,3,2,True,complete,review_complete,unavailable,2,3,103,6,215243
run2_K4,4,2,True,complete,review_complete,unavailable,2,4,103,4,286995
run2_K5,5,2,True,complete,review_complete,unavailable,2,5,103,4,382915
run2_K6,6,2,True,complete,review_complete,unavailable,2,6,103,4,490018
run2_K7,7,2,True,complete,review_complete,unavailable,2,7,103,5,619104
run2_K8,8,2,True,complete,review_complete,unavailable,2,8,103,4,743249
run3_K2,2,3,True,complete,review_complete,unavailable,2,2,103,4,131881
run3_K3,3,3,True,complete,review_complete,unavailable,2,3,103,5,207881
run3_K4,4,3,True,complete,review_complete,unavailable,2,4,103,4,287390
run3_K5,5,3,True,complete,review_complete,unavailable,2,5,103,4,383468
run3_K6,6,3,True,complete,review_complete,unavailable,2,6,103,4,489413
run3_K7,7,3,True,complete,review_complete,unavailable,2,7,103,5,618984
run3_K8,8,3,True,complete,review_complete,unavailable,2,8,103,4,741995
