run_id,initial_k,repeat,valid_for_analysis,raw_control_status,review_status,partition_assessment,rounds_used,accepted_set_count,accepted_patient_count,api_calls,total_tokens
run1_K2,2,1,True,complete,review_complete,unavailable,2,2,103,5,140084
run1_K3,3,1,True,complete,review_complete,unavailable,2,3,103,5,208003
run1_K4,4,1,True,complete,review_complete,unavailable,2,4,103,5,291187
run1_K5,5,1,True,complete,review_complete,unavailable,2,5,103,4,386095
run1_K6,6,1,True,complete,review_complete,unavailable,2,5,84,5,495251
run1_K7,7,1,True,complete,review_complete,unavailable,2,5,85,5,1184380
run1_K8,8,1,True,complete,review_complete,unavailable,2,4,64,4,733857
run2_K2,2,2,True,complete,review_complete,unavailable,3,2,103,9,286129
run2_K3,3,2,True,complete,review_complete,unavailable,2,3,103,6,216894
run2_K4,4,2,True,complete,review_complete,unavailable,2,4,103,5,300633
run2_K5,5,2,True,complete,review_complete,unavailable,2,5,103,6,405276
run2_K6,6,2,True,complete,review_complete,unavailable,2,5,84,4,491075
run2_K7,7,2,True,complete,review_complete,unavailable,2,6,101,4,607542
run2_K8,8,2,True,complete,review_complete,unavailable,2,7,101,4,736456
run3_K2,2,3,True,complete,review_complete,unavailable,3,2,103,8,274632
run3_K3,3,3,True,complete,review_complete,unavailable,2,3,103,4,203598
run3_K4,4,3,True,complete,review_complete,unavailable,2,4,103,4,288042
run3_K5,5,3,True,complete,review_complete,unavailable,2,5,103,5,398281
run3_K6,6,3,True,complete,review_complete,unavailable,2,5,84,4,489966
run3_K7,7,3,True,complete,review_complete,unavailable,2,5,85,4,605852
run3_K8,8,3,True,complete,review_complete,unavailable,2,8,103,4,735444
