variable,core_n,non_core_n,core_median,non_core_median,test,p_value,q_value
wsi_patch_count,56,47,17950.5,15803.0,mann_whitney_u,0.12209734090159202,0.35912997285471304
wsi_tumor_patch_count,56,47,6618.5,6010.0,mann_whitney_u,0.09133667778602109,0.35912997285471304
wsi_tumor_patch_fraction,56,47,0.39400101045428526,0.3661373294564974,mann_whitney_u,0.4523539998728089,0.35912997285471304
wsi_model_mpp,56,47,0.504,0.504,mann_whitney_u,1.0,0.35912997285471304
wsi_model_tile_size,56,47,512.0,512.0,mann_whitney_u,1.0,0.35912997285471304
wxs_discovery_mutation_count,56,47,2.0,2.0,mann_whitney_u,0.5899476160203929,0.35912997285471304
wxs_discovery_all_zero_proxy,56,47,0.0,0.0,mann_whitney_u,0.7749179500855442,0.35912997285471304
cnv_missing_feature_count,56,47,0.0,0.0,mann_whitney_u,1.0,0.35912997285471304
cnv_feature_completeness_proxy,56,47,54.0,54.0,mann_whitney_u,1.0,0.35912997285471304
cnv_gain_burden,56,47,0.0479873526238234,0.0440711233885666,mann_whitney_u,0.7606704552194795,0.35912997285471304
cnv_loss_burden,56,47,0.07026032801700771,0.0739835635325806,mann_whitney_u,0.35912997285471304,0.35912997285471304
