run_id,initial_k,repeat,valid_for_analysis,raw_control_status,review_status,partition_assessment,rounds_used,accepted_set_count,accepted_patient_count,api_calls,total_tokens
run1_K2,2,1,True,complete,review_complete,unavailable,2,2,103,5,106879
run1_K3,3,1,True,complete,review_complete,unavailable,2,3,103,5,154011
run1_K4,4,1,True,complete,review_complete,unavailable,2,4,103,5,220107
run1_K5,5,1,True,complete,review_complete,unavailable,2,5,103,5,301093
run1_K6,6,1,True,complete,review_complete,unavailable,2,6,103,4,368519
run1_K7,7,1,True,complete,review_complete,unavailable,2,7,103,5,469131
run1_K8,8,1,True,complete,review_complete,unavailable,2,8,103,4,559529
run2_K2,2,2,True,complete,review_complete,unavailable,2,2,103,6,109567
run2_K3,3,2,True,complete,review_complete,unavailable,2,3,103,4,151444
run2_K4,4,2,True,complete,review_complete,unavailable,2,4,103,5,227879
run2_K5,5,2,True,complete,review_complete,unavailable,2,5,103,4,285128
run2_K6,6,2,True,complete,review_complete,unavailable,2,6,103,5,376364
run2_K7,7,2,True,complete,review_complete,unavailable,2,6,98,4,461553
run2_K8,8,2,True,complete,review_complete,unavailable,2,8,103,4,564127
run3_K2,2,3,True,complete,review_complete,unavailable,2,2,103,6,110042
run3_K3,3,3,True,complete,review_complete,unavailable,2,3,103,5,157590
run3_K4,4,3,True,complete,review_complete,unavailable,2,4,103,5,227520
run3_K5,5,3,True,complete,review_complete,unavailable,3,5,103,8,607055
run3_K6,6,3,True,complete,review_complete,unavailable,2,6,103,5,376685
run3_K7,7,3,True,complete,review_complete,unavailable,2,7,103,4,462176
run3_K8,8,3,True,complete,review_complete,unavailable,2,8,103,5,1103876
