run_id,initial_k,repeat,valid_for_analysis,raw_control_status,review_status,partition_assessment,rounds_used,accepted_set_count,accepted_patient_count,api_calls,total_tokens
run1_K2,2,1,True,complete,review_complete,unavailable,2,2,103,5,126337
run1_K3,3,1,True,complete,review_complete,unavailable,2,3,103,6,193979
run1_K4,4,1,True,complete,review_complete,unavailable,2,4,103,4,254763
run1_K5,5,1,True,complete,review_complete,unavailable,2,5,103,5,349415
run1_K6,6,1,True,complete,review_complete,unavailable,2,0,0,5,833514
run1_K7,7,1,True,complete,review_complete,unavailable,2,7,103,5,535308
run1_K8,8,1,True,complete,review_complete,unavailable,2,8,103,4,637372
run2_K2,2,2,True,complete,review_complete,unavailable,2,2,103,5,125574
run2_K3,3,2,True,complete,review_complete,unavailable,2,3,103,5,184486
run2_K4,4,2,True,complete,review_complete,unavailable,2,4,103,4,252181
run2_K5,5,2,True,complete,review_complete,unavailable,2,5,103,5,340146
run2_K6,6,2,True,complete,review_complete,unavailable,2,4,74,4,428855
run2_K7,7,2,True,complete,review_complete,unavailable,2,7,103,4,529211
run2_K8,8,2,True,complete,review_complete,unavailable,2,6,90,4,639123
run3_K2,2,3,True,complete,review_complete,unavailable,2,2,103,5,125645
run3_K3,3,3,True,complete,review_complete,unavailable,2,3,103,5,184755
run3_K4,4,3,True,complete,review_complete,unavailable,2,3,85,4,252449
run3_K5,5,3,True,complete,review_complete,unavailable,2,5,103,6,354868
run3_K6,6,3,True,complete,review_complete,unavailable,2,5,93,4,430571
run3_K7,7,3,True,complete,review_complete,unavailable,2,7,103,5,536044
run3_K8,8,3,True,complete,review_complete,unavailable,2,4,56,4,638747
